Rancho Sort	GARD Disease Title	GARD Disease ID	Rancho Disease Comment	Rancho Disease Status	oopd Vlookup	Metamap Text1	Metamap Term1	Metamap Name1	Metamap Type1	Designation	Neo4j Resolve1	Neo4j Resolve2	Neo4j Resolve3	Generic Name	Trade Name	Designation Date	Designation	Orphan Drug Status	FDA Approval Status	Approved Indication	Marketing Approval Date	Exclusivity End Date	Contact Company	Contact Address 1	Contact Address 2	Contact City	Contact State	Contact Zip	Contact Country	CF Grid Key
369	Acute lymphoblastic leukemia	522	approximate		4621	lymphocytic lymphoma	C0023434	Chronic Lymphocytic Leukemia	neop	For use as a diluent in the intrathecal administration of methotrexate and cytarabine for the prevention or treatment meningeal leukemia and lymphocytic lymphoma	Acute lymphoblastic leukemia|GARD:0000522|BUFFERED INTRATHECAL ELECTROLYTE/DEXTROSE INJECTION|ELLIOTTS B¬Æ SOLUTION|ELLIOTTS B SOLUTION|GARD:0000522			Buffered intrathecal electrolyte/dextrose injection	Elliotts B Solution	34570	For use as a diluent in the intrathecal administration of methotrexate and cytarabine for the prevention or treatment meningeal leukemia and lymphocytic lymphoma	Designated/Approved	Approved for Orphan Indication	For the intrathecal administration of methotrexate and cytarabine for the prevention or treatment of meningeal leukemia and lymphocytic lymphoma.	 09/27/1996 	 09/27/2003	"Lukare Medical, LLC"	4 Julia Court	P. O. Box 782	Scotch Plains	New Jersey	7076	USA	83994
3151	Acute lymphoblastic leukemia	522			2547	of acute lymphoblastic leukemia	C0023449	Acute lymphocytic leukemia	neop	Treatment of acute lymphoblastic leukemia in pediatric patients	Acute lymphoblastic leukemia|GARD:0000522|IDARUBICIN HCL FOR INJECTION|IDAMYCIN|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|METHOTREXATE ORAL LIQUID FORMULATION|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|METHOTREXATE ORAL SOLUTION|GARD:0000522	mercaptopurine oral solution	Purixan	41141	Treatment of acute lymphoblastic leukemia in pediatric patients	Designated/Approved	Approved for Orphan Indication	Treatment of patients with acute lymphoblastic leukemia as part of a combination regimen.	 04/28/2014 	 04/28/2021	Nova Laboratories Limited	Martin House	"Wigston, Leicester LE18 4YL"	England			United Kingdom	373512
3163	Acute lymphoblastic leukemia	522			1715	of acute lymphoblastic leukemia	C0023449	Acute lymphocytic leukemia	neop	Treatment of acute lymphoblastic leukemia in pediatric patients (0 through 16 years of age)	Acute lymphoblastic leukemia|GARD:0000522|METHOTREXATE ORAL SOLUTION|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|METHOTREXATE ORAL LIQUID FORMULATION|GARD:0000522		methotrexate oral solution	Xatmep	42152	Treatment of acute lymphoblastic leukemia in pediatric patients (0 through 16 years of age)	Designated/Approved	Approved for Orphan Indication	Treatment of pediatric patients with acute lymphoblastic leukemia (ALL) as a component of a combination chemotherapy maintenance regimen	 04/25/2017 	 04/25/2024	"Silvergate Pharmaceuticals, Inc."	6251 Greenwood Plaza Blvd.	Suite 101	Greenwood Village	Colorado	80111	USA	479615
3154	Acute lymphoblastic leukemia	522			2411	of B-cell acute lymphoblastic leukemia	C0006413	Burkitt Lymphoma	neop	Treatment of B-cell acute lymphoblastic leukemia	Acute lymphoblastic leukemia|GARD:0000522|NELARABINE|ARRANON|GARD:0000522	REFRACTORY B ACUTE LYMPHOBLASTIC LEUKEMIA|NCIT:C142812|NCI:C142812	Acute lymphoblastic leukemia|GARD:0000522|INOTUZUMAB OZOGAMICIN|GARD:0000522	inotuzumab ozogamicin	n/a	41358	Treatment of B-cell acute lymphoblastic leukemia	Designated/Approved	Approved for Orphan Indication	Treatment of adults with relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL)	 08/17/2017 	 08/17/2024	"Pfizer, Inc."	10646 Science Center Drive		San Diego	California	92121	USA	391413
3141	Acute lymphoblastic leukemia	522			3885	lymphoblastic lymphoma	C0079748	Precursor cell lymphoblastic lymphoma	neop	Treatment of acute lymphoblastic leukemia and lymphoblastic lymphoma	Acute lymphoblastic leukemia|GARD:0000522|NELARABINE|ARRANON|GARD:0000522	Lymphoblastic lymphoma|GARD:0003329|NELARABINE|ARRANON|GARD:0003329	PRECURSOR LYMPHOBLASTIC LYMPHOMA/LEUKEMIA|PRECURSOR CELL LYMPHOBLASTIC LEUKEMIA-LYMPHOMA|RELAPSED OR REFRACTORY ACUTE LYMPHOBLASTIC LEUKEMIA|DOID:5600|MESH:D054198	nelarabine	Arranon	38209	Treatment of acute lymphoblastic leukemia and lymphoblastic lymphoma	Designated/Approved	Approved for Orphan Indication	Treatment of patients with T-cell acute lymphoblastic leukemia and T-cell lymphoblastic lymphoma whose disease has not responded to or has relapsed following treatment with at least two chemotherapy regimens	 10/28/2005 	 10/28/2012	Novartis Pharmaceuticals Corp.	One Health Plaza		East Hanover	New Jersey	7936	USA	184404
3156	Acute lymphoblastic leukemia	522			3713	of Philadelphia-positive acute lymphoblastic leukemia	C1709527	B Acute Lymphoblastic Leukemia with t(9;22)(q34;q11.2); BCR-ABL1	neop	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Acute lymphoblastic leukemia|GARD:0000522|PONATINIB|ICLUSIG|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|IMATINIB|GLEEVEC|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|IMATINIB|GLEEVEC|GARD:0000522	Dasatinib	Sprycel	38674	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Designated/Approved	Approved for Orphan Indication	Treatment of adults with Philadelphia chromosome-positive acute lymphoblastic leukemia with resistance or intolerance to prior therapy	 06/28/2006 	 06/28/2013	Bristol-Myers Squibb Company	P. O Box 5326	Mailstop C 4065	Princeton	New Jersey	8542	USA	214605
3156	Acute lymphoblastic leukemia	522			3713	of Philadelphia-positive acute lymphoblastic leukemia	C1709527	B Acute Lymphoblastic Leukemia with t(9;22)(q34;q11.2); BCR-ABL1	neop	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Acute lymphoblastic leukemia|GARD:0000522|PONATINIB|ICLUSIG|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|IMATINIB|GLEEVEC|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|IMATINIB|GLEEVEC|GARD:0000522	Dasatinib	Sprycel	38674	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Designated/Approved	Approved for Orphan Indication	SPRYCEL (dasatinib) is indicated for the treatment of pediatric patients 1 year of age and older with newly diagnosed Ph+ ALL in combination with chemotherapy.	 12/21/2018 	 12/21/2025	Bristol-Myers Squibb Company	P. O Box 5326	Mailstop C 4065	Princeton	New Jersey	8542	USA	214605
3148	Acute lymphoblastic leukemia	522			3725	of Philadelphia-positive acute lymphoblastic leukemia	C1709527	B Acute Lymphoblastic Leukemia with t(9;22)(q34;q11.2); BCR-ABL1	neop	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Acute lymphoblastic leukemia|GARD:0000522|PONATINIB|ICLUSIG|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|IMATINIB|GLEEVEC|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|IMATINIB|GLEEVEC|GARD:0000522	imatinib	Gleevec	38636	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Designated/Approved	Approved for Orphan Indication	Treatment of adult patients with relapsed or refractory Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ALL)	 10/19/2006 	 10/19/2013	Novartis Pharmaceuticals Corporation	One Health Plaza	Mail Code 105/1E870D	East Hanover	New Jersey	7936	USA	208905
3148	Acute lymphoblastic leukemia	522			3725	of Philadelphia-positive acute lymphoblastic leukemia	C1709527	B Acute Lymphoblastic Leukemia with t(9;22)(q34;q11.2); BCR-ABL1	neop	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Acute lymphoblastic leukemia|GARD:0000522|PONATINIB|ICLUSIG|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|IMATINIB|GLEEVEC|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|IMATINIB|GLEEVEC|GARD:0000522	imatinib	Gleevec	38636	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Designated/Approved	Approved for Orphan Indication	Pediatric patients with newly diagnosed Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) in combination with chemotherapy	 01/25/2013 	 01/25/2020	Novartis Pharmaceuticals Corporation	One Health Plaza	Mail Code 105/1E870D	East Hanover	New Jersey	7936	USA	208905
3139	Acute lymphoblastic leukemia	522			3095	of Philadelphia chromosome-positive acute lymphoblastic leukemia	C1960397	Philadelphia chromosome-positive acute lymphoblastic leukemia	neop	Treatment of Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ALL)	Acute lymphoblastic leukemia|GARD:0000522|PONATINIB|ICLUSIG|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|IMATINIB|GLEEVEC|GARD:0000522	Acute lymphoblastic leukemia|GARD:0000522|IMATINIB|GLEEVEC|GARD:0000522	ponatinib	Iclusig	40137	Treatment of Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ALL)	Designated/Approved	Approved for Orphan Indication	Treatment of adult patients with Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ALL) that is resistant or intolerant to prior tyrosine kinase inhibitor therapy.	 12/14/2012 	 12/14/2019	ARIAD Pharmaceuticals Inc.	26 Landsdowne Street		Cambridge	Massachusetts	2139	USA	294809
1945	Acute lymphoblastic leukemia	522	done		3353	of acute lymphocytic leukemia	C0023449	Acute lymphocytic leukemia	neop	Treatment of acute lymphocytic leukemia	"NON-LYMPHOCYTIC LEUKEMIA|NONLYMPHOCYTIC LEUKEMIA, ACUTE|ACUTE NON-LYMPHOCYTIC LEUKEMIA|DOID:8692|MESH:D015470"	CHILDHOOD ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|CHILDHOOD ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|CHILDHOOD PRECURSOR LYMPHOBLASTIC LEUKEMIA IN REMISSION|PEDIATRIC ALL IN REMISSION|PEDIATRIC ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOID LEUKEMIA IN REMISSION|CHILDHOOD ALL IN REMISSION|CHILDHOOD ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|CHILDHOOD ACUTE LYMPHOID LEUKEMIA IN REMISSION|NCI:C7938|UMLS:C0279097	ACUTE LYMPHOID LEUKEMIA IN REMISSION|ACUTE LYMPHOCYTIC LEUKEMIA (IN REMISSION)|ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|PRECURSOR LYMPHOBLASTIC LEUKEMIA IN REMISSION|ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|ALL IN REMISSION|NCI:C3586|UMLS:C0153876|SNOMEDCT_US:91856007	blinatumomab	Blincyto	39584	Treatment of acute lymphocytic leukemia	Designated/Approved	Approved for Orphan Indication	Treatment of Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL).	 12/03/2014 	 12/03/2021	"Amgen, Inc."	One Amgen Center Dr.	Mail Stop 17-2-A	Thousand Oaks	California	91320	USA	255707
1945	Acute lymphoblastic leukemia	522	done		3353	of acute lymphocytic leukemia	C0023449	Acute lymphocytic leukemia	neop	Treatment of acute lymphocytic leukemia	"NON-LYMPHOCYTIC LEUKEMIA|NONLYMPHOCYTIC LEUKEMIA, ACUTE|ACUTE NON-LYMPHOCYTIC LEUKEMIA|DOID:8692|MESH:D015470"	CHILDHOOD ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|CHILDHOOD ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|CHILDHOOD PRECURSOR LYMPHOBLASTIC LEUKEMIA IN REMISSION|PEDIATRIC ALL IN REMISSION|PEDIATRIC ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOID LEUKEMIA IN REMISSION|CHILDHOOD ALL IN REMISSION|CHILDHOOD ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|CHILDHOOD ACUTE LYMPHOID LEUKEMIA IN REMISSION|NCI:C7938|UMLS:C0279097	ACUTE LYMPHOID LEUKEMIA IN REMISSION|ACUTE LYMPHOCYTIC LEUKEMIA (IN REMISSION)|ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|PRECURSOR LYMPHOBLASTIC LEUKEMIA IN REMISSION|ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|ALL IN REMISSION|NCI:C3586|UMLS:C0153876|SNOMEDCT_US:91856007	blinatumomab	Blincyto	39584	Treatment of acute lymphocytic leukemia	Designated/Approved	Approved for Orphan Indication	BLINCYTO is indicated for the treatment of B-cell precursor acute lymphoblastic leukemia (ALL) in first or second complete remission with minimal residual disease (MRD) greater than or equal to 0.1% in adults and children.	 03/29/2018 	 03/29/2025	"Amgen, Inc."	One Amgen Center Dr.	Mail Stop 17-2-A	Thousand Oaks	California	91320	USA	255707
1263	Acute lymphoblastic leukemia	522	done		4972	of acute lymphocytic leukemia.	C0023449	Acute lymphocytic leukemia	neop	Treatment of acute lymphocytic leukemia.	"NON-LYMPHOCYTIC LEUKEMIA|NONLYMPHOCYTIC LEUKEMIA, ACUTE|ACUTE NON-LYMPHOCYTIC LEUKEMIA|DOID:8692|MESH:D015470"	CHILDHOOD ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|CHILDHOOD ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|CHILDHOOD PRECURSOR LYMPHOBLASTIC LEUKEMIA IN REMISSION|PEDIATRIC ALL IN REMISSION|PEDIATRIC ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOID LEUKEMIA IN REMISSION|CHILDHOOD ALL IN REMISSION|CHILDHOOD ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|CHILDHOOD ACUTE LYMPHOID LEUKEMIA IN REMISSION|NCI:C7938|UMLS:C0279097	ACUTE LYMPHOID LEUKEMIA IN REMISSION|ACUTE LYMPHOCYTIC LEUKEMIA (IN REMISSION)|ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|PRECURSOR LYMPHOBLASTIC LEUKEMIA IN REMISSION|ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|ALL IN REMISSION|NCI:C3586|UMLS:C0153876|SNOMEDCT_US:91856007	Pegaspargase	Oncaspar; Asparlas	32801	Treatment of acute lymphocytic leukemia.	Designated/Approved	Approved for Orphan Indication	ASPARLAS is indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia in pediatric and young adult patients age 1 month to 21 years.	 12/20/2018 	 N/A	Servier Pharmaceuticals LLC	200 Pier Four Blvd		Boston	Massachusetts	2210	USA	39589
1263	Acute lymphoblastic leukemia	522	done		4972	of acute lymphocytic leukemia.	C0023449	Acute lymphocytic leukemia	neop	Treatment of acute lymphocytic leukemia.	"NON-LYMPHOCYTIC LEUKEMIA|NONLYMPHOCYTIC LEUKEMIA, ACUTE|ACUTE NON-LYMPHOCYTIC LEUKEMIA|DOID:8692|MESH:D015470"	CHILDHOOD ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|CHILDHOOD ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|CHILDHOOD PRECURSOR LYMPHOBLASTIC LEUKEMIA IN REMISSION|PEDIATRIC ALL IN REMISSION|PEDIATRIC ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|PEDIATRIC ACUTE LYMPHOID LEUKEMIA IN REMISSION|CHILDHOOD ALL IN REMISSION|CHILDHOOD ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|CHILDHOOD ACUTE LYMPHOID LEUKEMIA IN REMISSION|NCI:C7938|UMLS:C0279097	ACUTE LYMPHOID LEUKEMIA IN REMISSION|ACUTE LYMPHOCYTIC LEUKEMIA (IN REMISSION)|ACUTE LYMPHOGENOUS LEUKEMIA IN REMISSION|PRECURSOR LYMPHOBLASTIC LEUKEMIA IN REMISSION|ACUTE LYMPHOCYTIC LEUKEMIA IN REMISSION|ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|ALL IN REMISSION|NCI:C3586|UMLS:C0153876|SNOMEDCT_US:91856007	Pegaspargase	Oncaspar; Asparlas	32801	Treatment of acute lymphocytic leukemia.	Designated/Approved	Approved for Orphan Indication	Combination chemotherapy for the treatment of patients with acute lymphoblastic leukemia who are hypersensitive to native forms of L-asparaginase.	 02/01/1994 	 02/01/2001	Servier Pharmaceuticals LLC	200 Pier Four Blvd		Boston	Massachusetts	2210	USA	39589
