Generic Name	Trade Name	UNII
Midodrine HCl	Amatine	59JV96YTXV
N-acetylgalactosamine-4-sulfatase, recombinant human	Naglazyme	59UA429E5G
Aminosalicylic acid	Paser Granules	5B2658E0N2
selexipag	Uptravi	5EXC0E384L
nilotinib	Tasigna	5JHU0N1R6K
nilotinib	Tasigna	5JHU0N1R6K
carglumic acid	Carbaglu	5L0HB4V1EW
Daunorubicin citrate liposome injection	Daunoxome	5L84T2Z6NP
Glatiramer acetate	Copaxone	5M691HL4BO
C1-esterase inhibitor (recombinant)	Ruconest	5QS67N4551
gilteritinib	Xospata	5RZZ0Z1GJT
artemether/lumefantrine	Coartem	5T2U51A0MW
Sorafenib	Nexavar	5T62Q3B36J
Sorafenib	Nexavar	5T62Q3B36J
sorafenib	Nexavar	5T62Q3B36J
Antihemophilic factor/von Willebrand factor complex (human), dried, pasteurized	Humate-P	5T6B772R4Q
Idarubicin HCl for injection	Idamycin	5VV3MDU5IE
idursulfase	Elaprase	5W8JGG2651
mefloquine HCL	Lariam	5Y9L3636O3
mefloquine HCL	Lariam	5Y9L3636O3
nelarabine	Arranon	60158CV180
Temsirolimus	Torisel	624KN6GM2T
paricalcitol	Zemplar	6702D36OG5
Pentamidine isethionate	Pentam 300	673LC5J4LQ
antihemophilic factor (recombinant), porcine sequence	Obizur	6892UQT2GK
bortezomib	Velcade	69G8BD63PP
bortezomib	Velcade	69G8BD63PP
bortezomib	Velcade	69G8BD63PP
bortezomib	Velcade	69G8BD63PP
bortezomib	Velcade	69G8BD63PP
gabapentin	Gralise	6CW7F3G59X
Zalcitabine	Hivid	6L3XT8CB3I
ipilimumab	Yervoy	6T8C155666
ipilimumab	Yervoy	6T8C155666
ipilimumab	Yervoy	6T8C155666
Coagulation factor IX	Mononine	6U90Y1795T
Selegiline HCl	Eldepryl	6W731X367Q
Zoledronate	Zometa, Zabel	6XC1PAD3KF
Technetium Tc99m sulfur colloid injection, lyophilized	Technetium Tc99m Sulfur Colloi	70FD1KFU70
carfilzomib	Kyprolis	72X6E3J5AR
gabapentin enacarbil	Horizant	75OCL1SPBQ
Octreotide	Sandostatin Lar	75R0U2568I
Octreotide	Sandostatin Lar	75R0U2568I
Octreotide	Sandostatin Lar	75R0U2568I
clofarabine	Clolar	762RDY0Y2H
decitabine	Dacogen	776B62CQ27
Respiratory syncytial virus immune globulin (Human)	Respigam	78I1W13C3D
Pegaspargase	Oncaspar; Asparlas	7D96IR0PPM
Pegaspargase	Oncaspar; Asparlas	7D96IR0PPM
Bleomycin sulfate	Blenoxane	7DP3NTV15T
sodium oxybate	Xyrem	7G33012534
sodium oxybate	Xyrem	7G33012534
sodium oxybate	Xyrem	7G33012534
Mecasermin	Increlex	7GR9I2683O
Dronabinol	Marinol	7J8897W37S
Riluzole	Rilutek	7LJ087RS6F
riluzole oral suspension	Tiglutik	7LJ087RS6F
riluzole oral suspension	Tiglutik	7LJ087RS6F
teduglutide [rDNA origin]	Gattex	7M19191IKG
teduglutide [rDNA origin]	Gattex	7M19191IKG
antihemophilic factor (recombinant), Fc fusion protein	Eloctate	7PCM518YLR
dexamethasone intravitreal implant	Ozurdex	7S5I7G3JQL
Sterile talc powder	Sclerosol Intrapleural Aerosol	7SEV7J4R1U
Sterile talc	Steritalc	7SEV7J4R1U
Sterile talc	Steritalc	7SEV7J4R1U
dinutuximab	Unituxin	7SQY4ZUD30
Satumomab pendetide	Oncoscint Cr/Ov	7V9926378A
Fosphenytoin	Cerebyx	7VLR55452Z
Brentuximab vedotin	Adcetris	7XL5ISS668
brentuximab vedotin	Adcetris	7XL5ISS668
brentuximab vedotin	Adcetris	7XL5ISS668
brentuximab vedotin	Adcetris	7XL5ISS668
brentuximab vedotin	Adcetris	7XL5ISS668
brentuximab vedotin	Adcetris	7XL5ISS668
brentuximab vedotin	Adcetris	7XL5ISS668
Amphotericin B lipid complex	Abelcet	7XU7A7DROE
Liposomal amphotericin B	Ambisome	7XU7A7DROE
Liposomal amphotericin B	Ambisome	7XU7A7DROE
mebendazole	Vermox 500 Mg Chewable Tablets	81G6I5V05I
Doxorubicin liposome	Doxil	82F2G7BL4E
doxorubicin HCL liposome injection	Doxil	82F2G7BL4E
lomitapide	Juxtapid	82KUB0583F
aripiprazole	Abilify	82VFR53I78
rosuvastatin	Crestor	83MVU38M7Q
imatinib mesylate	Gleevec	8A1O1M485B
imatinib mesylate	Gleevec	8A1O1M485B
imatinib mesylate	Gleevec	8A1O1M485B
Imatinib mesylate	Gleevec	8A1O1M485B
Imatinib mesylate	Gleevec	8A1O1M485B
Imatinib mesylate	Gleevec	8A1O1M485B
imatinib	Gleevec	8A1O1M485B
imatinib	Gleevec	8A1O1M485B
Imatinib	Gleevec	8A1O1M485B
Sacrosidase	Sucraid	8A7F670F2Y
Nafarelin acetate	Synarel Nasal Solution	8ENZ0QJW4H
Gemtuzumab ozogamicin	Mylotarg	8GZG754X6M
Gemtuzumab ozogamicin	Mylotarg	8GZG754X6M
amifampridine phosphate	Firdapse	8HF8FIN815
technetium Tc 99m tilmanocept	Lymphoseek	8IHI69PQTC
Thiotepa	Tepadina	905Z5W3GKH
triptorelin pamoate	Triptodur	9081Y98W2V
mepolizumab	Nucala	90Z2UF0E52
mepolizumab	Nucala	90Z2UF0E52
Pentosan polysulfate sodium	Elmiron	914032762Y
Antivenin crotaline (pit-viper) equine immune F(ab)2)	Anavip	92VV7G83ED
Solriamfetol	Sunosi	939U7C91AI
Inotersen	Tegsedi	950736UC77
Dornase alfa	Pulmozyme	953A26OA1Y
riboflavin ophthalmic solution ultraviolet-A (UVA) irradiation	Photrexa Viscous	957E53WV42
riboflavin ophthalmic solution & ultraviolet A	Photrexa Viscous	957E53WV42
Teniposide	Vumon For Injection	957E6438QA
ponatinib	Iclusig	96R6PU3D8J
ponatinib	Iclusig	96R6PU3D8J
Amiodarone HCl	Cordarone	976728SY6Z
bendamustine for 50 ml admixture	Bendeka	981Y8SX18M
bendamustine for 50ml admixture	Bendeka	981Y8SX18M
Bendamustine hydrochloride	Treanda	981Y8SX18M
bendamustine hydrochloride	Treanda	981Y8SX18M
Lidocaine patch 5%	Lidoderm Patch	98PI200987
Basiliximab	Simulect	9927MT646M
everolimus	Afinitor	9HW64Q8G6G
everolimus	Afinitor	9HW64Q8G6G
everolimus	Afinitor	9HW64Q8G6G
everolimus	Afinitor	9HW64Q8G6G
everolimus	Afinitor	9HW64Q8G6G
collagenase clostridium histolyticum	Xiaflex	9X7O8V25IT
collagenase clostridium histolyticum	Xiaflex	9X7O8V25IT
eculizumab	Soliris	A3ULP0F556
eculizumab	Soliris	A3ULP0F556
eculizumab	Soliris	A3ULP0F556
eculizumab	Soliris	A3ULP0F556
Ofloxacin	Ocuflox Ophthalmic Solution	A4P49JAZ9H
recombinant fusion protein linking coagulation factor IX with albumin (rIX-FP)	Idelvion	A57KX1VL5P
Bexarotene	Targretin	A61RXM4375
pralatrexate	Folotyn	A8Q8I19Q20
miglustat	Zavesca	ADN3S497AZ
eribulin mesylate	Halaven	AV9U0660CW
recombinant human antithrombin	Atryn	AWV6I5L6H2
Levomethadyl acetate hydrochloride	Orlaam	B54CW5KG52
dabrafenib	Tafinlar	B6DC89I63E
Amantadine hydrochloride	Gocovri	BF4C9Z1J53
dalfampridine	Ampyra	BH3B64OKL9
Coagulation factor Xa (recombinant), inactivated-zhzo	Andexxa	BI009E452R
trametinib and dabrafenib	Mekinist And Tafinlar	BSB9VJ5TUT
trametinib and dabrafenib	Mekinist And Tafinlar	BSB9VJ5TUT
trametinib and dabrafenib	Mekinist And Tafinlar	BSB9VJ5TUT
trametinib and dabrafenib	Mekinist And Tafinlar	BSB9VJ5TUT
trametinib	Mekinist	BSB9VJ5TUT
dabrafenib and trametinib	Mekinist	BSB9VJ5TUT
Tiopronin	Thiola	C5W04GO61S
Tiopronin	Thiola	C5W04GO61S
Tiopronin	Thiola	C5W04GO61S
migalastat hydrochloride	Galafold	CLY7M0XD20
anti-inhibitor coagulant complex	Feiba	CS849DUN3M
Somatrem for injection	Protropin	CU8D464EDW
romidepsin	Istodax	CX3T89XQBK
romidepsin	Istodax	CX3T89XQBK
pomalidomide	Pomalyst	D2UX06XLB5
Erwinia L-asparaginase	Erwinase	D733ET3F9O
pirfenidone	Esbriet	D7NLD2JX7U
Clofazimine	Lamprene	D959AE5USF
ramucirumab	Cyramza	D99YVK4L0X
ramucirumab	Cyramza	D99YVK4L0X
Centruroides immune F(ab)2	Anascorp	DDA050FCEA
tafenoquine	Krintafel	DL5J0B8VSS
pembrolizumab	Keytruda	DPT0O3T46P
pembrolizumab	Keytruda	DPT0O3T46P
pembrolizumab	Keytruda	DPT0O3T46P
pembrolizumab	Keytruda	DPT0O3T46P
pembrolizumab	Keytruda	DPT0O3T46P
pembrolizumab	Keytruda	DPT0O3T46P
pembrolizumab	Keytruda	DPT0O3T46P
pembrolizumab	Keytruda	DPT0O3T46P
pembrolizumab	Keytruda	DPT0O3T46P
pembrolizumab	Keytruda	DPT0O3T46P
cabozantinib	Cabometyx	DR7ST46X58
cabozantinib	Cometriq	DR7ST46X58
Recombinant human acid alpha-glucosidase; alglucosidase alfa	1. Myozyme 2. Lumizyme	DTI67O9503
Recombinant human acid alpha-glucosidase; alglucosidase alfa	1. Myozyme 2. Lumizyme	DTI67O9503
Recombinant human acid alpha-glucosidase; alglucosidase alfa	1. Myozyme 2. Lumizyme	DTI67O9503
Succimer	Chemet Capsules	DX1U2629QE
Japanese encephalitis vaccine, inactivated, adsorbed	Ixiaro	DZ854I04ZE
belatacept	Nulojix	E3B2GI648A
mercaptopurine oral solution	Purixan	E7WED276I5
Potassium citrate	Urocit-K	EE90ONI6FF
Potassium citrate	Urocit-K	EE90ONI6FF
lenalidomide	Revlimid	F0P408N6V4
lenalidomide	Revlimid	F0P408N6V4
lenalidomide	Revlimid	F0P408N6V4
lenalidomide	Revlimid	F0P408N6V4
lenalidomide	Revlimid	F0P408N6V4
lenalidomide	Revlimid	F0P408N6V4
lenalidomide	Revlimid	F0P408N6V4
lenalidomide	Revlimid	F0P408N6V4
lenalidomide	Revlimid	F0P408N6V4
Apomorphine HCl	Apokyn	F39049Y068
Albendazole	Albenza	F4216019LN
Albendazole	Albenza	F4216019LN
Alpha1-proteinase inhibitor (human)	Prolastin	F43I396OIS
Belinostat	Beleodaq	F4H96P17NZ
factor XIII concentrate (human)	Corifact	F7R0FBC1XD
factor XIII concentrate (human)	Corifact	F7R0FBC1XD
propranolol	Hemangeol	F8A3652H1V
tecovirimat	Tpoxx	F925RR824R
cholic acid	Cholbam	G1JO7801AE
Busulfan	Busulfex	G1LN9045DK
bictegravir/emtricitabine/tenofovir disoproxil fumarate	Biktarvy	G70B4ETF4S
peginterferon alfa-2b	Sylatron	G8RGG88B68
Liothyronine sodium injection	Triostat	GCA9VV7D2N
romiplostim	Nplate	GN5XU2DXKV
romiplostim	Nplate	GN5XU2DXKV
romiplostim	Nplate	GN5XU2DXKV
vigabatrin	Sabril	GR120KRT6K
Halofantrine	Halfan	H77DL0Y630
baclofen	Ozobax	H789N3FKE8
baclofen	Lioresal Intrathecal	H789N3FKE8
Trientine HCl	Syprine	HC3NX54582
Sotalol HCl	Betapace	HEC37C70XX
Oprelvekin	Neumega	HM5641GA6F
panobinostat	Farydak	HN0T99OO4V
ambrisentan	Letairis	HW6NV07QEC
brigatinib	Alunbrig	HYW8DB273J
tocilizumab	Actemra	I031V2H011
tocilizumab	Actemra	I031V2H011
tocilizumab	Actemra	I031V2H011
Calcitonin-human for injection	Cibacalcin	I0IO929019
acalabrutinib	Calquence	I42748ELQW
pasireotide	Signifor	I4P76SY3N4
pasireotide	Signifor	I4P76SY3N4
midostaurin	Rydapt	ID912S5VON
midostaurin	Rydapt	ID912S5VON
Lanreotide	Somatuline Depot	IEU56G3J9C
lanreotide acetate	Somatuline Depot	IEU56G3J9C
droxidopa	Northera	J7A92W69L7
Iloprost inhalation solution	Ventavis	JED5K35YGL
Betaine	Cystadane	JK8U8K4D6K
repository corticotropin or adrenocorticotropic hormone	H.P. Acthar Gel	K0U68Q2TXA
Tositumomab and iodine I 131 tositumomab	Bexxar	K1KT5M40JC
ceritinib	Zykadia	K418KG2GET
ceritinib	Zykadia	K418KG2GET
sebelipase alfa	Kanuma	K4YTU42T8G
Nitisinone	Orfadin	K5BN214699
Nitisinone	Orfadin	K5BN214699
Pulmonary surfactant replacement, porcine	Curosurf	KE3U2023NP
deflazacort	Emflaza	KR5YZ6AE4B
deflazacort	Emflaza	KR5YZ6AE4B
avelumab (Recombinant human monoclonal IgG1 antibody against programmed death ligand-1)	Bavencio	KXG2PJ551I
meclorethamine	Valchlor	L0MR697HHI
Trimetrexate glucuronate	Neutrexin	L137U4A79K
defibrotide	Defitelio	L7CHH2B2J0
Gonadorelin acetate	Lutrepulse	L8CRY8PWF2
evolocumab	Repatha	LKC0U3A8NJ
Etidronate disodium	Didronel	M16PXG993G
Amifostine	Ethyol	M487QF2F4V
Amifostine	Ethyol	M487QF2F4V
azacitidine	Vidaza	M801H13NRU
Aldesleukin	Proleukin	M89N0Q7EQR
Aldesleukin	Proleukin	M89N0Q7EQR
ofatumumab	Arzerra	M95KG522R0
ofatumumab	Arzerra	M95KG522R0
ofatumumab	Arzerra	M95KG522R0
ofatumumab	Arzerra	M95KG522R0
onasemnogene abeparvovec	Zolgensma	MLU3LU3EVV
Pentastarch	Pentaspan	MOQ3RNM0SV
Ibuprofen lysine	Neoprofen	N01ORX9D6S
eliglustat	Cerdelga	N0493335P3
parathyroid hormone	Natpara	N19A0T0E5J
venetoclax	Venclexta	N54AIC43PW
venetoclax	Venclexta	N54AIC43PW
venetoclax	Venclexta	N54AIC43PW
venetoclax	Venclexta	N54AIC43PW
liposomal amikacin	Arikayce	N6M33094FD
Pegvisomant	Somavert	N824AOU5XV
Somatropin for injection	Serostim	NQX9KB6PCL
Somatropin (rDNA origin)	Saizen	NQX9KB6PCL
Somatropin for injection	Nutropin	NQX9KB6PCL
Somatropin	Genotropin	NQX9KB6PCL
Somatropin for injection	Humatrope	NQX9KB6PCL
Somatropin	Nutropin	NQX9KB6PCL
Somatropin (rDNA origin)	Nutropin Depot	NQX9KB6PCL
somatropin [rDNA]	Genotropin	NQX9KB6PCL
Somatropin for injection	Nutropin	NQX9KB6PCL
Somatropin	Humatrope	NQX9KB6PCL
Somatropin	Norditropin	NQX9KB6PCL
Somatropin [rDNA]	Genotropin	NQX9KB6PCL
Somatropin (r-DNA)	Zorbtive	NQX9KB6PCL
Somatropin (rDNA origin) injection	Norditropin	NQX9KB6PCL
Somatropin for injection	Nutropin	NQX9KB6PCL
Somatropin	Humatrope	NQX9KB6PCL
Mesna	Mesnex	NR7O1405Q9
sodium phenylbutyrate	Buphenyl	NT6K61736T
coagulation factor XIII A-subunit (recombinant)	Tretten	NU23Q531G1
Exemestane	Aromasin	NY22HMQ4BX
Ritonavir powder for oral suspension	Norvir Powder For Oral Suspension	O3J8G9O825
obinutuzumab	Gazyva	O43472U9X8
obinutuzumab	Gazyva	O43472U9X8
obinutuzumab	Gazyva	O43472U9X8
plerixafor	Mozobil (R)	OD49913540
elosulfase alfa	Vimizim	ODJ69JZG85
Lorlatinib	Lorbrena	OSP71S83EU
tenofovir	Viread	OTT9J7900I
bedaquiline	Sirturo	P04QX2C1A5
bedaquiline	Sirturo	P04QX2C1A5
d6-tetrabenazine, deutetrabenazine	Austedo	P341G6W9NB
Paclitaxel	Taxol	P88XT4IS4D
Antihemophilic factor (recombinant)	Kogenate	P89DR4NY54
Ganciclovir intravitreal implant	Vitrasert Implant	P9G3CKZ4P5
ganciclovir	Zirgan	P9G3CKZ4P5
alectinib	Alecensa	P9YY73LO6J
alectinib	Alecensa	P9YY73LO6J
ascorbic acid	Ascor	PQ6CK8PD0R
cetuximab	Erbitux	PQX0D8J21J
ivosidenib	Tibsovo	Q2PCN8MAM6
ivosidenib	Tibsovo	Q2PCN8MAM6
Cromolyn sodium	Gastrocrom	Q2WXR1I0PK
Cromolyn sodium 4% ophthalmic solution	Opticrom 4% Ophthalmic Solution	Q2WXR1I0PK
bosentan	Tracleer	Q326023R30
bosentan	Tracleer	Q326023R30
Diazepam viscous solution for rectal administration	Diastat	Q3JTX2Q7TU
Hydroxocobalamin	Cyanokit	Q40X8H422O
Melphalan	Alkeran For Injection	Q41OR9510P
Iobenguane I 131	Azedra Ultratrace	Q461L7AK4R
calfactant	Infasurf	Q4K217VGA9
(tisagenlecleucel) Autologous T Cells transduced with lentiviral vector containing a chimeric antigen receptor directed against CD19	Kymriah (Tisagenlecleucel)	Q6C9WHR03O
tisagenlecleucel-T	Kymriah	Q6C9WHR03O
Imiglucerase	Cerezyme	Q6U6J48BWY
Altretamine	Hexalen	Q8BIH59O7H
Histrelin	Supprelin La	QMG7HLD1ZE
Histrelin acetate	Supprelin Injection	QMG7HLD1ZE
cysteamine enteric coated	Procysbi	QO84GZ3TST
cysteamine enteric coated	Procysbi	QO84GZ3TST
cysteamine enteric coated	Procysbi	QO84GZ3TST
Cysteamine	Cystagon	QO84GZ3TST
stiripentol	Diacomit	R02XOT8V8I
Synthetic porcine secretin	Secreflo	R0R146K62L
Synthetic porcine secretin	Secreflo	R0R146K62L
Synthetic porcine secretin	Secreflo	R0R146K62L
Modafinil	Provigil	R3UK8X3U3D
pegloticase	Krystexxa	R581OT55EA
midazolam	Nayzilam	R60L0SM5BC
Dasatinib	Sprycel	RBZ1571X5H
Dasatinib	Sprycel	RBZ1571X5H
dasatinib	Sprycel	RBZ1571X5H
dasatinib	Sprycel	RBZ1571X5H
larotrectinib	Vitrakvi	RDF76R62ID
osimertinib	Tagrisso	RDL94R2A16
osimertinib	Tagrisso	RDL94R2A16
sapropterin	Kuvan	RG277LF5B3
Leucovorin	Leucovorin Calcium	RPR1R4C0P4
Leucovorin	Leucovorin Calcium	RPR1R4C0P4
Mafenide acetate solution	Sulfamylon Solution	RQ6LP6Z0WY
riociguat	Adempas	RU3FE2Y4XI
riociguat	Adempas	RU3FE2Y4XI
amifampridine	Ruzurgi	RU4S6E2G0J
treprostinil (inhalational)	Tyvaso	RUM6K67ESG
capsaicin	Qutenza	S07O44R1ZM
gefitinib	Iressa	S65743JHBS
edaravone	Radicava	S798V6YJRP
Arsenic trioxide	Trisenox	S7V92P67HO
Arsenic trioxide	Trisenox	S7V92P67HO
Beractant	Survanta Intratracheal Suspension	S866O45PIG
Beractant	Survanta Intratracheal Suspension	S866O45PIG
difluprednate	Durezol	S8A06QG2QE
tasimelteon	Hetlioz	SHS4PU80D9
colchicine	Colcrys	SML2Y3J35T
Nitazoxanide	Alinia	SOA12P041N
nitazoxanide	Alinia	SOA12P041N
Antithrombin III (human)	Atnativ	T0LTO7L82X
Antithrombin III (human)	Thrombate Iii	T0LTO7L82X
methylene blue0.5%	Provayblue	T42P99266K
siltuximab	Sylvant	T4H8FMA7IM
Glasdegib	Daurismo	TH2EV99S4Z
Megestrol acetate	Megace	TJ2M0FR8ES
metreleptin	Myalept	TL60C27RLH
iron(III)-hexacyanoferrate(II)	Radiogardase	TLE294X33A
ivabradine	Corlanor	TP19837BZK
olaratumab	Lartruvo	TT6HN20MVF
Interferon beta-1b	Betaseron	TTD90R31WZ
