Generic Name	Trade Name	UNII	Gene	UniProt	Family	Name
Topiramate	Topamax	0H73WJJ391	GRIK2	Q13002	IC	Glutamate receptor ionotropic, kainate 2
Topiramate	Topamax	0H73WJJ391	GRIK3	Q13003	IC	Glutamate receptor ionotropic, kainate 3
Topiramate	Topamax	0H73WJJ391	GRIK4	Q16099	IC	Glutamate receptor ionotropic, kainate 4
Topiramate	Topamax	0H73WJJ391	GRIK5	Q16478	IC	Glutamate receptor ionotropic, kainate 5
Taliglucerase alfa	Elelyso For Injection	0R4NLX88O4				
L-glutamine	Endari	0RH81L854J				
Glutamine	Nutrestore	0RH81L854J				
Pilocarpine	Salagen	0WW6D218XJ	CHRM3	P20309	GPCR	Muscarinic acetylcholine receptor M3
Pilocarpine HCl	Salagen	0WW6D218XJ	CHRM3	P20309	GPCR	Muscarinic acetylcholine receptor M3
Botulinum toxin type B	Myobloc	0Y70779M1F				
Cytomegalovirus immune globulin (human)	Cytogam	129L90A25N				
elotuzumab	Empliciti	1351PE5UGS	SLAMF7	Q9NQ25	Unknown	SLAM family member 7
elotuzumab	Empliciti	1351PE5UGS	SLAMF7	Q9NQ25	Unknown	SLAM family member 7
Metronidazole (topical)	Metrogel	140QMO216E				
mipomersen	Kynamro	18EAY4870E				
niraparib	Zejula	195Q483UZD	PARP1	P09874	Enzyme	Poly [ADP-ribose] polymerase 1
niraparib	Zejula	195Q483UZD	PARP2	Q9UGN5	Enzyme	Poly [ADP-ribose] polymerase 2
niraparib	Zejula	195Q483UZD	PARP1	P09874	Enzyme	Poly [ADP-ribose] polymerase 1
niraparib	Zejula	195Q483UZD	PARP2	Q9UGN5	Enzyme	Poly [ADP-ribose] polymerase 2
cannabidiol	Epidiolex	19GBJ60SN5				
cannabidiol	Epidiolex	19GBJ60SN5				
Potassium Iodide Oral Solution	Thyroshield	1C4QK22F9J				
letermovir	Prevymis	1H09Y5WO1F				
cinacalcet	Sensipar	1K860WSG25	CASR	P41180	GPCR	Extracellular calcium-sensing receptor
cinacalcet	Sensipar	1K860WSG25	CASR	P41180	GPCR	Extracellular calcium-sensing receptor
cinacalcet	Sensipar	1K860WSG25	CASR	P41180	GPCR	Extracellular calcium-sensing receptor
Alitretinoin	Panretin	1UA8E65KDZ	RARG	P13631	NR	Retinoic acid receptor gamma
Alitretinoin	Panretin	1UA8E65KDZ	RARB	P10826	NR	Retinoic acid receptor beta
Alitretinoin	Panretin	1UA8E65KDZ	RXRG	P48443	NR	Retinoic acid receptor RXR-gamma
Alitretinoin	Panretin	1UA8E65KDZ	RXRB	P28702	NR	Retinoic acid receptor RXR-beta
Alitretinoin	Panretin	1UA8E65KDZ	RXRA	P19793	NR	Retinoic acid receptor RXR-alpha
Alitretinoin	Panretin	1UA8E65KDZ	RARA	P10276	NR	Retinoic acid receptor alpha
melphalan	Evomela	1VXP4V453T				
Rifabutin	Mycobutin	1W306TDA6S				
ibrutinib	Imbruvica	1X70OSD4VX	BTK	Q06187	Kinase	Tyrosine-protein kinase BTK
ibrutinib	Imbruvica	1X70OSD4VX	BTK	Q06187	Kinase	Tyrosine-protein kinase BTK
ibrutinib	Imbruvica	1X70OSD4VX	BTK	Q06187	Kinase	Tyrosine-protein kinase BTK
ibrutinib	Imbruvica	1X70OSD4VX	BTK	Q06187	Kinase	Tyrosine-protein kinase BTK
ibrutinib	Imbruvica	1X70OSD4VX	BTK	Q06187	Kinase	Tyrosine-protein kinase BTK
ibrutinib	Imbruvica	1X70OSD4VX	BTK	Q06187	Kinase	Tyrosine-protein kinase BTK
ibrutinib	Imbruvica	1X70OSD4VX	BTK	Q06187	Kinase	Tyrosine-protein kinase BTK
ibrutinib	Imbruvica	1X70OSD4VX	BTK	Q06187	Kinase	Tyrosine-protein kinase BTK
ibrutinib	Imbruvica	1X70OSD4VX	BTK	Q06187	Kinase	Tyrosine-protein kinase BTK
ibrutinib	Imbruvica	1X70OSD4VX	BTK	Q06187	Kinase	Tyrosine-protein kinase BTK
Fludarabine phosphate	Fludara	1X9VK9O1SC	POLA1	P09884	Enzyme	DNA polymerase alpha catalytic subunit
afamelanotide	Scenesse	1XCC161YKC	MC1R	Q01726	GPCR	Melanocyte-stimulating hormone receptor
Balsalazide disodium	Colazal	1XL6BJI034	PTGS1	P23219	Enzyme	Prostaglandin G/H synthase 1
Balsalazide disodium	Colazal	1XL6BJI034	PTGS2	P35354	Enzyme	Prostaglandin G/H synthase 2
Balsalazide disodium	Colazal	1XL6BJI034	ALOX5	P09917	Enzyme	Arachidonate 5-lipoxygenase
Balsalazide disodium	Colazal	1XL6BJI034	PPARG	P37231	NR	Peroxisome proliferator-activated receptor gamma
ivacaftor	Kalydeco	1Y740ILL1Z	CFTR	P13569	IC	Cystic fibrosis transmembrane conductance regulator
ivacaftor	Kalydeco	1Y740ILL1Z	CFTR	P13569	IC	Cystic fibrosis transmembrane conductance regulator
ivacaftor	Kalydeco	1Y740ILL1Z	CFTR	P13569	IC	Cystic fibrosis transmembrane conductance regulator
ivacaftor	Kalydeco	1Y740ILL1Z	CFTR	P13569	IC	Cystic fibrosis transmembrane conductance regulator
ivacaftor	Kalydeco	1Y740ILL1Z	CFTR	P13569	IC	Cystic fibrosis transmembrane conductance regulator
ivacaftor	Kalydeco	1Y740ILL1Z	CFTR	P13569	IC	Cystic fibrosis transmembrane conductance regulator
ivacaftor	Kalydeco	1Y740ILL1Z	CFTR	P13569	IC	Cystic fibrosis transmembrane conductance regulator
ivacaftor	Kalydeco	1Y740ILL1Z	CFTR	P13569	IC	Cystic fibrosis transmembrane conductance regulator
vemurafenib	Zelboraf	207SMY3FQT	BRAF	P15056	Kinase	Serine/threonine-protein kinase B-raf
vemurafenib	Zelboraf	207SMY3FQT	BRAF	P15056	Kinase	Serine/threonine-protein kinase B-raf
tolvaptan	Jynarque	21G72T1950	AVPR2	P30518	GPCR	Vasopressin V2 receptor
Interferon gamma-1b	Actimmune	21K6M2I7AG				
Interferon gamma 1-b	Actimmune	21K6M2I7AG				
Epirubicin	Ellence	22966TX7J5				
lanadelumab-flyo	Takhzyro	2372V1TKXK				
velaglucerase-alfa	Vpriv	23HYE36B0I				
Toremifene	Fareston	2498Y783QT	ESR1	P03372	NR	Estrogen receptor
regorafenib	Stivarga	24T2A1DOYB	KDR	P35968	Kinase	Vascular endothelial growth factor receptor 2
regorafenib	Stivarga	24T2A1DOYB	BRAF	P15056	Kinase	Serine/threonine-protein kinase B-raf
regorafenib	Stivarga	24T2A1DOYB	KDR	P35968	Kinase	Vascular endothelial growth factor receptor 2
regorafenib	Stivarga	24T2A1DOYB	BRAF	P15056	Kinase	Serine/threonine-protein kinase B-raf
denileukin diftitox	Ontak	25E79B5CTM	IL2RA	P01589	Unknown	Interleukin-2 receptor subunit alpha
denileukin diftitox	Ontak	25E79B5CTM	IL2RB	P14784	Unknown	Interleukin-2 receptor subunit beta
denileukin diftitox	Ontak	25E79B5CTM	IL2RG	P31785	Unknown	Cytokine receptor common subunit gamma
hydroxyprogesterone caproate	Makena	276F2O42F5	PGR	P06401	NR	Progesterone receptor
hydroxyprogesterone caproate	Makena	276F2O42F5	PGR	P06401	NR	Progesterone receptor
Alglucerase injection	Ceredase	27T56C7KK0				
dantrolene sodium suspension for injection	Ryanodex	287M0347EV	RYR1	P21817	IC	Ryanodine receptor 1
dantrolene sodium suspension for injection	Ryanodex	287M0347EV	RYR3	Q15413	IC	Ryanodine receptor 3
obiltoxaximab	Anthim	29Z5DNL48C				
Valrubicin	Valstar	2C6NUM6878	TOP2A	P11388	Enzyme	DNA topoisomerase 2-alpha
glucarpidase	Voraxaze	2GFP9BJD79				
Icodextrin 7.5% with Electrolytes Peritoneal Dialysis Solution	Extraneal (With 7.5% Icodextrin) Peritoneal Dialysis Solutio	2NX48Z0A9G				
pemetrexed disodium	Alimta	2PKU919BA9	DHFR	P00374	Enzyme	Dihydrofolate reductase
pemetrexed disodium	Alimta	2PKU919BA9	TYMS	P04818	Enzyme	Thymidylate synthase
pemetrexed disodium	Alimta	2PKU919BA9	GART	P22102	Unknown	Trifunctional purine biosynthetic protein adenosine-3
bevacizumab	Avastin	2S9ZZM9Q9V	VEGFA	P15692	Unknown	Vascular endothelial growth factor A
bevacizumab	Avastin	2S9ZZM9Q9V	VEGFA	P15692	Unknown	Vascular endothelial growth factor A
bevacizumab	Avastin	2S9ZZM9Q9V	VEGFA	P15692	Unknown	Vascular endothelial growth factor A
bevacizumab	Avastin	2S9ZZM9Q9V	VEGFA	P15692	Unknown	Vascular endothelial growth factor A
bevacizumab	Avastin	2S9ZZM9Q9V	VEGFA	P15692	Unknown	Vascular endothelial growth factor A
bevacizumab	Avastin	2S9ZZM9Q9V	VEGFA	P15692	Unknown	Vascular endothelial growth factor A
bevacizumab	Avastin	2S9ZZM9Q9V	VEGFA	P15692	Unknown	Vascular endothelial growth factor A
bevacizumab	Avastin	2S9ZZM9Q9V	VEGFA	P15692	Unknown	Vascular endothelial growth factor A
bevacizumab	Avastin	2S9ZZM9Q9V	VEGFA	P15692	Unknown	Vascular endothelial growth factor A
bevacizumab	Avastin	2S9ZZM9Q9V	VEGFA	P15692	Unknown	Vascular endothelial growth factor A
bevacizumab	Avastin	2S9ZZM9Q9V	VEGFA	P15692	Unknown	Vascular endothelial growth factor A
Pretomanid	Pretomanid	2XOI31YC4N				
Nitric oxide	Inomax	31C4KY9ESH	GUCY1B2	O75343	Enzyme	Guanylate cyclase soluble subunit beta-2
Nitric oxide	Inomax	31C4KY9ESH	GUCY1A2	P33402	Enzyme	Guanylate cyclase soluble subunit alpha-2
Nitric oxide	Inomax	31C4KY9ESH	GUCY1A1	Q02108	Enzyme	Guanylate cyclase soluble subunit alpha-1
Nitric oxide	Inomax	31C4KY9ESH	GUCY1B1	Q02153	Enzyme	Guanylate cyclase soluble subunit beta-1
isavuconazonium sulfate	Cresemba	31Q44514JV				
isavuconazonium sulfate	Cresemba	31Q44514JV				
nivolumab	Opdivo	31YO63LBSN	PDCD1	Q15116	Unknown	Programmed cell death protein 1
nivolumab	Opdivo	31YO63LBSN	PDCD1	Q15116	Unknown	Programmed cell death protein 1
nivolumab	Opdivo	31YO63LBSN	PDCD1	Q15116	Unknown	Programmed cell death protein 1
nivolumab	Opdivo	31YO63LBSN	PDCD1	Q15116	Unknown	Programmed cell death protein 1
nivolumab	Opdivo	31YO63LBSN	PDCD1	Q15116	Unknown	Programmed cell death protein 1
nivolumab	Opdivo	31YO63LBSN	PDCD1	Q15116	Unknown	Programmed cell death protein 1
mifepristone	Korlym	320T6RNW1F	PGR	P06401	NR	Progesterone receptor
mifepristone	Korlym	320T6RNW1F	NR3C1	P04150	NR	Glucocorticoid receptor
icatibant	Firazyr	325O8467XK	BDKRB2	P30411	GPCR	B2 bradykinin receptor
intravenous carbamazepine	Carnexiv	33CM23913M				
Varicella Zoster Immune Globulin (Human)	Varizig	33T61IWL27				
pazopanib	Votrient	33Y9ANM545	FLT1	P17948	Kinase	Vascular endothelial growth factor receptor 1
pazopanib	Votrient	33Y9ANM545	KDR	P35968	Kinase	Vascular endothelial growth factor receptor 2
pazopanib	Votrient	33Y9ANM545	FGFR3	P22607	Kinase	Fibroblast growth factor receptor 3
pazopanib	Votrient	33Y9ANM545	PDGFRA	P16234	Kinase	Platelet-derived growth factor receptor alpha
pazopanib	Votrient	33Y9ANM545	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
pazopanib	Votrient	33Y9ANM545	FGFR1	P11362	Kinase	Fibroblast growth factor receptor 1
pazopanib	Votrient	33Y9ANM545	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
pazopanib	Votrient	33Y9ANM545	CSF1R	P07333	Kinase	Macrophage colony-stimulating factor 1 receptor
pazopanib	Votrient	33Y9ANM545	FLT4	P35916	Kinase	Vascular endothelial growth factor receptor 3
pazopanib	Votrient	33Y9ANM545	LCK	P06239	Kinase	Tyrosine-protein kinase Lck
pazopanib	Votrient	33Y9ANM545	ITK	Q08881	Kinase	Tyrosine-protein kinase ITK/TSK
canakinumab	Ilaris	37CQ2C7X93	IL1B	P01584	Unknown	Interleukin-1 beta
canakinumab	Ilaris	37CQ2C7X93	IL1B	P01584	Unknown	Interleukin-1 beta
canakinumab	Ilaris	37CQ2C7X93	IL1B	P01584	Unknown	Interleukin-1 beta
canakinumab	Ilaris	37CQ2C7X93	IL1B	P01584	Unknown	Interleukin-1 beta
canakinumab	Ilaris	37CQ2C7X93	IL1B	P01584	Unknown	Interleukin-1 beta
Leuprolide acetate	Lupron Injection	37JNS02E7V				
Coagulation Factor IX (recombinant)	Benefix	382L14738L				
coagulation factor IX (recombinant)	Rixubis	382L14738L				
pentostatin for injection	Nipent	395575MZO7	ADA	P00813	Enzyme	Adenosine deaminase
lenvatinib	Lenvima	3J78384F61	FLT1	P17948	Kinase	Vascular endothelial growth factor receptor 1
lenvatinib	Lenvima	3J78384F61	KDR	P35968	Kinase	Vascular endothelial growth factor receptor 2
lenvatinib	Lenvima	3J78384F61	FLT4	P35916	Kinase	Vascular endothelial growth factor receptor 3
lenvatinib	Lenvima	3J78384F61	FGFR1	P11362	Kinase	Fibroblast growth factor receptor 1
lenvatinib	Lenvima	3J78384F61	PDGFRA	P16234	Kinase	Platelet-derived growth factor receptor alpha
lenvatinib	Lenvima	3J78384F61	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
lenvatinib	Lenvima	3J78384F61	RET	P07949	Kinase	Proto-oncogene tyrosine-protein kinase receptor Ret
lenvatinib	Lenvima	3J78384F61	FLT1	P17948	Kinase	Vascular endothelial growth factor receptor 1
lenvatinib	Lenvima	3J78384F61	KDR	P35968	Kinase	Vascular endothelial growth factor receptor 2
lenvatinib	Lenvima	3J78384F61	FLT4	P35916	Kinase	Vascular endothelial growth factor receptor 3
lenvatinib	Lenvima	3J78384F61	FGFR1	P11362	Kinase	Fibroblast growth factor receptor 1
lenvatinib	Lenvima	3J78384F61	PDGFRA	P16234	Kinase	Platelet-derived growth factor receptor alpha
lenvatinib	Lenvima	3J78384F61	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
lenvatinib	Lenvima	3J78384F61	RET	P07949	Kinase	Proto-oncogene tyrosine-protein kinase receptor Ret
Recombinant human luteinizing hormone	Luveris	3JGY52XJNA				
dehydrated alcohol	Ablysinol	3K9958V90M				
telotristat etiprate	Xermelo	3T25U84H4U				
buprenorphine in combination with naloxone	Suboxone	40D3SCR4GZ				
rucaparib	Rubraca	41AX9SJ8KO	PARP1	P09874	Enzyme	Poly [ADP-ribose] polymerase 1
rucaparib	Rubraca	41AX9SJ8KO	PARP2	Q9UGN5	Enzyme	Poly [ADP-ribose] polymerase 2
rucaparib	Rubraca	41AX9SJ8KO	PARP3	Q9Y6F1	Enzyme	Poly [ADP-ribose] polymerase 3
rucaparib	Rubraca	41AX9SJ8KO	PARP1	P09874	Enzyme	Poly [ADP-ribose] polymerase 1
rucaparib	Rubraca	41AX9SJ8KO	PARP2	Q9UGN5	Enzyme	Poly [ADP-ribose] polymerase 2
rucaparib	Rubraca	41AX9SJ8KO	PARP3	Q9Y6F1	Enzyme	Poly [ADP-ribose] polymerase 3
Allopurinol sodium	Aloprim For Injection	428673RC2Z	XDH	P47989	Enzyme	Xanthine dehydrogenase/oxidase
ruxolitinib phosphate	Jakafi	436LRU32H5	JAK2	O60674	Kinase	Tyrosine-protein kinase JAK2
ruxolitinib phosphate	Jakafi	436LRU32H5	JAK1	P23458	Kinase	Tyrosine-protein kinase JAK1
ruxolitinib	Jakafi	436LRU32H5	JAK2	O60674	Kinase	Tyrosine-protein kinase JAK2
ruxolitinib	Jakafi	436LRU32H5	JAK1	P23458	Kinase	Tyrosine-protein kinase JAK1
ruxolitinib	Jakafi	436LRU32H5	JAK2	O60674	Kinase	Tyrosine-protein kinase JAK2
ruxolitinib	Jakafi	436LRU32H5	JAK1	P23458	Kinase	Tyrosine-protein kinase JAK1
ixazomib citrate	Ninlaro	46CWK97Z3K	PSMB5	P28074	Enzyme	Proteasome subunit beta type-5
triclabendazole	Egaten	4784C8E03O				
Cladribine	Leustatin Injection	47M74X9YT5				
Interferon alfa-2a	Roferon A	47RRR83SK7				
Interferon alfa-2a (recombinant)	Roferon-A	47RRR83SK7				
Rho (D) immune globulin intravenous (human)	Winrho Sd	48W7181FLP				
ribavirin	Rebetol	49717AWG6K	IMPDH1	P20839	Enzyme	Inosine-5'-monophosphate dehydrogenase 1
zidovudine	Retrovir	4B9XT59T7S				
nusinersen	Spinraza	4CHB7QQU1Q				
denosumab	Xgeva	4EQZ6YO2HI	TNFSF11	O14788	Unknown	Tumor necrosis factor ligand superfamily member 11
denosumab	Xgeva	4EQZ6YO2HI	TNFSF11	O14788	Unknown	Tumor necrosis factor ligand superfamily member 11
rituximab	Rituxan	4F4X42SYQ6	MS4A1	P11836	Unknown	B-lymphocyte antigen CD20
rituximab	Rituxan	4F4X42SYQ6	MS4A1	P11836	Unknown	B-lymphocyte antigen CD20
rituximab and recombinant human hyaluronidase	Rituxan Sc	4F4X42SYQ6	MS4A1	P11836	Unknown	B-lymphocyte antigen CD20
rituximab and recombinant human hyaluronidase	Rituxan Sc	4F4X42SYQ6	MS4A1	P11836	Unknown	B-lymphocyte antigen CD20
rituximab	Rituxan	4F4X42SYQ6	MS4A1	P11836	Unknown	B-lymphocyte antigen CD20
rituximab	Rituxan	4F4X42SYQ6	MS4A1	P11836	Unknown	B-lymphocyte antigen CD20
raloxifene	Evista	4F86W47BR6	ESR2	Q92731	NR	Estrogen receptor beta
raloxifene	Evista	4F86W47BR6	ESR1	P03372	NR	Estrogen receptor
blinatumomab	Blincyto	4FR53SIF3A	CD19	P15391	Unknown	B-lymphocyte antigen CD19
blinatumomab	Blincyto	4FR53SIF3A	CD3D	P04234	Unknown	T-cell surface glycoprotein CD3 delta chain
blinatumomab	Blincyto	4FR53SIF3A	CD3E	P07766	Unknown	T-cell surface glycoprotein CD3 epsilon chain
blinatumomab	Blincyto	4FR53SIF3A	CD3G	P09693	Unknown	T-cell surface glycoprotein CD3 gamma chain
blinatumomab	Blincyto	4FR53SIF3A	CD19	P15391	Unknown	B-lymphocyte antigen CD19
blinatumomab	Blincyto	4FR53SIF3A	CD3D	P04234	Unknown	T-cell surface glycoprotein CD3 delta chain
blinatumomab	Blincyto	4FR53SIF3A	CD3E	P07766	Unknown	T-cell surface glycoprotein CD3 epsilon chain
blinatumomab	Blincyto	4FR53SIF3A	CD3G	P09693	Unknown	T-cell surface glycoprotein CD3 gamma chain
Epoprostenol	Flolan	4K04IQ1OF4	PTGIR	P43119	GPCR	Prostacyclin receptor
epoprostenol	Flolan	4K04IQ1OF4	PTGIR	P43119	GPCR	Prostacyclin receptor
Eflornithine HCl	Ornidyl	4NH22NDW9H	ODC1	P11926	Enzyme	Ornithine decarboxylase
ibritumomab tiuxetan	Zevalin	4Q52C550XK	MS4A1	P11836	Unknown	B-lymphocyte antigen CD20
eltrombopag	Promacta	4U07F515LG	MPL	P40238	Unknown	Thrombopoietin receptor
eltrombopag	Promacta	4U07F515LG	MPL	P40238	Unknown	Thrombopoietin receptor
eltrombopag	Promacta	4U07F515LG	MPL	P40238	Unknown	Thrombopoietin receptor
duvelisib	Copiktra	4WD61MR063				
duvelisib	Copiktra	4WD61MR063				
daratumumab	Darzalex	4Z63YK6E0E	CD38	P28907	Enzyme	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
daratumumab	Darzalex	4Z63YK6E0E	CD38	P28907	Enzyme	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
daratumumab	Darzalex	4Z63YK6E0E	CD38	P28907	Enzyme	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
daratumumab	Darzalex	4Z63YK6E0E	CD38	P28907	Enzyme	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
daratumumab	Darzalex	4Z63YK6E0E	CD38	P28907	Enzyme	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
daratumumab	Darzalex	4Z63YK6E0E	CD38	P28907	Enzyme	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
Thalidomide	Thalomid	4Z8R6ORS6L	CRBN	Q96SW2	Unknown	Protein cereblon
Thalidomide	Thalomid	4Z8R6ORS6L	CRBN	Q96SW2	Unknown	Protein cereblon
bosutinib	Bosulif	5018V4AEZ0	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
bosutinib	Bosulif	5018V4AEZ0	SRC	P12931	Kinase	Proto-oncogene tyrosine-protein kinase Src
bosutinib	Bosulif	5018V4AEZ0	HCK	P08631	Kinase	Tyrosine-protein kinase HCK
bosutinib	Bosulif	5018V4AEZ0	LYN	P07948	Kinase	Tyrosine-protein kinase Lyn
bosutinib	Bosulif	5018V4AEZ0	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
bosutinib	Bosulif	5018V4AEZ0	SRC	P12931	Kinase	Proto-oncogene tyrosine-protein kinase Src
bosutinib	Bosulif	5018V4AEZ0	HCK	P08631	Kinase	Tyrosine-protein kinase HCK
bosutinib	Bosulif	5018V4AEZ0	LYN	P07948	Kinase	Tyrosine-protein kinase Lyn
dacomitinib	Vizimpro	5092U85G58				
Lodoxamide tromethamine	Alomide Ophthalmic Solution	50LV9A548L				
mitomycin-C	Mitosol	50SG953SK6				
atezolizumab	Tecentriq	52CMI0WC3Y	CD274	Q9NZQ7	Unknown	Programmed cell death 1 ligand 1
Dexrazoxane	Zinecard	5346058Q7S				
crizotinib	Xalkori	53AH36668S	MET	P08581	Kinase	Hepatocyte growth factor receptor
crizotinib	Xalkori	53AH36668S	ALK	Q9UM73	Kinase	ALK tyrosine kinase receptor
crizotinib	Xalkori	53AH36668S	MET	P08581	Kinase	Hepatocyte growth factor receptor
crizotinib	Xalkori	53AH36668S	ALK	Q9UM73	Kinase	ALK tyrosine kinase receptor
miltefosine	Impavido	53EY29W7EC				
Tretinoin	Vesanoid	5688UTC01R	RARG	P13631	NR	Retinoic acid receptor gamma
Tretinoin	Vesanoid	5688UTC01R	RARB	P10826	NR	Retinoic acid receptor beta
Tretinoin	Vesanoid	5688UTC01R	RARA	P10276	NR	Retinoic acid receptor alpha
Corticorelin ovine triflutate	Acthrel	56X54T817Q				
nimodipine	Nymalize	57WA9QZ5WH	CACNA1D	Q01668	IC	Voltage-dependent L-type calcium channel subunit alpha-1D
nimodipine	Nymalize	57WA9QZ5WH	CACNA1C	Q13936	IC	Voltage-dependent L-type calcium channel subunit alpha-1C
vorinostat	Zolinza	58IFB293JI	HDAC6	Q9UBN7	Epigenetic	Histone deacetylase 6
vorinostat	Zolinza	58IFB293JI	HDAC1	Q13547	Epigenetic	Histone deacetylase 1
vorinostat	Zolinza	58IFB293JI	HDAC3	O15379	Epigenetic	Histone deacetylase 3
vorinostat	Zolinza	58IFB293JI	HDAC2	Q92769	Epigenetic	Histone deacetylase 2
Midodrine HCl	Amatine	59JV96YTXV	ADRA1A	P35348	GPCR	Alpha-1A adrenergic receptor
N-acetylgalactosamine-4-sulfatase, recombinant human	Naglazyme	59UA429E5G				
Aminosalicylic acid	Paser Granules	5B2658E0N2	PTGS1	P23219	Enzyme	Prostaglandin G/H synthase 1
Aminosalicylic acid	Paser Granules	5B2658E0N2	PTGS2	P35354	Enzyme	Prostaglandin G/H synthase 2
selexipag	Uptravi	5EXC0E384L	PTGIR	P43119	GPCR	Prostacyclin receptor
nilotinib	Tasigna	5JHU0N1R6K	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
nilotinib	Tasigna	5JHU0N1R6K	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
carglumic acid	Carbaglu	5L0HB4V1EW	CPS1	P31327	Enzyme	Carbamoyl-phosphate synthase [ammonia], mitochondrial
Daunorubicin citrate liposome injection	Daunoxome	5L84T2Z6NP	TOP2A	P11388	Enzyme	DNA topoisomerase 2-alpha
Glatiramer acetate	Copaxone	5M691HL4BO				
C1-esterase inhibitor (recombinant)	Ruconest	5QS67N4551				
gilteritinib	Xospata	5RZZ0Z1GJT				
artemether/lumefantrine	Coartem	5T2U51A0MW				
Sorafenib	Nexavar	5T62Q3B36J	FLT3	P36888	Kinase	Receptor-type tyrosine-protein kinase FLT3
Sorafenib	Nexavar	5T62Q3B36J	FLT1	P17948	Kinase	Vascular endothelial growth factor receptor 1
Sorafenib	Nexavar	5T62Q3B36J	KDR	P35968	Kinase	Vascular endothelial growth factor receptor 2
Sorafenib	Nexavar	5T62Q3B36J	RAF1	P04049	Kinase	RAF proto-oncogene serine/threonine-protein kinase
Sorafenib	Nexavar	5T62Q3B36J	BRAF	P15056	Kinase	Serine/threonine-protein kinase B-raf
Sorafenib	Nexavar	5T62Q3B36J	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
Sorafenib	Nexavar	5T62Q3B36J	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
Sorafenib	Nexavar	5T62Q3B36J	FLT4	P35916	Kinase	Vascular endothelial growth factor receptor 3
Sorafenib	Nexavar	5T62Q3B36J	RET	P07949	Kinase	Proto-oncogene tyrosine-protein kinase receptor Ret
Sorafenib	Nexavar	5T62Q3B36J	FLT3	P36888	Kinase	Receptor-type tyrosine-protein kinase FLT3
Sorafenib	Nexavar	5T62Q3B36J	FLT1	P17948	Kinase	Vascular endothelial growth factor receptor 1
Sorafenib	Nexavar	5T62Q3B36J	KDR	P35968	Kinase	Vascular endothelial growth factor receptor 2
Sorafenib	Nexavar	5T62Q3B36J	RAF1	P04049	Kinase	RAF proto-oncogene serine/threonine-protein kinase
