Sort	Applicant / License #	Proprietary Name	Proper Name	BLA STN#	Product #	Total Drug Content (Concentration)	Approval Date	Dosage Form/Route/Presentation	Discontinued Date
30	BAXALTA US INC / 2020	ADYNOVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED"	125566 / 104	6	1500 IU ( 1500 IU/VIAL )	10/25/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
31	BAXALTA US INC / 2020	ADYNOVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED"	125566 / 152	7	3000 IU ( 3000 IU/VIAL )	03/13/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
32	BAXALTA US INC / 2020	ARALAST	ALPHA-1-PROTEINASE INHIBITOR (HUMAN)	125039 / 0	1	0.5 GM ( 0.5 GM/VIAL )	12/23/2002	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
33	BAXALTA US INC / 2020	ARALAST	ALPHA-1-PROTEINASE INHIBITOR (HUMAN)	125039 / 0	2	1 GM ( 1 GM/VIAL )	12/23/2002	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
34	BAXALTA US INC / 2020	CEPROTIN	PROTEIN C CONCENTRATE (HUMAN)	125234 / 0	1	500 IU (  500 IU/VIAL )	03/30/2007	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
35	BAXALTA US INC / 2020	CEPROTIN	PROTEIN C CONCENTRATE (HUMAN)	125234 / 0	2	1000 IU ( 1000 IU/VIAL )	03/30/2007	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
36	BAXALTA US INC / 2020	CUVITRU	"IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN), 20%"	125596 / 0	1	1 G/5 ML ( 20 G/100 ML )	09/13/2016	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
37	BAXALTA US INC / 2020	CUVITRU	"IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN), 20%"	125596 / 0	2	2 GM/10 ML ( 20 GM/100 ML )	09/13/2016	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
38	BAXALTA US INC / 2020	CUVITRU	"IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN), 20%"	125596 / 0	3	4 GM/20 ML ( 20 GM/100 ML )	09/13/2016	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
39	BAXALTA US INC / 2020	CUVITRU	"IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN), 20%"	125596 / 0	4	8 GM/40 ML ( 20 GM/100 ML )	09/13/2016	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
40	BAXALTA US INC / 2020	CUVITRU	"IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN), 20%"	125596 / 272	5	10 GM/50 ML ( 20 GM/100 ML )	02/07/2019	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
41	BAXALTA US INC / 2020	FEIBA NF	ANTI-INHIBITOR COAGULANT COMPLEX	101447 / 5352	1	500 IU (  500 IU/VIAL )	12/21/1979	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
42	BAXALTA US INC / 2020	FEIBA NF	ANTI-INHIBITOR COAGULANT COMPLEX	101447 / 5352	2	1000 IU ( 1000 IU/VIAL )	12/21/1979	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
43	BAXALTA US INC / 2020	FEIBA NF	ANTI-INHIBITOR COAGULANT COMPLEX	101447 / 5352	5	2500 IU ( 2500 IU/VIAL )	08/11/2005	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
44	BAXALTA US INC / 2020	FLEXBUMIN	ALBUMIN (HUMAN) 20%	101452 / 0	2	10 GM/50 ML ( 20 GM/100 ML )	03/03/1954	SOLUTION / INTRAVENOUS / PLASTIC CONTAINER	
45	BAXALTA US INC / 2020	FLEXBUMIN	ALBUMIN (HUMAN) 20%	101452 / 0	3	20 GM/100 ML ( 20 GM/100 ML )	03/03/1954	SOLUTION / INTRAVENOUS / PLASTIC CONTAINER	
46	BAXALTA US INC / 2020	FLEXBUMIN	ALBUMIN (HUMAN) 25%	101452 / 0	4	12.5 GM/50 ML ( 25 GM/100 ML )	03/03/1954	SOLUTION / INTRAVENOUS / PLASTIC CONTAINER	
47	BAXALTA US INC / 2020	FLEXBUMIN	ALBUMIN (HUMAN) 25%	101452 / 0	5	25 GM/100 ML ( 25 GM/100 ML )	03/03/1954	SOLUTION / INTRAVENOUS / PLASTIC CONTAINER	
48	BAXALTA US INC / 2020	FLEXBUMIN	ALBUMIN (HUMAN) 5%	101452 / 0	1	12.5 GM/250 ML ( 5 GM/100 ML )	03/03/1954	SOLUTION / INTRAVENOUS / PLASTIC CONTAINER	
49	BAXALTA US INC / 2020	GAMMAGARD LIQUID 10%	IMMUNE GLOBULIN INFUSION (HUMAN) 10%	125105 / 0	1	1000 MG/10 ML ( 100 MG/ML )	04/27/2005	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
50	BAXALTA US INC / 2020	GAMMAGARD LIQUID 10%	IMMUNE GLOBULIN INFUSION (HUMAN) 10%	125105 / 0	2	2500 MG/25 ML ( 100 MG/ML )	04/27/2005	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
51	BAXALTA US INC / 2020	GAMMAGARD LIQUID 10%	IMMUNE GLOBULIN INFUSION (HUMAN) 10%	125105 / 0	3	5000 MG/50 ML ( 100 MG/ML )	04/27/2005	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
52	BAXALTA US INC / 2020	GAMMAGARD LIQUID 10%	IMMUNE GLOBULIN INFUSION (HUMAN) 10%	125105 / 0	4	10000 MG/100 ML ( 100 MG/ML )	04/27/2005	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
53	BAXALTA US INC / 2020	GAMMAGARD LIQUID 10%	IMMUNE GLOBULIN INFUSION (HUMAN) 10%	125105 / 0	5	20000 MG/200 ML ( 100 MG/ML )	04/27/2005	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
54	BAXALTA US INC / 2020	GAMMAGARD LIQUID 10%	IMMUNE GLOBULIN INFUSION (HUMAN) 10%	125105 / 0	6	30000 MG/300 ML ( 100 MG/ML )	04/27/2005	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
55	BAXALTA US INC / 2020	GAMMAGARD S/D	IMMUNE GLOBULIN INTRAVENOUS (HUMAN)	103133 / 0	1	5 GM ( 5 GM/VIAL )	02/18/1986	POWDER  / INTRAVENOUS / SINGLE-USE BOTTLE	
56	BAXALTA US INC / 2020	GAMMAGARD S/D	IMMUNE GLOBULIN INTRAVENOUS (HUMAN)	103133 / 0	2	10 GM ( 10 GM/VIAL )	02/18/1986	POWDER  / INTRAVENOUS / SINGLE-USE BOTTLE	
57	BAXALTA US INC / 2020	HEMOFIL M	ANTIHEMOPHILIC FACTOR (HUMAN)	101448 / 0	1	250 IU (  250 IU/VIAL )	03/11/1966	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
58	BAXALTA US INC / 2020	HEMOFIL M	ANTIHEMOPHILIC FACTOR (HUMAN)	101448 / 0	2	500 IU (  500 IU/VIAL )	03/11/1966	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
59	BAXALTA US INC / 2020	HEMOFIL M	ANTIHEMOPHILIC FACTOR (HUMAN)	101448 / 0	3	1000 IU ( 1000 IU/VIAL )	03/11/1966	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
60	BAXALTA US INC / 2020	HEMOFIL M	ANTIHEMOPHILIC FACTOR (HUMAN)	101448 / 0	4	1700 IU ( 1700 IU/VIAL )	03/11/1966	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
61	BAXALTA US INC / 2020	HYQVIA	"IMMUNE GLOBULIN INFUSION (HUMAN) 10% WITH RECOMBINANT HUMAN HYALURONIDASE"	125402 / 0	1	2.5 GM/25 ML ( 10 GM/100 ML )	09/12/2014	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
62	BAXALTA US INC / 2020	HYQVIA	"IMMUNE GLOBULIN INFUSION (HUMAN) 10% WITH RECOMBINANT HUMAN HYALURONIDASE"	125402 / 0	2	5 GM/50 ML ( 10 GM/100 ML )	09/12/2014	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
63	BAXALTA US INC / 2020	HYQVIA	"IMMUNE GLOBULIN INFUSION (HUMAN) 10% WITH RECOMBINANT HUMAN HYALURONIDASE"	125402 / 0	4	20 GM/200 ML ( 10 GM/100 ML )	09/12/2014	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
64	BAXALTA US INC / 2020	HYQVIA	"IMMUNE GLOBULIN INFUSION (HUMAN) 10% WITH RECOMBINANT HUMAN HYALURONIDASE"	125402 / 0	5	30 GM/300 ML ( 10 GM/100 ML )	09/12/2014	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
65	BAXALTA US INC / 2020	HYQVIA	"IMMUNE GLOBULIN INFUSION (HUMAN) 10% WITH RECOMBINANT HUMAN HYALURONIDASE"	125402 / 1	3	10 GM/100 ML ( 10 GM/100 ML )	09/12/2014	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
66	BAXALTA US INC / 2020	OBIZUR	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PORCINE SEQUENCE"	125512 / 0	1	500 U ( 500 U/VIAL )	10/23/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
67	BAXALTA US INC / 2020	RECOMBINATE	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103375 / 0	1	250 IU (  250 IU/VIAL )	12/10/1992	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
68	BAXALTA US INC / 2020	RECOMBINATE	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103375 / 0	2	500 IU (  500 IU/VIAL )	12/10/1992	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
69	BAXALTA US INC / 2020	RECOMBINATE	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103375 / 0	3	1000 IU ( 1000 IU/VIAL )	12/10/1992	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
70	BAXALTA US INC / 2020	RECOMBINATE	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103375 / 0	4	1500 IU ( 1500 IU/VIAL )	12/10/1992	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
71	BAXALTA US INC / 2020	RECOMBINATE	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103375 / 0	5	2000 IU ( 2000 IU/VIAL )	12/10/1992	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
72	BAXALTA US INC / 2020	RIXUBIS	COAGULATION FACTOR IX (RECOMBINANT)	125446 / 0	1	250 IU ( 250 IU/VIAL )	06/26/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
73	BAXALTA US INC / 2020	RIXUBIS	COAGULATION FACTOR IX (RECOMBINANT)	125446 / 0	2	500 IU ( 500 IU/VIAL )	06/26/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
74	BAXALTA US INC / 2020	RIXUBIS	COAGULATION FACTOR IX (RECOMBINANT)	125446 / 0	3	1000 IU ( 1000 IU/VIAL )	06/26/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
75	BAXALTA US INC / 2020	RIXUBIS	COAGULATION FACTOR IX (RECOMBINANT)	125446 / 0	4	2000 IU ( 2000 IU/VIAL )	06/26/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
76	BAXALTA US INC / 2020	RIXUBIS	COAGULATION FACTOR IX (RECOMBINANT)	125446 / 0	5	3000 IU ( 3000 IU/VIAL )	06/26/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
77	BAXALTA US INC / 2020	VONVENDI	VON WILLEBRAND FACTOR (RECOMBINANT)	125577 / 0	1	650 IU ( 650 IU/VIAL )	12/08/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
78	BAXALTA US INC / 2020	VONVENDI	VON WILLEBRAND FACTOR (RECOMBINANT)	125577 / 0	2	1300 IU ( 1300 IU/VIAL )	12/08/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
79	BAXTER HEALTHCARE CORP / 0140	ARTISS	FIBRIN SEALANT (HUMAN)	125266 / 0	1	2 ML ( 2 ML )	03/19/2008	SOLUTION / TOPICAL / PREFILLED SYRINGE	
80	BAXTER HEALTHCARE CORP / 0140	ARTISS	FIBRIN SEALANT (HUMAN)	125266 / 0	5	4 ML ( 4 ML )	03/19/2008	SOLUTION / TOPICAL / PREFILLED SYRINGE	
81	BAXTER HEALTHCARE CORP / 0140	ARTISS	FIBRIN SEALANT (HUMAN)	125266 / 0	6	10 ML ( 10 ML )	03/19/2008	SOLUTION / TOPICAL / PREFILLED SYRINGE	
82	BAXTER HEALTHCARE CORP / 0140	RECOTHROM	THROMBIN TOPICAL (RECOMBINANT)	125248 / 0	1	5000 IU ( 5000 IU/VIAL )	01/17/2008	POWDER  / TOPICAL / SINGLE-DOSE VIAL	
83	BAXTER HEALTHCARE CORP / 0140	RECOTHROM	THROMBIN TOPICAL (RECOMBINANT)	125248 / 0	2	20000 IU ( 20000 IU/VIAL )	01/17/2008	POWDER  / TOPICAL / SINGLE-DOSE VIAL	
84	BAXTER HEALTHCARE CORP / 0140	TISSEEL	FIBRIN SEALANT	103980 / 0	5	2 ML ( 2 ML )	07/27/2006	SOLUTION / TOPICAL / PREFILLED SYRINGE	
85	BAXTER HEALTHCARE CORP / 0140	TISSEEL	FIBRIN SEALANT	103980 / 0	6	10 ML ( 10 ML )	07/27/2006	SOLUTION / TOPICAL / PREFILLED SYRINGE	
86	BAXTER HEALTHCARE CORP / 0140	TISSEEL	FIBRIN SEALANT	103980 / 5121	4	4 ML ( 4 ML )	07/27/2006	SOLUTION / TOPICAL / PREFILLED SYRINGE	
87	BAXTER HEALTHCARE CORP / 0140	TISSEEL KIT	FIBRIN SEALANT	103980 / 1	1	2 ML ( 2 ML )	02/07/2000	POWDER  / TOPICAL / SINGLE-DOSE VIAL	
88	BAXTER HEALTHCARE CORP / 0140	TISSEEL KIT	FIBRIN SEALANT	103980 / 1	2	4 ML ( 4 ML )	02/07/2000	POWDER  / TOPICAL / SINGLE-DOSE VIAL	
89	BAXTER HEALTHCARE CORP / 0140	TISSEEL KIT	FIBRIN SEALANT	103980 / 1	3	10 ML ( 10 ML )	02/07/2000	POWDER  / TOPICAL / SINGLE-DOSE VIAL	
90	BAYER HEALTHCARE LLC / 0008	JIVI	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED-AUCL"	125661 / 0	2	500 IU ( 500 IU/VIAL )	08/29/2018	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
91	BAYER HEALTHCARE LLC / 0008	JIVI	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED-AUCL"	125661 / 0	3	1000 IU ( 1000 IU/VIAL )	08/29/2018	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
92	BAYER HEALTHCARE LLC / 0008	JIVI	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED-AUCL"	125661 / 0	4	2000 IU ( 2000 IU/VIAL )	08/29/2018	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
93	BAYER HEALTHCARE LLC / 0008	JIVI	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED-AUCL"	125661 / 0	5	3000 IU ( 3000 IU/VIAL )	08/29/2018	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
94	BAYER HEALTHCARE LLC / 0008	KOGENATE FS	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103332 / 0	1	250 IU (  250 IU/VIAL )	08/20/2002	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
95	BAYER HEALTHCARE LLC / 0008	KOGENATE FS	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103332 / 0	2	500 IU (  500 IU/VIAL )	08/20/2002	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
96	BAYER HEALTHCARE LLC / 0008	KOGENATE FS	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103332 / 0	3	1000 IU ( 1000 IU/VIAL )	08/20/2002	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
97	BAYER HEALTHCARE LLC / 0008	KOGENATE FS	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103332 / 0	4	2000 IU ( 2000 IU/VIAL )	06/07/2007	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
98	BAYER HEALTHCARE LLC / 0008	KOGENATE FS	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103332 / 0	5	3000 IU ( 3000 IU/VIAL )	07/31/2009	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
99	BAYER HEALTHCARE LLC / 0008	KOVALTRY	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FULL LENGTH"	125574 / 0	1	250 IU ( 250 IU/VIAL )	03/16/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
100	BAYER HEALTHCARE LLC / 0008	KOVALTRY	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FULL LENGTH"	125574 / 0	2	500 IU ( 500 IU/VIAL )	03/16/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
101	BAYER HEALTHCARE LLC / 0008	KOVALTRY	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FULL LENGTH"	125574 / 0	3	1000 IU ( 1000 IU/VIAL )	03/16/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
102	BAYER HEALTHCARE LLC / 0008	KOVALTRY	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FULL LENGTH"	125574 / 0	4	2000 IU ( 2000 IU/VIAL )	03/16/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
103	BAYER HEALTHCARE LLC / 0008	KOVALTRY	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FULL LENGTH"	125574 / 0	5	3000 IU ( 3000 IU/VIAL )	03/16/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
104	BIO PRODUCTS LABORATORY / 1811	ALBUMINEX	ALBUMIN (HUMAN)-KJDA 25%	125644 / 0	3	12.5 GM/50 ML ( 25 GM/100 ML )	06/19/2018	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
105	BIO PRODUCTS LABORATORY / 1811	ALBUMINEX	ALBUMIN (HUMAN)-KJDA 25%	125644 / 0	4	25 GM/100 ML ( 25 GM/100 ML )	06/19/2018	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
106	BIO PRODUCTS LABORATORY / 1811	ALBUMINEX	ALBUMIN (HUMAN)-KJDA 5%	125644 / 0	1	12.5 GM/250 ML ( 5 GM/100 ML )	06/19/2018	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
107	BIO PRODUCTS LABORATORY / 1811	ALBUMINEX	ALBUMIN (HUMAN)-KJDA 5%	125644 / 0	2	25 GM/500 ML ( 5 GM/100 ML )	06/19/2018	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
108	BIO PRODUCTS LABORATORY / 1811	COAGADEX	COAGULATION FACTOR X (HUMAN)	125506 / 0	1	250 IU ( 250 IU/VIAL )	10/20/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
109	BIO PRODUCTS LABORATORY / 1811	COAGADEX	COAGULATION FACTOR X (HUMAN)	125506 / 0	2	500 IU ( 500 IU/VIAL )	10/20/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
