Year	Trademark	Generic Name	UNII	Date [text]	App Type	NDA/BLA No.	Sponsor	Ref		
1947	Sodium Folvite	folate sodium	9P9W8GGU78	06-02-47	NDA	6-135	Lederle	DeHaen 1940-1975 NMEs		
1947	Folvite	folic acid	935E97BOY8	06-05-47	NDA	5-897	Lederle	DeHaen 1940-1975 NMEs		
1946	Bornate	isobornyl thiocyanoacetate	S2JCO0983X				Wyeth	DeHaen 1940-1975 NMEs		
1945	Furacin	nitrofurazone	X8XI70B5Z6	10-04-45	NDA	5-795	Eaton	DeHaen 1940-1975 NMEs		
1946	Sulfathalidine	phthalylsulfathiazole	6875L5852V				Sharp & Dohme (MSD)	DeHaen 1940-1975 NMEs		
1946	Salicylanilide	salicylanilide	LHP8NEY345				Various Mfrs.	DeHaen 1940-1975 NMEs		
1946	Streptomycin Sulfate	streptomycin sulfate	CW25IKJ202	02-18-46	NDA	60-076	Pfizer	DeHaen 1940-1975 NMEs		
1946	Sodium Sulamyd	sulfacetamide sodium	4NRT660KJQ				Schering	DeHaen 1940-1975 NMEs		
1946	Monotheamin	theophylline ethanolamine	9Z1S0O31SL				Lilly	DeHaen 1940-1975 NMEs		
1946	Thiouracil	thiouracil	59X161SCYL				Lilly	DeHaen 1940-1975 NMEs		
1946	Thrombin	thrombin	25ADE2236L				Upjohn	DeHaen 1940-1975 NMEs		
1946	Tridione	trimethadione	R7GV3H6FQ4	01-25-46	NDA	5-856	Abbott	DeHaen 1940-1975 NMEs		
1946	Anthallan	anthallan	70K7ST68DA		NDA	5-801	Medico	https://books.google.com/books?id=HYsxrxsyjeEC&newbks=1&newbks_redir=0&dq=anthallan&pg=RA2-PA5#v=onepage&q=anthallan&f=false		
1948	Pyribenzamine HCl	tripelennamine hydrochloride	FWV8GJ56ZN	02-19-48	NDA	5-914	Ciba	DeHaen 1940-1975 NMEs		
1945	Tubocurarine Chloride	tubocurarine chloride	900961Z8VR	02-20-45	NDA	5-657	Squibb	DeHaen 1940-1975 NMEs		
1947	Dalyde	"3,5-dibromosalicylaldehyde"	7A260PBI3A				"Hynson, Westcott & Dunning"	DeHaen 1940-1975 NMEs		
1947	Profenil	alverine citrate	9JFB58YK1E		NDA	5-695	Smith Pharmacal	DeHaen 1940-1975 NMEs		
1947	Chloroguanide	chloroguanide hydrochloride	R71Y86M0WT		NDA	6-183	Squibb	DeHaen 1940-1975 NMEs		
1947	Synestrol	dienestrol	RRW32X4U1F		NDA	5-991	White (Schering)	DeHaen 1940-1975 NMEs		
1947	Sedulon	dihyprylone	BZ6KL0Q8UD		NDA	6-151	Hoffmann-La Roche	DeHaen 1940-1975 NMEs		
1947	Parenogen	fibrinogen	N94833051K				Cutter	DeHaen 1940-1975 NMEs		
1947	Wyamine	mephentermine	TEZ91L71V4				Wyeth	DeHaen 1940-1975 NMEs		
1947	Wyamine Sulfate	mephentermine sulfate	2SPK6HL7P7		NDA	8-248	Wyeth	DeHaen 1940-1975 NMEs		
1946	Mesantoin	mephenytoin	R420KW629U	10-23-46	NDA	6-008	Sandoz	DeHaen 1940-1975 NMEs		
1947	Dolophine HCl	methadone HCl	229809935B	08-13-47	NDA	6-134	Lilly	DeHaen 1940-1975 NMEs		
1947	Mosidal	methallatal	N60S305Q6P				Abbott	DeHaen 1940-1975 NMEs		
1947	Pyrathyn	methapyrilene HCl	00S42N58OM	3-20-47			Davis Sly	DeHaen 1940-1975 NMEs		
1947	Thenylene HCl	methapyrilene HCl	00S42N58OM	3-20-47			Abbott	DeHaen 1940-1975 NMEs		
1947	Meprane Dipropionate	methestrol dipropionate	X84U53950P				Reed & Camrick	DeHaen 1940-1975 NMEs		
1947	Diaparene Chloride	methylbenzethonium chloride	WOA57K8S5V				Homemaker's (Breon)	DeHaen 1940-1975 NMEs		
1947	Methylcellulose	methylcellulose	P0NTE48364				Various Mfrs.	DeHaen 1940-1975 NMEs		
1947	Metapin	methyldihydromorphinone	94XZ1CC69D				Parke-Davis	DeHaen 1940-1975 NMEs		
1947	Naphthocaine HCl	naphthocaine HCl	96O81DVX5M				Parke-Davis	DeHaen 1940-1975 NMEs		
1947	Thephorin	phenindamine tartrate	28725X3PV8				Hoffmann-La Roche	DeHaen 1940-1975 NMEs		
1947	Resioat	polyamine-methylene resin					National (MerrellNational)	DeHaen 1940-1975 NMEs		
1947	Propyllhiouracil	propylthiouracil	721M9407IY				Upjohn	DeHaen 1940-1975 NMEs		
1946	Sodium Sotradecol	sodium tetradecyl sulfate	Q1SUG5KBD6	08-13-46	NDA	5-970	Maltbie (Pennwalt)	DeHaen 1940-1975 NMEs		
1947	Streptomycin Cal. Chloride	streptomycin calcium chloride	8P331B9592				Merck	DeHaen 1940-1975 NMEs		
1947	Sulfamethazine	sulfamethazine	48U51W007F				Sharp & Dohme (MSD)	DeHaen 1940-1975 NMEs		
1947	Diasone Sodium	sulfoxone sodium	57OWB0Q221		NDA	6-044	Abbott	DeHaen 1940-1975 NMEs		
1947	Etamon Chloride	tetraethylammonium chloride	8B82Z83XNN		NDA	6-205	Parke-Davis	DeHaen 1940-1975 NMEs		
1947	Cremostaticin	caronamide	6ZV1PP6LGM		NDA	6-464	Sharp & Dohme	DeHaen 1940-1975 NMEshttps://books.google.com/books?id=jqBK_LOUZ7MC&pg=PA671&dq=Cremostaticin		
1947	Theoglycinate	theophylline sodium glycinate	2S36N8T753	10-17-47	NDA	6-333	Brayten (Chattern)	DeHaen 1940-1975 NMEs		
1948	Pamisyl	aminosalicylic acid	5B2658E0N2				Parke-Davis	DeHaen 1940-1975 NMEs		
1948	Antistine HCl	antazoline HCl	FP8Q8F72JH				Ciba	DeHaen 1940-1975 NMEs		
1948	Antistine Phosphate	antazoline phosphate	VPR5FPH326				Ciba	DeHaen 1940-1975 NMEs		
1948	Baciguentt.	bacitracin	58H6RWO52I				Upjohn (U.S.)	DeHaen 1940-1975 NMEs		
1948	Topitracint.	bacitracin	58H6RWO52I				Commercial Solvents	DeHaen 1940-1975 NMEs		
1948	Tagathen	chlorothen citrate	0X60R85C0J				Lederle	DeHaen 1940-1975 NMEs		
1948	Aureomycin Calcium	chlortetracycline calcium	NR4B2SX17S				Lederle	DeHaen 1940-1975 NMEs		
1950	Aureomycin HCl	chlortetracycline HCl	O1GX33ON8R	01-23-50	NDA	50-404	Lederle	DeHaen 1940-1975 NMEs		
1950	Cortone	cortisone	V27W9254FZ	06-13-50	NDA	7-110	Merck	DeHaen 1940-1975 NMEs		
1948	Surfacaine	cyclomethycaine sulfate	02V8D6C69F				Lilly	DeHaen 1940-1975 NMEs		
1948	Dihydrostreptomycin Sulfate	dihydrostreptomycin sulfate	T7D4876IUE				Merck	DeHaen 1940-1975 NMEs		
1948	Decapryn	doxylamine succinate	V9BI9B5YI2	04-07-48	NDA	6-412	Merrell (MerrellNational)	DeHaen 1940-1975 NMEs		
1948	Estrotate	estradiol pivalate	I12U06L6S4				Lakeside (MerrellNational)	DeHaen 1940-1975 NMEs		
1948	Hexachlorophene	hexachlorophene	IWW5FV6NK2				Various Mfrs.	DeHaen 1940-1975 NMEs		
1948	Octin HCl	isometheptene	Y7L24THH6T				Knoll	DeHaen 1940-1975 NMEs		
1948	lsuprel	isoproterenol HCl	DIA2A74855				Winthrop	DeHaen 1940-1975 NMEs		
1948	Tolserol	mephenesin	7B8PIR2954				Squibb	DeHaen 1940-1975 NMEs		
1946	Methergine	methylergonovine maleate	IR84JPZ1RK	11-19-46	NDA	6-035	Sandoz	DeHaen 1940-1975 NMEs		
1948	Forthane	methylhexaneamine	X49C572YQO				Lilly	DeHaen 1940-1975 NMEs		
1948	Hyflavin	methylol riboflavin					Endo	DeHaen 1940-1975 NMEs		
1948	Penicillin Aluminum	penicillin G aluminum	1C87B1N51X				"Hynson, Westcott & Dunning"	DeHaen 1940-1975 NMEs		
1948	Duracillin A.S.	penicillin G procaine	17R794ESYN				Lilly	DeHaen 1940-1975 NMEs		
1948	Pentaquine Phosphate	pentaquine phosphate	9B8SN90ODH				Abbott	DeHaen 1940-1975 NMEs		
1948	Trimeton	pheniramine maleate	NYW905655B				Schering	DeHaen 1940-1975 NMEs		
1948	Thalamyd	phthalylsulfacetamide	24PUW23GRX				Schering	DeHaen 1940-1975 NMEs		
1948	Neo-Antergan	pyrilamine maleate	R35D29L3ZA				Merck	DeHaen 1940-1975 NMEs		
1948	Presidon	pyrithyldione	8AB20823CK				Hoffmann-La Roche	DeHaen 1940-1975 NMEs		
1948	Sodium Aminosalicylate	sodium aminosalicylate	T9ZKL3TNQF				Various Mfrs.	DeHaen 1940-1975 NMEs		
1948	Neohetramine HCl	thonzylamine HCl	6K9YKD48Y4				Nepera (Warner/ Chilcolt)	DeHaen 1940-1975 NMEs		
1948	Priscoline	tolazoline HCl	E669Z6S1JG	03-17-48	NDA	6-403	Ciba	DeHaen 1940-1975 NMEs		
1949	My-B-Den	adenosine phosphate	415SHH325A				Bischoff (Dome)	DeHaen 1940-1975 NMEs		
1949	Nisentil	alphaprodine HCl	CO51Q2EI5Z				Hoffmann-La Roche	DeHaen 1940-1975 NMEs		
1949	Basalgel	aluminum carbonate (basic)	1GA689N629				Wyeth	DeHaen 1940-1975 NMEs		
1949	Solganal	aurothioglucose	2P2V9Q0E78				Schering	DeHaen 1940-1975 NMEs		
1949	Stigrnonene Bromide	benzylpyridinium bromide					Warner (Warner/ Chilcott)	DeHaen 1940-1975 NMEs		
1948	Urecholine Chloride	bethanechol chloride	H4QBZ2LO84	10-12-48	NDA	6-536	Merck	DeHaen 1940-1975 NMEs		
1949	Panparnit HCl	caramiphen HCl	4858SN190E				Geigy	DeHaen 1940-1975 NMEs		
1949	Benodaine	piperoxan hydrochloride	KS0DZ1UQNW		NDA	6-790	Merck Sharp & Dohme	https://books.google.com/books?id=UnEbAQAAMAAJ&newbks=1&newbks_redir=0&dq=benodaine%201949&pg=PA728#v=onepage&q=benodaine%201949&f=false		
1949	Lucaine	piridocaine hydrochloride	VG6P406YHV		NDA	6-807	Wallace & Tiernan	https://books.google.com/books?id=PrRYAAAAYAAJ&q=LUCAINE+hydrochloride&dq=LUCAINE+hydrochloride		
1949	Aptrol	4-methylamphetamine	9E273KL7HS		NDA	6-996	Smith Kline & French	https://books.google.com/books?id=ZXobAQAAMAAJ&newbks=1&newbks_redir=0&dq=aptrol%2B%20smith%20kline&pg=PA726#v=onepage&q=aptrol+%20smith%20kline&f=false		
1951	Chloromycetin	chloramphenicol	66974FR9Q1	06-01-51	NDA	50-156	Parke-Davis	DeHaen 1940-1975 NMEs		
1949	Perazil	chlorcyclizine HCl	NPB7A7874U				Burroughs Wellcome	DeHaen 1940-1975 NMEs		
1950	Chlor-Trimeton	chlorpheniramine maleate	V1Q0O9OJ9Z	08-15-50	NDA	7-638	Schering	DeHaen 1940-1975 NMEs		
1955	Eurax	crotamiton	D6S4O4XD0H	04-29-55	NDA	9-112	Geigy	DeHaen 1940-1975 NMEs		
1949	Cobione	cyanocobalamin	P6YC3EG204				Merck	DeHaen 1940-1975 NMEs		
1950	Hetrazan	diethylcarbamazine citrate	OS1Z389K8S	11-13-50	NDA	6-459	Lederle	DeHaen 1940-1975 NMEs		
1949	Dramamine	dimenhydrinate	JB937PER5C				Searle	DeHaen 1940-1975 NMEs		
1949	Metubine Iodide	dimethyl tubocurarine iodide	O0U0E87X7F				Lilly	DeHaen 1940-1975 NMEs		
1949	Milibis	glycobiarsol	E3U8347QWJ				Winthrop	DeHaen 1940-1975 NMEs		
1949	Gramoderm	gramicidin	5IE62321P4				Schering	DeHaen 1940-1975 NMEs		
1949	Alidase	hyaluronidase	8KOG53Z5EM				Searle	DeHaen 1940-1975 NMEs		
1950	Wydase	hyaluronidase	8KOG53Z5EM	03-22-50	NDA	6-343	Wyeth	DeHaen 1940-1975 NMEs		
1949	Inositol	inositol	4L6452S749				Commercial Solvents	DeHaen 1940-1975 NMEs		
1949	Floropryl	isoflurophate	12UHW9R67N				Merck	DeHaen 1940-1975 NMEs		
1948	Xylocaine	lidocaine	V13007Z41A	11-19-48	NDA	6-488	Astra	DeHaen 1940-1975 NMEs		
1948	Sulfamylon	mafenide	58447S8P4L	12-09-48	NDA	6-613	Winthrop	DeHaen 1940-1975 NMEs		
1949	Thiomerin Sodium	mercaptomerin sodium	06U2KLM373				Campbell (Ayerst)	DeHaen 1940-1975 NMEs		
1949	Vasoxyl	methoxamine HCl	8MB4MJ9R7L				Burroughs Wellcome	DeHaen 1940-1975 NMEs		
1949	Orthoxine HCl	methoxyphenamine	J3Z5SRI26Z				Upjohn	DeHaen 1940-1975 NMEs		
1949	Methergine Tartrate	methylergonovine tartrate	5EDH242U9O				Sandoz	DeHaen 1940-1975 NMEs		
1949	Roniacol	nicotinyl alcohol	9TF312056Y				Hoffmann-La Roche	DeHaen 1940-1975 NMEs		
1949	Pabalate	p-aminobenzoic acid	TL2TJE8QTX				Robins	DeHaen 1940-1975 NMEs		
1949	Nisulfazole	p-nitrosulfathiazole	FO9CU4TX7J				Breon	DeHaen 1940-1975 NMEs		
1949	Paradione	paramethadione	Z615FRW64N	06-15-49	NDA	6-800	Abbott	DeHaen 1940-1975 NMEs		
1949	Olothorb	polysorbate 80	6OZP39ZG8H				Merck Sharp & Dohme	DeHaen 1940-1975 NMEs		
1949	Benzedrex	propylhexedrine	LQU92IU8LL				Smith Kline & French	DeHaen 1940-1975 NMEs		
1949	Pyrrolazote	pyrathiazine HCl	X0SMC42Q5O				Upjohn	DeHaen 1940-1975 NMEs		
1949	Carmethose	sodium carboxymethylcellulose	K679OBS311				Ciba	DeHaen 1940-1975 NMEs		
1949	Gantrisin	sulfisoxazole	740T4C525W		NDA	9-182	Hoffmann-La Roche	DeHaen 1940-1975 NMEs		
1949	Gantrisin Diolaminel	sulfisoxazole diolamine	30S4B46J8B				Hoffmann-La Roche	DeHaen 1940-1975 NMEs		
1949	Gantrisin Ointment 	sulfisoxazole diolamine	30S4B46J8B				Alcon	DeHaen 1940-1975 NMEs		
1949	Artane	trihexyphenidyl HCl	AO61G82577	05-13-49	NDA	6-773	Lederle	DeHaen 1940-1975 NMEs		
1949	Pyribenzamine Citrate	tripelennamine citrate	30OC46A3J9				Ciba	DeHaen 1940-1975 NMEs		
1949	Pyrabrom	pyrabrom	360MH2GO0I		NDA	7-375	Brayten	https://books.google.com/books?id=IhMsAQAAMAAJ&q=pyrabrom&dq=pyrabrom		
