Cat No	Product Name	Cas Number	SMILES	Primary Action	Biological Description	References	Product Type	Public Caveats	URL	Previous Order	UK Controlled	USA Controlled	Date Added
0183	L-(-)-threo-3-Hydroxyaspartic acid	[7298-99-9]	[H][C@@]([C@]([H])(O)C(O)=O)(N)C(O)=O	Transportable EAAT1-4 inhibitor/non-transportable EAAT5 inhibitor	"Potent, competitive, transportable EAAT1-4 inhibitor/non-transportable EAAT5 inhibitor. Also available as part of the Excitatory Amino Acid Transporter Inhibitor Tocriset."	"Johnston et al (1980) Potentiation of L-glutamate and L-aspartate excitation of cat spinal neurones by the stereoisomers of threo-3-hydroxyaspartate. J.Neurochem. 34 241. PMID:7452241. McBean and Roberts (1985) Neurotoxicity of L-glutamate and DL-threo-3-hydroxyaspartate in the rat striatum. J.Neurochem. 44 247. PMID:2856883. Nakamura et al (1993) (2S,3S,4R)-2-(carboxycyclopropyl)glycine, a potent and competitive inhibitor of both glial and neuronal uptake of glutamate. Neuropharmacology 32 833. PMID:7901789."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1464				Sep-1994
0186	cis-ACPD	[477331-06-9]	[H][C@@]1(CC[C@](N)(C1)C(O)=O)C(O)=O.[H][C@]1(CC[C@@](N)(C1)C(O)=O)C(O)=O	Potent NMDA agonist. Also group II mGluR agonist	"1:1 mixture of (1R,3R)- and (1S,3S)-ACPD. Potent NMDA receptor agonist and selective group II mGluR agonist (EC50 values are 13, 50, >300 and >300 _M at mGluR2, mGluR4, mGluR1 and mGluR5 respectively). Exhibits proconvulsant activity in vivo. ()-trans-ACPD (Cat. No. 0187) and (1S,3R)-ACPD (Cat. No. 0284) also available."	"Schoepp et al (1991) In vitro and in vivo pharmacology of trans- and cis-()-1-amino-1,3-cyclopentanedicarboxylic acid: Dissociation of metabotropic and ionotropic excitatory amino acid receptor effects. J.Neurochem. 56 1789. PMID:1849553. Sunter et al (1991) Actions of the four isomers of 1-aminocyclopentane-1,3-dicarboxylate (ACPD) in the hemisected spinal cord of the neonatal rat. Br.J.Pharmacol. 104 337P. Conti et al (2002) Synthesis and pharmacology of 3-hydroxy-_2-isoxazoline-cyclopentane analogues of glutamic acid. Farmaco 57 889. PMID:12484537."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1028				Sep-1994
0187	()-trans-ACPD	[67684-64-4]	[H][C@@]1(CC[C@@](N)(C1)C(O)=O)C(O)=O.[H][C@]1(CC[C@](N)(C1)C(O)=O)C(O)=O	Group I/group II mGlu agonist	"Equimolecular mixture of (1S,3R)- and (1R,3S)-ACPD. Selective agonist for metabotropic glutamate receptors; active at both group I and group II mGlu receptors (EC50 values are 2, 15, 23 and ~800 _M at mGluR2, mGluR1, mGluR5 and mGluR4 respectively). (1S,3R)-ACPD (Cat. No. 0284) and cis-ACPD (Cat. No. 0186) also available."	Nakanishi (1992) Molecular diversity of glutamate receptors and implications for brain functions. Science 258 597. PMID:1329206. Pin and Duvoisin (1995) The metabotropic glutamate receptors: structure and functions. Neuropharmacology 34 1. PMID:7623957. Knopfel et al (1995) Metabotropic glutamate receptors: novel targets for drug development. J.Med.Chem. 38 1417. PMID:7738999. Conti et al (2002) Synthesis and pharmacology of 3-hydroxy-_2-isoxazoline-cyclopentance analogues of glutamic acid Farmaco 57 889. PMID:12484537.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1041				Sep-1994
0188	L-Quisqualic acid	[52809-07-1]	O=C1N(C[C@]([H])(N)C(O)=O)OC(N1)=O	AMPA/group I mGlu agonist	Glutamate receptor agonist acting at AMPA receptors and metabotropic glutamate receptors positively linked to phosphoinositide hydrolysis. Sensitizes neurons in hippocampus to depolarization by L-AP6 (the so called 'quis' effect). Also available as part of the Group I mGlu Receptor Tocriset.	Porter et al (1992) (S)-Homoquisqualate: a potent agonist at the glutamate metabotropic receptor. Br.J.Pharmacol. 106 509. PMID:1324071. Schulte et al (1994) Utilization of the resolved L-isomer of 2-amino-6-phosphohexanoic acid (L-AP6) as a selective agonist for a quisqualate-sensitized site in hippocampal CA1 pyramidal neurons. Brain Res. 649 203. PMID:7953634. Littman et al (1995) Effects of quisqualic acid analogs on metabotropic glutamate receptors coupled to phosphoinositide hydrolysis in rat hippocampus. Neuropharmacology 34 829. PMID:8532164.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1831				Sep-1994
0189	DNQX	[2379-57-9]	[O-][N+](=O)C1=C(C=C2NC(=O)C(=O)NC2=C1)[N+]([O-])=O	Selective non-NMDA antagonist	Selective non-NMDA receptor antagonist. DNQX disodium salt (Cat. No. 2312) also available.	Honore et al (1988) Quinoxalinediones: potent competitive non-NMDA glutamate receptor antagonists. Science 241 701. PMID:2899909. Watkins et al (1990) Structure-activity relationships in the development of excitatory amino acid receptor agonists and competitive antagonists. TiPS 11 25. PMID:2155495.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1337				Sep-1994
0190	CNQX	[115066-14-3]	[O-][N+](=O)C1=C(C=C2NC(=O)C(=O)NC2=C1)C#N	Potent AMPA/kainate antagonist	Potent AMPA/kainate receptor antagonist. Also antagonist at glycine modulatory site on NMDA receptor complex. CNQX disodium salt (Cat. No. 1045) also available.	"Honore et al (1988) Quinoxalinediones: potent competitive non-NMDA glutamate receptor antagonists. Science 241 701. PMID:2899909. Long et al (1990) Effect of 6-cyano-2,3-dihydroxy-7-nitro-quinoxaline (CNQX) on dorsal root-, NMDA-, kainate and quisqualate-mediated depolarization of rat motoneurones in vitro. Br.J.Pharmacol. 100 850. PMID:1976402. Watkins et al (1990) Structure-activity relationships in the development of excitatory amino acid receptor agonists and competitive antagonists. TiPS 11 25. PMID:2155495. King et al (1992) Antagonism of synaptic potentials in ventral horn neurones by 6-cyano-7-nitroquinoxaline-2,3-dione: a study in the rat spinal cord in vitro. Br.J.Pharmacol. 107 375. PMID:1358390."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2212				Jul-1998
0197	Homoquinolinic acid	[490-75-5]	OC(=O)CC1=CC=CN=C1C(O)=O	"Selective, potent NMDA agonist"	Potent NMDA receptor agonist; subtype-selective.	Stone (1984) Excitant activity of methyl derivatives of quinolinic acid on rat cortical neurones. Br.J.Pharmacol. 81 175. PMID:6546701. Olverman et al (1988) Structure/activity relations of NMDA receptor ligands as studied by their inhibition of [3H]-D-2-amino-5-phosphonopentanoic acid binding in rat brain membranes. Neuroscience 26 17. PMID:2901691. Prado de Carvalho et al (1996) The endogenous agonist quinolinic acid and the non-endogenous homoquinolinic acid discriminate between NMDAR2 receptors subunits. Neurochem.Int. 28 445. PMID:8740453.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1454				Jan-1901
0205	L-Alanine	[56-41-7]	[H][C@@](C)(N)C(O)=O	Glycine receptor agonist	Agonist at the inhibitory glycine receptor. D-alanine (Cat. No. 0204) also available.	"Saitoh et al (1994) A novel antagonist, phenylbenzene _-phosphono-_-amino acid, for strychnine-sensitive glycine receptors in the rat spinal cord. Br.J.Pharmacol. 113 165. PMID:7812607. Schieden and Betz (1995) Pharmacology of the inhibitory glycine receptor: agonist and antagonist actions of amino acids and piperidine carboxylic acid compounds. Mol.Pharmacol. 48 919. PMID:7476923."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1053	SQ1533			Jan-1901
0206	_-Alanine	[107-95-9]	NCCC(O)=O	"Endogenous glycine agonist, more selective than taurine (Cat. No. 0209)"	"Non-specific endogenous agonist at the inhibitory glycine receptor. More selective than taurine (Cat. No. 0209). Also distinguishes between GABA transporters (IC50 values are 19, 58, 110, 1320 and 5690 _M for rGAT-2, hGAT-3, rGAT-3, hBGT-3 and hGAT-1 respectively)."	"Borden et al (1994) Tiagabine, SK&F 89976-A, CI 966, and NNC-711 are selective for the cloned GABA transporter GAT-1. Eur.J.Pharmacol. 269 219. PMID:7851497. Saitoh et al (1994) A novel antagonist, phenylbenzene _-phosphono-_-amino acid, for strychnine-sensitive glycine receptors in the rat spinal cord. Br.J.Pharmacol. 113 165. PMID:7812607. Schieden and Betz (1995) Pharmacology of the inhibitory glycine receptor: agonist and antagonist actions of amino acids and piperidine carboxylic acid compounds. Mol.Pharmacol. 48 919. PMID:7476923."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1054				Jan-1901
0208	Hypotaurine	[300-84-5]	NCCS(O)=O	Non-selective endogenous glycine receptor agonist	Endogenous inhibitory amino acid.	"Okamoto and Sakai (1981) Inhibitory actions of taurocyamine, hypotaurine, homotaurine, taurine and GABA on spike discharges of purkinje cells, and localization of sensitive sites in guinea pig cerebellar slices. Brain Res. 206 371. PMID:7214140."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1449				Jan-1901
0209	Taurine	[107-35-7]	NCCS(=O)(O)=O	"Non-selective, endogenous glycine receptor partial agonist"	One of the most abundant free amino acids in the brain. A partial agonist at the inhibitory glycine receptor.	Schmieden and Betz (1995) Pharmacology of the inhibitory glycine receptor: agonist and antagonist actions of amino acids and piperidine carboxylic acid compounds. Mol.Pharmacol. 48 919. PMID:7476923. Chung et al (1996) Saturable disposition of taurine in the rat cerebrospinal fluid. J.Pharmacol.Exp.Ther. 276 676. PMID:8632336. Palmi et al (1999) Potentiation of mitochondrial Ca2+ sequestration by taurine. Biochem.Pharmacol. 58 1123. PMID:10484070. Boldyrev et al (1999) Carnosine and taurine protect rat cerebellar granular cells from free radical damage. Neurosci.Lett. 263 169. PMID:10213162.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1898				Jan-1901
0213	D-Aspartic acid	[1783-96-6]	N[C@@]([H])([C@](O)=O)CC(O)=O	NMDA agonist	"Endogenous NMDA receptor agonist with similar activity to the L-isomer (L-aspartic acid, Cat. No. 0214). Also a non-metabolizable substrate for EAA uptake systems. Modulates melatonin synthesis in the pineal gland."	Olverman et al (1988) Structure/activity relations of NMDA receptor ligands as studied by their inhibition of 3H-D-AP5 binding in rat brain membranes. Neuroscience 26 17. PMID:2901691. Hashimoto et al (1997) Free D-aspartate and D-serine in the mammalian brain and periphery. Prog.Neurobiol. 53 325. PMID:9247969. Ishio et al (1998) D-Aspartate modulates melatonin synthesis in rat pinealocytes. Neurosci.Lett. 249 143. PMID:9682837.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1255				Sep-1994
0214	L-Aspartic acid	[56-84-8]	[H][C@@](CC(O)=O)(N)C(O)=O	NMDA agonist	Endogenous NMDA receptor agonist. D-Aspartic acid also available (Cat. No. 0213).	Olverman et al (1988) Structure/activity relations of N-methyl-D-aspartate receptor ligands as studied by their inhibition of [3H]D2-amino-5-phosphonopentanoic acid binding in rat brain membranes. Neuroscience 26 17. PMID:2901691.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1256				Jan-1901
0216	L-Cysteinesulfinic acid	[1115-65-7]	[H][C@](N)(CS(O)=O)C(O)=O	NMDA and mGlu agonist	Agonist at mGlu1a and mGlu5a subtypes expressed in clonal RGT cell lines. Also agonist at NMDA and PLD-coupled mGlu receptors.	Mewett et al (1983) Pharmacology of the excitatory actions of sulphonic and sulphinic amino acids. CNS Receptors: From Molecular Pharmacology to Beha 163-174. Gorman and Griffiths (1994) Sulphur-containing excitatory amino acid-stimulated inositol phosphate formation in primary cultures of cerebellar granule cells is mediated predominately by N-methyl-D-aspartate receptors. Neuroscience 59 299. PMID:8008194. Kingston et al (1998) Sulphur-containing amino acids are agonists for group 1 metabotropic receptors expressed in clonal RGT cell lines. Neuropharmacology 37 277. PMID:9681926.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1259				Jan-1901
