UNII	MarketingStatus	ProductCategory	MarketDate	InitialYearApproval	ActiveCode	ApprovalAppId	Equiv NDC	NDC	Route	ActiveMoietyName	GenericProductName	URL	Indications	Comment
QI7G114Y98	OTC monograph final	HUMAN OTC DRUG LABEL	2009-09-30		ACTIM	21 CFR 341		44597-5605	ORAL	ECHINACEA PURPUREA	PECTIN AND ECHINACEA PURPUREA	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=90997764-0ed5-4c09-a225-aceb8e8ad3ee	"Let Whatta-Melon® help soothe your child's sore throat. We have specially formulated these great tasting Watermelon ""GOODYPOPS™"" with Pectin, Echnicancea and Vitamin C.Pectin is a natural substance found in citrus fruits, and is extremely effective in temporarily relieving your childs sore throat. In additioin, the Echinacea and Vitamin C combination will offer additional support throughout the cold season. Why the ""GOODYPOPS™"" name? The Pectin will make your child's sore throat feel ""good.""The Echinacea and Vitamin C make GOODYPOPS™.The Watermelon flavour tastes ""good"". Well actually, it tastes AMAZING!"	
4NM5039Y5X	Unapproved other	HUMAN OTC DRUG LABEL	2009-10-02		ACTIB			10685-687	PERCUTANEOUS	TRICLOSAN	TRICLOSAN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cc245558-4416-484a-aa17-ac54134eb394		
4NM5039Y5X	Unapproved other	HUMAN OTC DRUG LABEL	2009-10-02		ACTIB			10685-688	PERCUTANEOUS	TRICLOSAN	TRICLOSAN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ff9cac3e-d2fe-41f0-b302-3d96760ea44d		
1Q73Q2JULR	OTC monograph final	HUMAN OTC DRUG LABEL	1996-12-19		ACTIB	21 CFR 331		60681-6001	ORAL	SODIUM CITRATE	SODIUM BICARBONATE, POTASSIUM BICARBONATE AND SODIUM CITRATE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7dca3271-4810-45d0-8b02-0bb0941bcc6f		
QI7G114Y98	OTC monograph final	HUMAN OTC DRUG LABEL	2009-09-30		ACTIM	21 CFR 341		44597-5505	ORAL	ECHINACEA PURPUREA	ECHINACEA PURPUREA, MENTHOL, AND EUCALYPTUS OIL	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=91ac7990-bac1-4ed6-bfa0-ae6cba88dc4e	Recommended Use: For the temporary relief of cough and sore throat pain. Helps relieve nasal congestion and make nasal passages feel clearer. Helps shorten the duration and relieve symptoms of the common cold.	
QI7G114Y98	OTC monograph final	HUMAN OTC DRUG LABEL	2009-09-30		ACTIM	21 CFR 341		44597-5535	ORAL	ECHINACEA PURPUREA	MENTHOL AND ECHINACEA PURPUREA	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b27e7413-5009-42ec-9175-33015046413a	Recommended Use: For the temporary relief of cough and sore throat pain. Soothes throat irritation. Helps relieve nasal congestion and make nasal passages feel clearer. Helps shorten the duration and relieve symptoms of the common cold.	
4N9P6CC1DX	OTC monograph final	HUMAN OTC DRUG LABEL	2009-09-30		ACTIB	21 CFR 341		44597-5358	ORAL	ECHINACEA	MENTHOL AND ECHINACEA	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=444743af-7833-46c5-a88d-27e76ea3f03a		
G2M7P15E5P	ANDA	HUMAN OTC DRUG LABEL	2009-10-06		ACTIB	ANDA091077		40032-312	ORAL	POLYETHYLENE GLYCOL 3350	POLYETHYLENE GLYCOL-3350	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8094e26b-7280-4777-8ab9-826662be18ea		
WI4X0X7BPJ	OTC MONOGRAPH NOT FINAL	HUMAN OTC DRUG LABEL	2008-10-01		ACTIB	21 CFR 348		41167-0032	TOPICAL	HYDROCORTISONE	HYDROCORTISONE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=beb73818-cd88-44ff-8ecd-b02b910b53b7		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-03-01		ACTIB	21 CFR 333		42906-001	TOPICAL	TRICLOSAN	LIQUID NATURE ANTIBACTERIAL HAND SOAP	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=318ffcab-7025-4fac-827b-cf6269facc12		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-11-12		ACTIB	21 CFR 333		49981-001	TOPICAL	TRICLOSAN	HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa51cc11-1d93-487c-ad4b-a730ea52ba34		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-11-15		ACTIB	21 CFR 333		49981-002	TOPICAL	TRICLOSAN	HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f1332b63-e374-4dfe-a2ac-ac092f777d82		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-11-16		ACTIB	21 CFR 333		49981-005	TOPICAL	TRICLOSAN	HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fd4677cb-26b9-4aa8-b6e3-67a17ca415bd		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-11-16		ACTIB	21 CFR 333		49981-004	TOPICAL	TRICLOSAN	HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=50d7805f-92f1-4c46-a787-956c110f5fd5		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-11-15		ACTIB	21 CFR 333		49981-003	TOPICAL	TRICLOSAN	HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5f5f7230-a185-487d-8dcf-4e2e5184fdd0		
BZ1R15MTK7	OTC monograph final	HUMAN OTC DRUG LABEL	2002-08-01		ACTIM	21 CFR 348		62282-052	TOPICAL	LEVOMENTHOL	LEVOMENTHOL	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3c861266-3f46-4881-8b4e-1c43b27f4c07		
C5INA23HXF	OTC monograph final	HUMAN OTC DRUG LABEL	2009-11-01		ACTIB	21 CFR 352		43948-5002	TOPICAL	ARBUTIN	ARBUTIN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=272461ba-cd0f-43c4-9cf0-732b199cedaa		
0D145J8EME	OTC monograph final	HUMAN OTC DRUG LABEL	2009-12-01		ACTIB	21 CFR 310.545		50030-004	TOPICAL	ALOE FEROX LEAF	ALOE FEROX LEAF	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1756f777-b3e6-4304-87a8-08391b1d1807		
4NM5039Y5X		HUMAN OTC DRUG LABEL			ACTIB			18018-502		TRICLOSAN	ANTIBACTERIAL SOAP	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=412112ef-8834-4f13-a27a-319514260f89		
4NM5039Y5X		HUMAN OTC DRUG LABEL			ACTIB			18018-502		TRICLOSAN	ANTIBACTERIAL SOAP	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=412112ef-8834-4f13-a27a-319514260f89		
4NM5039Y5X		HUMAN OTC DRUG LABEL			ACTIB			18018-503		TRICLOSAN	ANTIBACTERIAL SOAP	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=41a23e21-92f0-4c9d-bdcf-8cc7f4122818		
4NM5039Y5X		HUMAN OTC DRUG LABEL			ACTIB			18018-503		TRICLOSAN	ANTIBACTERIAL SOAP	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=41a23e21-92f0-4c9d-bdcf-8cc7f4122818		
K72T3FS567	OTC monograph final	HUMAN OTC DRUG LABEL	2009-11-01		ACTIB	21 CFR 347		43948-3001	TOPICAL	ADENOSINE	ADENOSINE GLYCERIN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58df6584-95ca-4852-aed4-58cba05b9c02		
K72T3FS567	OTC monograph final	HUMAN OTC DRUG LABEL	2009-11-01		ACTIB	21 CFR 347		43948-3002	TOPICAL	ADENOSINE	ADENOSINE GLYCERIN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9468411d-8607-48c8-8c32-84103146794c		
4NM5039Y5X		HUMAN OTC DRUG LABEL			ACTIB			18018-504		TRICLOSAN	ANTIBACTERIAL SOAP	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9d07ab10-da5c-4f1f-a0ec-24eded40fc54		
4NM5039Y5X		HUMAN OTC DRUG LABEL			ACTIB			18018-504		TRICLOSAN	ANTIBACTERIAL SOAP	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9d07ab10-da5c-4f1f-a0ec-24eded40fc54		
C5INA23HXF	OTC monograph final	HUMAN OTC DRUG LABEL	2009-11-01		ACTIB	21 CFR 347		43948-4001	TOPICAL	ARBUTIN	ARBUTIN GLYCERIN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9ff2cb7b-b5ef-483c-9468-2726418c6537		
K72T3FS567	OTC monograph final	HUMAN OTC DRUG LABEL	2009-11-01		ACTIB	21 CFR 347		43948-3003	TOPICAL	ADENOSINE	ADENOSINE DIMETHICONE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a626f894-7fdc-444c-92a5-543a8e30a40d		
C5INA23HXF	OTC monograph final	HUMAN OTC DRUG LABEL	2009-11-01		ACTIB	21 CFR 347		43948-4002	TOPICAL	ARBUTIN	ARBUTIN DIMETHICONE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ef645411-b9da-4e3a-9bf7-8c2fb6ee80ee		
G2M7P15E5P	ANDA	HUMAN OTC DRUG LABEL	2009-10-07		ACTIB	ANDA090812	00722-7116	0722-7116	ORAL	POLYETHYLENE GLYCOL 3350	POLYETHYLENE GLYCOL 3350, NF POWDER FOR SOLUTION, LAXATIVE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d6218f65-1b41-417e-b928-56ac6db411af		
4NM5039Y5X	OTC monograph final	HUMAN OTC DRUG LABEL	2009-09-30		ACTIB	21 CFR 333		40104-556	TOPICAL	TRICLOSAN	INSTANT HAND SANITIZING SPRAY WITH ALOE VERA	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f543d58a-ab11-49dc-985a-b506f7838bf2		
WI4X0X7BPJ	OTC MONOGRAPH NOT FINAL	HUMAN OTC DRUG LABEL	2009-12-08		ACTIB	21 CFR 348		41167-0331	TOPICAL	HYDROCORTISONE	HYDROCORTISONE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31dc0f1f-ddd8-41dc-b669-b24655634d55		
3FYP5M0IJX	Unapproved drug other	HUMAN OTC DRUG LABEL	2007-10-12		ACTIB		49483-080	63739-431	ORAL	SENNOSIDES	SENNA-TIME	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7a0b096b-ab37-4ffd-8d88-7f91e6ed60da		
C5INA23HXF	OTC monograph final	HUMAN OTC DRUG LABEL	2009-11-01		ACTIB	21 CFR 352		43948-5003	TOPICAL	ARBUTIN	ARBUTIN, ETHYLHEXYL METHOXYCINNAMATE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d5915e8d-69ee-486a-9fc9-e35562bf967f		
64O047KTOA	ANDA	HUMAN OTC DRUG LABEL	2009-10-01		ACTIB	ANDA077829		67668-161	ORAL	CETIRIZINE HYDROCHLORIDE	CETIRIZINE HYDROCHLORIDE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=139536a1-b021-4ef3-902f-b618da5aaa44		
64O047KTOA	ANDA	HUMAN OTC DRUG LABEL	2009-10-01		ACTIB	ANDA077829		67668-162	ORAL	CETIRIZINE HYDROCHLORIDE	CETIRIZINE HYDROCHLORIDE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6a37e1da-7949-4704-adb4-e9d018ac5301		
4NM5039Y5X	OTC MONOGRAPH FINAL	HUMAN OTC DRUG LABEL	2009-06-01		ACTIB	21 CFR 333		12488-1000	TOPICAL	TRICLOSAN	TRICLOSAN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6fc04f77-4c47-43b3-98f2-d16e686feb09		
4NM5039Y5X	OTC MONOGRAPH FINAL	HUMAN OTC DRUG LABEL	2009-12-09		ACTIB	21 CFR 333E		35000-114	TOPICAL	TRICLOSAN	TRICLOSAN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a5a4812c-774e-40e2-9381-20e260e32fed		
1C4QK22F9J	ANDA	HUMAN OTC DRUG LABEL	2005-04-01		ACTIB	ANDA077218		0256-0210	ORAL	POTASSIUM IODIDE	POTASSIUM IODIDE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a79acae4-af7a-4054-9440-c6433ac9acb1	ThyroShield (Potassium Iodide Oral Solution) is a thyroid blocking medicine that is used in a nuclear radiation emergency only.	
SY7Q814VUP	Unapproved drug other	HUMAN OTC DRUG LABEL	2005-11-15		ACTIB			63739-291	ORAL	CALCIUM	OYSTER SHELL CALCIUM WITH VITAMIN D	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bba98e57-7056-4143-8fcd-95e25539d087		
1C6V77QF41	Unapproved drug other	HUMAN OTC DRUG LABEL	2005-11-15		ACTIB			63739-291	ORAL	CHOLECALCIFEROL	OYSTER SHELL CALCIUM WITH VITAMIN D	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bba98e57-7056-4143-8fcd-95e25539d087		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-12-30		ACTIB	21 CFR 333		49981-017	TOPICAL	TRICLOSAN	ANTI-BACTERIAL HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0b0dfa42-a7b9-4acc-8dc6-b893cb5f3010		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-12-30		ACTIB	21 CFR 333		49981-007	TOPICAL	TRICLOSAN	ANTI-BACTERIAL HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=24da6b80-68b1-4656-9190-3d4d57151aad		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-12-30		ACTIB	21 CFR 333		49981-010	TOPICAL	TRICLOSAN	ANTI-BACTERIAL HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=502205f3-16d0-4d41-9e7a-74ddf8dae4ce		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-12-30		ACTIB	21 CFR 333		49981-014	TOPICAL	TRICLOSAN	ANTI-BACTERIAL HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a9a102b5-d55b-4c6a-a52a-e28f4c5f2816		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-12-30		ACTIB	21 CFR 333		49981-013	TOPICAL	TRICLOSAN	ANTI-BACTERIAL HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa11e827-1b87-4d5a-af4a-bedeb542fce7		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-12-30		ACTIB	21 CFR 333		49981-016	TOPICAL	TRICLOSAN	ANTI-BACTERIAL HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b7b4a4ef-d6ae-4c7a-a4bc-c066151b9eb1		
XV74C1N1AE	OTC monograph not final	HUMAN OTC DRUG LABEL	2002-11-01		ACTIB	21 CFR 358		64269-9902	TOPICAL	HYDROQUINONE	HYDROQUINONE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c24a9fd8-1fb5-4643-92df-b268479a35e5		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-12-30		ACTIB	21 CFR 333		49981-012	TOPICAL	TRICLOSAN	ANTI-BACTERIAL HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cbd29932-e2ad-4c14-ba9e-24eb767a7d42		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-12-30		ACTIB	21 CFR 333		49981-011	TOPICAL	TRICLOSAN	ANTI-BACTERIAL HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f67a4df1-52d7-4707-a567-d4498e49b437		
67M901L9NQ	OTC monograph not final	HUMAN OTC DRUG LABEL	2007-12-30		ACTIB	21 CFR 334		63044-404	TOPICAL	AMMONIUM LACTATE	AMMONIUM LACTATE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=34d21510-062e-40ab-b074-ae3a0dc65e68	Ammonium Lactate Cream is indicated for the treatment of dry, scaly skin (xerosis) and ichthyosis vulgaris and for temporary relief of itching associated with these conditions.	
WI4X0X7BPJ	OTC monograph not final	HUMAN OTC DRUG LABEL	2010-01-01		ACTIB	21 CFR 348		43136-819	TOPICAL	HYDROCORTISONE	HYDROCORTISONE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e0637db-b17b-4b25-9718-afc0ca4343a0		
C5INA23HXF	OTC monograph final	HUMAN OTC DRUG LABEL	2010-01-01		ACTIB	21 CFR 347		49742-1001	TOPICAL	ARBUTIN	ARBUTIN, ADENOSINE, GLYCERIN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6fc39322-244c-4f35-a983-c994ac17632a		
K72T3FS567	OTC monograph final	HUMAN OTC DRUG LABEL	2010-01-01		ACTIB	21 CFR 347		49742-1001	TOPICAL	ADENOSINE	ARBUTIN, ADENOSINE, GLYCERIN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6fc39322-244c-4f35-a983-c994ac17632a		
67M901L9NQ	OTC monograph not final	HUMAN OTC DRUG LABEL	2007-12-30		ACTIB	21 CFR 334		63044-484	TOPICAL	AMMONIUM LACTATE	AMMONIUM LACTATE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c81529fe-95b6-4b11-bfc8-cc5f9b8952d3	Ammonium Lactate Lotion is indicated for the treatment of dry, scaly skin (xerosis) and ichthyosis vulgaris and for temporary relief of itching associated with these conditions.	
64O047KTOA	ANDA	HUMAN OTC DRUG LABEL	2007-12-27		ACTIB	ANDA077499		57664-540	ORAL	CETIRIZINE HYDROCHLORIDE	CETIRIZINE HYDROCHLORIDE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0d46aa05-d4b7-4380-89e7-859b6ee221b4		
64O047KTOA	ANDA	HUMAN OTC DRUG LABEL	2007-12-27		ACTIB	ANDA077499		57664-541	ORAL	CETIRIZINE HYDROCHLORIDE	CETIRIZINE HYDROCHLORIDE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0d46aa05-d4b7-4380-89e7-859b6ee221b4		
4NM5039Y5X	NDA	HUMAN OTC DRUG LABEL	2009-07-07		ACTIB	NDA020231		65954-354	DENTAL	TRICLOSAN	SODIUM FLUORIDE AND TRICLOSAN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2f82bfe9-a861-4051-9133-9c590d09f0b6		
4NM5039Y5X	NDA	HUMAN OTC DRUG LABEL	2009-07-07		ACTIB	NDA020231		65954-353	DENTAL	TRICLOSAN	SODIUM FLUORIDE AND TRICLOSAN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=777dbfc2-8cc2-419e-afa8-d4650c0475a2		
S07O44R1ZM	OTC monograph final	HUMAN OTC DRUG LABEL	1999-11-10		ACTIB	21 CFR 334		63044-030	TOPICAL	CAPSAICIN	ZIKS ARTHRITIS PAIN RELIEF	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5dd4fefc-b70a-4850-819c-1cca6f28aa97	For the temporary relief of minor aches and pain of muscles and joints associated with arthritis, simple backache, strains and sprains. *Products containing purified capsaicin are most recommended by doctors and pharmacists.	
7T1F30V5YH	OTC monograph final	HUMAN OTC DRUG LABEL	2005-11-10		ACTIB	21 CFR 349		16995-001	OPHTHALMIC	POLYSORBATE 20	NAPHAZOLINE HYDROCHLORIDE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=be1d52aa-2a40-42d6-8108-ab02bb37711b		
64O047KTOA	ANDA	HUMAN OTC DRUG LABEL	2009-09-15		ACTIB	ANDA090300	60258-860	0121-4780	ORAL	CETIRIZINE HYDROCHLORIDE	CETIRIZINE HYDROCHLORIDE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f621a02d-5a92-4aa2-af70-1fd1d993ba75		
S07O44R1ZM	OTC MONOGRAPH NOT FINAL	HUMAN OTC DRUG LABEL	2006-12-01		ACTIB	21 CFR 348		41167-7518	TOPICAL	CAPSAICIN	CAPSAICIN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ce82c2df-21d2-48f7-9189-2454d3cf63bb		
S07O44R1ZM	OTC MONOGRAPH NOT FINAL	HUMAN OTC DRUG LABEL	1998-12-01		ACTIB	21 CFR 348		41167-1214	TOPICAL	CAPSAICIN	CAPSAICIN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=605703e8-b353-40df-9ac4-67a76b866d63		
S07O44R1ZM	OTC MONOGRAPH NOT FINAL	HUMAN OTC DRUG LABEL	2008-12-01		ACTIB	21 CFR 348		41167-7516	TOPICAL	CAPSAICIN	CAPSAICIN AND MENTHOL	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d6c313a3-8dc6-4231-95b6-ac9399e1c1be		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-12-30		ACTIB	21 CFR 333		49981-008	TOPICAL	TRICLOSAN	ANTI-BACTERIAL HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=431247ce-6d16-4498-8f73-0738c067971a		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-12-30		ACTIB	21 CFR 333		49981-009	TOPICAL	TRICLOSAN	ANTI-BACTERIAL HAND WASH	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=53d47df9-90a3-42df-8e25-b0cc81d2fbce		
7AJO3BO7QN	NDA	HUMAN OTC DRUG LABEL	2010-01-11		ACTIB	NDA075209		0067-6122	ORAL	LORATADINE	LORATADINE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6f8c55ff-124b-4e91-893d-5e7c5663b60b		
7AJO3BO7QN	NDA	HUMAN OTC DRUG LABEL	2010-01-04		ACTIB	NDA075209		0067-6066	ORAL	LORATADINE	LORATADINE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7a2f0eef-7803-497d-926c-a6163a89eb56		
