NADA_ID	UNII	Ingredient	AppNo	Rx	Status	AppType	Sponsor	Trade Name	Reference	Routes	Ingredients
X4W7ZR7023011-403	X4W7ZR7023	METHYLPREDNISOLONE	011-403	RX	Approved	N	Zoetis Inc.	Medrol® Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-403	Oral	Methylprednisolone
WI93Z9138A011-427	WI93Z9138A	TESTOSTERONE PROPIONATE	011-427	OTC	Approved	N	Zoetis Inc.	Synovex® H	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-427	Subcutaneous	Estradiol Benzoate|Testosterone Propionate
9E75N4A5HM011-482	9E75N4A5HM	TRIFLUPROMAZINE HYDROCHLORIDE	011-482	RX	Approved	N	Zoetis Inc.	Vetame Injectable	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-482	Intravenous|Intramuscular	Triflupromazine Hydrochloride
8OEC3RA07X011-531	8OEC3RA07X	DITHIAZANINE IODIDE	011-531	RX	Approved	N	Cronus Pharma Specialities India Private Limited	Dizan Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-531	Oral	Dithiazanine Iodide
429ZT169UH011-582	429ZT169UH	ACETAZOLAMIDE SODIUM	011-582	RX	Approved	N	Zoetis Inc.	Vetamox Soluble Powder	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-582	Intraperitoneal|Intramuscular|Oral	Acetazolamide Sodium
8223RR9DWF011-593	8223RR9DWF	PREDNISOLONE SODIUM SUCCINATE	011-593	RX	Approved	N	Zoetis Inc.	Solu-Delta Cortef® Sterile Powder	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-593	Intravenous|Intramuscular	Prednisolone Sodium Succinate
011-644		COLLOIDAL FERRIC OXIDE	011-644	OTC	Approved	N	Zoetis Inc.	Felac	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-644	Intramuscular	Colloidal Ferric Oxide
R16CO5Y76E011-700	R16CO5Y76E	ACETYLSALICYLIC ACID	011-700	RX	Approved	N	Zoetis Inc.	Cortaba® Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-700	Oral	Methylprednisolone|Acetylsalicylic Acid
55P9TUL75S011-789	55P9TUL75S	ISOFLUPREDONE ACETATE	011-789	RX	Approved	N	Zoetis Inc.	Predef® 2x Sterile Aqueous Suspension	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-789	Intramuscular|Intrasynovial	Isoflupredone Acetate
R520B454OA011-877	R520B454OA	AMINOPROPAZINE FUMARATE	011-877	RX	Approved	N	Intervet, Inc.	Jenotone Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-877	Oral	Aminopropazine Fumarate
7S5I7G3JQL011-885	7S5I7G3JQL	DEXAMETHASONE	011-885	RX	Approved	N	Intervet, Inc.	Azium® Tablets 0.25 mg	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-885	Oral	Dexamethasone
011-893		THYROID STIMULATING HORMONE	011-893	RX	Approved	N	Intervet, Inc.	Dermathycin Injectable	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-893	Subcutaneous	Thyroid Stimulating Hormone
30CPC5LDEX012-087	30CPC5LDEX	SULFADIMETHOXINE	012-087	RX	Approved	N	Intervet, Inc.	Bactrovet Tablets 250 mg	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-087	Oral	Sulfadimethoxine
63937KV33D012-123	63937KV33D	ERYTHROMYCIN	012-123	OTC	Approved	N	Bimeda Animal Health Limited	Erythro® - 100, 200	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-123	Intramuscular	Erythromycin
F446C597KA012-198	F446C597KA	TRIAMCINOLONE ACETONIDE	012-198	RX	Approved	N	Boehringer Ingelheim Vetmedica, Inc.	Vetalog® Parenteral	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-198	Intramuscular|Intralesional|Intra-Articular|Subcutaneous|Intrasynovial	Triamcinolone Acetonide
43502P7F0P012-204	43502P7F0P	METHYLPREDNISOLONE ACETATE	012-204	RX	Approved	N	Zoetis Inc.	Depo-Medrol® (20 mg) Sterile Aqueous Suspension	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-204	Intrasynovial|Intramuscular	Methylprednisolone Acetate
32HRV3E3D5012-227	32HRV3E3D5	GRISEOFULVIN	012-227	RX	Approved	N	Intervet, Inc.	Fulvicin U/F® Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-227	Oral	Griseofulvin
HR4S203Y18012-258	HR4S203Y18	THIOSTREPTON	012-258	RX	Approved	N	Zoetis Inc.	Panolog® Ointment	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-258	Topical	Neomycin Sulfate|Triamcinolone Acetonide|Thiostrepton|Nystatin
BDF1O1C72E011-398	BDF1O1C72E	NYSTATIN	011-398	OTC	Withdrawn	N	Fort Dodge Animal Health, Division of Wyeth Holdings Corp., a wholly owned subsidiary of Pfizer, Inc.	Myco-20	http://www.farad.org/vetgram/ProductInfo.asp?byNada=011-398	Oral	nystatin
95CO6N199Q012-350	95CO6N199Q	AMPROLIUM	012-350	OTC	Approved	N	Huvepharma EOOD	Amprol® 25% Type A Medicated Article	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-350	Oral	Amprolium
17EC19951N012-375	17EC19951N	NOVOBIOCIN	012-375	OTC	Approved	N	Zoetis Inc.	Albamix® Feed Medication	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-375	Oral	Novobiocin
9PHQ9Y1OLM012-437	9PHQ9Y1OLM	PREDNISOLONE	012-437	RX	Approved	N	Zoetis Inc.	Temaril-P® Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-437	Oral	Prednisolone|Trimeprazine Tartrate
362NW1LD6Z012-437	362NW1LD6Z	TRIMEPRAZINE TARTRATE	012-437	RX	Approved	N	Zoetis Inc.	Temaril-P® Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-437	Oral	Prednisolone|Trimeprazine Tartrate
63KP7FXF2I012-469	63KP7FXF2I	PIPERAZINE CITRATE	012-469	OTC	Approved	N	Cronus Pharma Specialities India Private Limited	Dizan Suspension With Piperazine	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-469	Nasogastric|Oral	Dithiazanine Iodide|Piperazine Citrate
NR75X12AFF012-491	NR75X12AFF	TYLOSIN PHOSPHATE	012-491	VFD	Approved	N	Elanco US Inc.	Tylan™ 10	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-491	Oral	Tylosin Phosphate
H4N855PNZ1012-635	H4N855PNZ1	VITAMIN E	012-635	RX	Approved	N	Intervet, Inc.	BO-SE	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-635	Intramuscular|Subcutaneous	Vitamin E|Sodium Selenite
HIW548RQ3W012-635	HIW548RQ3W	SODIUM SELENITE	012-635	RX	Approved	N	Intervet, Inc.	BO-SE	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-635	Intramuscular|Subcutaneous	Vitamin E|Sodium Selenite
DBF2DG4G2K012-956	DBF2DG4G2K	TRICHLORFON	012-956	RX	Approved	N	Zoetis Inc.	Dyrex Bolus	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-956	Oral	Trichlorfon
YEF4JXN031012-965	YEF4JXN031	TYLOSIN	012-965	OTC	Approved	N	Elanco US Inc.	Tylan™ 200 Injection	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-965	Intramuscular	Tylosin
9J2IBN2H70012-991	9J2IBN2H70	COPPER NAPHTHENATE	012-991	OTC	Approved	N	Zoetis Inc.	Kopertox®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-991	Topical	Copper Naphthenate
5P4625C51T012-585	5P4625C51T	TYLOSIN TARTRATE	012-585	OTC	Voluntarily Withdrawn	N	Elanco Animal Health, A Division of Eli Lilly & Co.	Tylan® Injectable	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-585		Tylosin Tartrate
98PI200987013-146	98PI200987	LIDOCAINE	013-146	RX	Approved	N	Zoetis Inc.	Liquamycin® Intramuscular	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/013-146	Intramuscular	Oxytetracycline Hydrochloride|Lidocaine
I1T8O1JTL6013-201	I1T8O1JTL6	PROCHLORPERAZINE MALEATE	013-201	RX	Approved	N	Zoetis Inc.	Darbazine Spansule  Capsule No.1	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/013-201	Oral	Prochlorperazine Maleate|Isopropamide Iodide
E0KNA372SZ013-201	E0KNA372SZ	ISOPROPAMIDE IODIDE	013-201	RX	Approved	N	Zoetis Inc.	Darbazine Spansule  Capsule No.1	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/013-201	Oral	Prochlorperazine Maleate|Isopropamide Iodide
7C0697DR9I013-248	7C0697DR9I	ATROPINE	013-248	RX	Approved	N	Zoetis Inc.	Freed No. 10	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/013-248	Oral	Trichlorfon|Atropine
WI4X0X7BPJ013-293	WI4X0X7BPJ	HYDROCORTISONE	013-293	RX	Approved	N	Zoetis Inc.	Liqua-Cortril Spray	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/013-293	Topical	Oxytetracycline Hydrochloride|Hydrocortisone
F4X3L6068O013-461	F4X3L6068O	ETHOPABATE	013-461		Approved	N	Huvepharma EOOD	Amprol Hi-E	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/013-461		Amprolium|Ethopabate
880RIW1DED013-957	880RIW1DED	SULFAETHOXYPYRIDAZINE	013-957	RX	Approved	N	Zoetis Inc.	S.E.Z. Drinking Water 6.25%	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/013-957	Oral	Sulfaethoxypyridazine
UQT9G45D1P014-170	UQT9G45D1P	HALOTHANE	014-170	RX	Approved	N	Zoetis Inc.	Fluothane	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/014-170	Inhalation	Halothane
GCA9VV7D2N014-366	GCA9VV7D2N	LIOTHYRONINE SODIUM	014-366	RX	Approved	N	Zoetis Inc.	Cytobin Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/014-366	Oral	Liothyronine Sodium
37862HP2OM015-030	37862HP2OM	ACEPROMAZINE MALEATE	015-030	RX	Approved	N	Boehringer Ingelheim Vetmedica, Inc.	PromAce® Injectable	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-030	Intravenous|Intramuscular|Subcutaneous	Acepromazine Maleate
HWT06H303Z015-126	HWT06H303Z	SPECTINOMYCIN HYDROCHLORIDE PENTAHYDRATE	015-126	RX	Approved	N	Zoetis Inc.	Spectinomycin Tablet and Injection	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-126	Intramuscular|Oral	Spectinomycin Hydrochloride Pentahydrate
PG20W5VQZS015-147	PG20W5VQZS	PROCHLORPERAZINE EDISYLATE	015-147	RX	Approved	N	Zoetis Inc.	Darbazine Injectable	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-147	Subcutaneous	Prochlorperazine Edisylate|Isopropamide Iodide
0CD5FD6S2M015-151	0CD5FD6S2M	FLUOCINOLONE ACETONIDE	015-151	RX	Approved	N	Medicis Dermatologics, Inc	Neo-synalar Cream	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-151	Topical	Neomycin Sulfate|Fluocinolone Acetonide
17VU4Z4W88015-154	17VU4Z4W88	PIPERAZINE DIHYDROCHLORIDE	015-154	RX	Approved	N	Zoetis Inc.	Dyrex T.F - 1000	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-154	Oral	Trichlorfon|Piperazine Dihydrochloride|Phenothiazine
GS9EX7QNU6003-808	GS9EX7QNU6	PHENOTHIAZINE	003-808	OTC	Withdrawn	N	T.P.C. Products, Inc.	w-Drench Suspension	http://www.farad.org/vetgram/ProductInfo.asp?byNada=003-808	Oral	phenothiazine
KPM50228FR015-160	KPM50228FR	SODIUM SULFACHLOROPYRAZINE MONOHYDRATE	015-160	RX	Approved	N	Zoetis Inc.	SODIUM SULFACHLOROPYRAZINE (MONOHYDRATE) SOLUTION	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-160	Oral	Sodium Sulfachloropyrazine Monohydrate
TU308VI4JY015-182	TU308VI4JY	THENIUM CLOSYLATE	015-182	RX	Approved	N	Intervet, Inc.	Canopar Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-182	Oral	Thenium Closylate
3D6CWI0P23015-433	3D6CWI0P23	MYRISTYL-GAMMA-PICOLINIUM CHLORIDE	015-433	RX	Approved	N	Zoetis Inc.	Neo-Predef® with Tetracaine Ointment	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-433	Topical	Neomycin Sulfate|Isoflupredone Acetate|Myristyl-gamma-picolinium Chloride|Tetracaine Hydrochloride
4R1VB9P8V3015-506	4R1VB9P8V3	STANOZOLOL	015-506	RX	Approved	N	Zoetis Inc.	Winstrol-V® Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-506	Oral	Stanozolol
Q58C92TUN0030-136	Q58C92TUN0	TRICHLORMETHIAZIDE	030-136	RX	Approved	N	Intervet, Inc.	Naquasone® Bolus	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/030-136	Oral	Trichlormethiazide|Dexamethasone
LR3CD8SX89030-414	LR3CD8SX89	FLUMETHASONE	030-414	RX	Approved	N	Zoetis Inc.	Flucort® Solution	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/030-414	Intravenous|Subcutaneous|Intramuscular|Intralesional|Intra-Articular	Flumethasone
695N30CINR030-416	695N30CINR	METHENAMINE MANDELATE	030-416	RX	Approved	N	Zoetis Inc.	Mesulfin Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/030-416	Oral	Methenamine Mandelate|Sulfamethizole
25W8454H16030-416	25W8454H16	SULFAMETHIZOLE	030-416	RX	Approved	N	Zoetis Inc.	Mesulfin Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/030-416	Oral	Methenamine Mandelate|Sulfamethizole
O9U0F09D5X030-438	O9U0F09D5X	DROPERIDOL	030-438	RX	Approved	N	Intervet, Inc.	Innovar®-Vet Injection	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/030-438	Intravenous|Intramuscular	Droperidol|Fentanyl Citrate
MUN5LYG46H030-438	MUN5LYG46H	FENTANYL CITRATE	030-438	RX	Approved	N	Intervet, Inc.	Innovar®-Vet Injection	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/030-438	Intravenous|Intramuscular	Droperidol|Fentanyl Citrate
7BHQ856EJ5031-448	7BHQ856EJ5	IODOCHLORHYDROXYQUIN	031-448	RX	Approved	N	Zoetis Inc.	Rheaform Bolus	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/031-448	Oral	Iodochlorhydroxyquin
