OTC_ID	UNII	OTC_Ingredient	OTC_Monograph	OTC_Status	OTC_Ref_Text	OTC_URL
74	3J50XA376E	thymol	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
75	4NM5039Y5X	triclosan	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
76	SOI2LOH54Z	zinc oxide	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
77	TE7660XO1C	glycine	benign prostatic hypertrophy	Previously Marketed	21 CFR 310.532(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-532.xml
78	OF5P57N2ZX	alanine	benign prostatic hypertrophy	Previously Marketed	21 CFR 310.532(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-532.xml
79	3KX376GY7L	glutamic acid	benign prostatic hypertrophy	Previously Marketed	21 CFR 310.532(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-532.xml
80		sabal	benign prostatic hypertrophy	Previously Marketed	21 CFR 310.532(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-532.xml
81	WQZ3G9PF0H	Atropa belladonna	cough/cold:anticholinergic	Previously Marketed	21 CFR 310.533(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-533.xml
82	03J5ZE7KA5	atropine sulfate	cough/cold:anticholinergic	Previously Marketed	21 CFR 310.533(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-533.xml
83	WQZ3G9PF0H	belladonna alkaloids	cough/cold:anticholinergic	Previously Marketed	21 CFR 310.533(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-533.xml
84	G6W4F0V8Z3	Datura stramonium	cough/cold:anticholinergic	Previously Marketed	21 CFR 310.533(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-533.xml
85	344S277G0Z	allantoin	oral wound healing agents	Previously Marketed	21 CFR 310.534(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-534.xml
86	31PZ2VAU81	carbamide peroxide	oral wound healing agents	Previously Marketed	21 CFR 310.534(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-534.xml
87		water soluble chlorophyllins	oral wound healing agents	Previously Marketed	21 CFR 310.534(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-534.xml
88	BBX060AN9V	hydrogen peroxide	oral wound healing agents	Previously Marketed	21 CFR 310.534(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-534.xml
89	4YK5Z54AT2	denatonium benzoate	nailbiting or thumbsucking deterrent	Previously Marketed	21 CFR 310.536(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-536.xml
90	07V591057T	sucrose octaacetate	nailbiting or thumbsucking deterrent	Previously Marketed	21 CFR 310.536(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-536.xml
91	K3Z4F929H6	lysine	fever blisters and cold sores	Previously Marketed	21 CFR 310.537(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-537.xml
92	1PRR1V42V5	Lactobacillus acidophilus	fever blisters and cold sores	Previously Marketed	21 CFR 310.537(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-537.xml
93	HU1W4L947H	Lactobacillus bulgaricus	fever blisters and cold sores	Previously Marketed	21 CFR 310.537(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-537.xml
94	U3RSY48JW5	benzocaine	ingrown toenail relief	Previously Marketed	21 CFR 310.538(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-538.xml
95	HM4YQM8WRC	chlorobutanol	ingrown toenail relief	Previously Marketed	21 CFR 310.538(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-538.xml
96	0F32U78V2Q	chloroxylenol	ingrown toenail relief	Previously Marketed	21 CFR 310.538(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-538.xml
97	L6JW2TJG99	dibucaine	ingrown toenail relief	Previously Marketed	21 CFR 310.538(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-538.xml
98	28F9E0DJY6	tannic acid	ingrown toenail relief	Previously Marketed	21 CFR 310.538(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-538.xml
99	8W8T17847W	urea	ingrown toenail relief	Previously Marketed	21 CFR 310.538(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-538.xml
100	JK8U8K4D6K	betaine hydrochloride	digestive aid:stomach acidifier	Previously Marketed	21 CFR 310.540(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-540.xml
101	M0C2SP444T	glutamic acid hydrochloride	digestive aid:stomach acidifier	Previously Marketed	21 CFR 310.540(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-540.xml
102	QTT17582CB	hydrochloric acid	digestive aid:stomach acidifier	Previously Marketed	21 CFR 310.540(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-540.xml
103		pepsin	digestive aid:stomach acidifier	Previously Marketed	21 CFR 310.540(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-540.xml
104		hemicellulase	digestive aid:exocrine pancreatic insufficiency	Previously Marketed	21 CFR 310.543(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-543.xml
105		pancreatin	digestive aid:exocrine pancreatic insufficiency	Previously Marketed	21 CFR 310.543(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-543.xml
106		pancrelipase	digestive aid:exocrine pancreatic insufficiency	Previously Marketed	21 CFR 310.543(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-543.xml
107		cloves	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
108		coriander	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
109	2R04ONI662	eucalyptus oil	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
110		ginger (Jamaica)	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
111		lemon oil (terpeneless)	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
112	61ZBX54883	licorice root extract	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
113	D0P25S3P81	lobeline (in the form of lobeline sulfate or natural lobelia alkaloids or Lobelia inflata herb)	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
114		menthol	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
115	LAV5U5022Y	methyl salicylate	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
116		povidone-silver nitrate	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
117	KAU4V10S2I	quinine ascorbate	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
118	19PPS85F9H	silver acetate	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
119	95IT3W8JZE	silver nitrate	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
120	3J50XA376E	thymol	smoking deterrent	Previously Marketed	21 CFR 310.544(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-544.xml
121	18B8O9DQA2	alcloxa	acne	Previously Marketed	21 CFR 310.545(a)(1)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml
122		alkyl isoquinolinium bromide	acne	Previously Marketed	21 CFR 310.545(a)(1)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml
123	PGG6VG42HP	aluminum chlorohydrex	acne	Previously Marketed	21 CFR 310.545(a)(1)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml
124	5QB0T2IUN0	aluminum hydroxide	acne	Previously Marketed	21 CFR 310.545(a)(1)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml
125	U3RSY48JW5	benzocaine	acne	Previously Marketed	21 CFR 310.545(a)(1)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml
126	8SKN0B0MIM	benzoic acid	acne	Previously Marketed	21 CFR 310.545(a)(1)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml
127	R57ZHV85D4	boric acid	acne	Previously Marketed	21 CFR 310.545(a)(1)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml
128		calcium polysuldfide	acne	Previously Marketed	21 CFR 310.545(a)(1)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml
129	210100728E	calcium thiosulfate	acne	Previously Marketed	21 CFR 310.545(a)(1)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml
130	5TJD82A1ET	camphor	acne	Previously Marketed	21 CFR 310.545(a)(1)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml
