smiles	drug_id	name	unii
[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])C[C@H](C)C4=CC(=O)C=C[C@]34C	7232119	FLUOROMETHOLONE	SV0CSG527L
[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@]([H])(F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO	7232181	FLUOCINOLONE ACETONIDE	0CD5FD6S2M
[H][C@@]12C[C@](C)(CC[C@]1(C)CC[C@]3(C)C2=CC(=O)[C@]4([H])[C@@]5(C)CC[C@H](O[C@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O[C@@H]7O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)C(O)=O)C(O)=O)C(C)(C)[C@]5([H])CC[C@@]34C)C(O)=O	7232190	Glycyrrhizin|Acid, glycyrrhizi|Glycyrrhizic acid|Monoammonium glycyrrhizinate|Ammonium glycyrrhizate|Uralsaponin a|Glycyrrhizinate dipotassium|Dipotassium glycyrrhizinate|Glycyrrhetinic acid glycoside|Beta-d-glucopyranosiduronic acid, (3beta,20beta)-20-carboxy-11-oxo-30-norolean-12-en-3-yl 2-o-beta-d-glucopyranuronosyl-|Zinc glycyrrhizate|Alpha-d-glucopyranosiduronic acid, (3 beta,20 beta)-20-carboxy-11-oxo-30-norolean-12-en-3-yl 2-o-beta-d-glucopyranuronosyl-|Glycyron|Neubormitin|Alpha-d-glucopyranosiduronic acid, (3beta,20beta)-20-carboxy-11-oxo-30-norolean-12-en-3-yl 2-o-beta-d-glucopyranuronosyl-, mixt. with l-cysteine, glycine and dl-methionine|Acid, glycyrrhizini|Glycyrrhizinic acid|Stronger neominophagen c|Ammonium glycyrrhizinate|Diammonium glycyrrhizinate|Glycyrrhizate, zin|Glycyrrhizinate, dipotassiu|Glycyrrhizin, ammoniated|3-Hydroxy-11 oxoolean-12-en-30-oic acid-3-o-glucuronopyranosyl-(1-2)glucuronopyranoside	6FO62043WK
CC(CCC1=CC=C(O)C=C1)NCCC2=CC(O)=C(O)C=C2	7232205	DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE)|DOBUTAMINE HYDROCHLORIDE	3S12J47372
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])C[C@]([H])(C)C4=CC(=O)C=C[C@]34C	7232246	METHYLPREDNISOLONE|METHYLPREDNISOLONE SODIUM SUCCINATE	X4W7ZR7023
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(O)=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4	7232262	Artesunate|Arsumax|Artesunic acid|Artesunatum|Dihydroartemisinine-12-alpha-succinate|Sm 804|Na salt(3r-(3alpha,5abeta,6beta,8abeta,9alpha,10alpha,12alpha,12ar*))-isomer of artesunate|Succinyl dihydroartemisinin|Sodium artesunate|Quinghaosu reduced succinate ester|Artesunato|Na salt of artesunate|(3S,5as,6r,8as,9r,10s,12r,12ar)-decahydro-3,6,9-trimethyl-3,12-epoxy-12h-pyrano(4,3-j)-1,2-benzodioxepin-10-ol	60W3249T9M
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(CC)OC3=CC=CC=C3)C(O)=O	7232354	Propicillinum|Brocillin|Propicillin potassium|Propicillin|Alpha-phenoxy propylpenicillin|Propicilline|Levopropylcillin potassium|Propicilina	8X1R260V33
O[C@@H]1CO[C@H]2[C@H](CO[C@@H]12)O[N+]([O-])=O	7232361	ISOSORBIDE-5-MONONITRATE|ISOSORBIDE MONONITRATE	21BMF8FI0K|LX1OH63030
OC(=O)[C@@H]1CCC[C@@H]2SCC[C@H](NC(=O)[C@@H](S)CC3=CC=CC=C3)C(=O)[N@@]12	7232382	Omapatrilat|Vanlev|Omapatrilate|Octahydro-4-((2-mercapto-1-oxo-3-phenyl-propyl)amino)-5-oxo-7h-pyrido(2,1-b)(1,3)-thiazepine-7-carboxylic acid(4s-(4a(r*),7a,10ab))|Omapatrilatum|Bms-186716-01|Octahydro-4-((2-mercapto-1-oxo-3-phenylpropyl)amino)-5-oxo-7h-pyrido(2,1-b)(1,3)thiazepine-7-carboxylic acid|Bms-186716|Bms 186716|OMAPATRILAT	36NLI90E7T
[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	7232397	METHANDROSTENOLONE	COZ1R7EOCC
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O	7232436	Monosodium salt, cefmetazol|Cefmetazolo|Sodium (6r,7s)-7-(2-((cyanomethyl)thio)acetamido)-7-methoxy-3-(((1-methyl-1h-tetrazol-5-yl)thio)methyl)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylate|Salt, cefmetazole monosodiu|Cs-1170|U-72791a|U 72791|U72791|5-Thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid, 7-((((cyanomethyl)thio)acetyl)amino)-7-methoxy-3-(((1-methyl-1h-tetrazol-5-yl)thio)methyl)-8-oxo-, (6r-cis)-|Sodium, cefmetazol|(6R,7s)-7-(2-((cyanomethyl)thio)acetamido)-7-methoxy-3-(((1-methyl-1h-tetrazol-5-yl)thio)methyl)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid|Cs 1170|Pharmacia brand of cefmetazole sodium|Cefmetazole sodium|Cs117|5-Thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid, 7-((((cyanomethyl)thio)acetyl)amino)-7-methoxy-3-(((1-methyl-1h-tetrazol-5-yl)thio)methyl)-8-oxo-, monosodium salt, (6r,7s)-|Cs 117|Cefmetazolum|Cefmetazole monosodium salt|Sodium (6r,7s)-7-(2-cyanomethylthio)acetamido)-7-methoxy-3 -(1-methyl-1h-tetrazol-5-yl)thio)methyl)-8-oxo-5-thia-1-azabicyclo(4.2.0.)oct-2-ene-carboxylate|5-Thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid, 7-((((cyanomethyl)thio)acetyl)amino)-7-methoxy-3-(((1-methyl-1h-tetrazol-5-yl)thio)methyl)-8-oxo-, monosodium salt, (6r-cis)|Sodium (6r,7s)-7-((((cyanomethyl)thio)acetyl)amino)-7-methoxy-3-(((1-methyl-1h-tetrazol-5-yl)thio)methyl)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylate|Cefmetazole|Zefazone|Cefmetazon	3J962UJT8H
[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC)[C@@]1(C)C[C@H](O)C3(F)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	7232445	Amelometasonum|Amelometasone	T01B0RCE7T
[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C	7232454	METHYLTESTOSTERONE	V9EFU16ZIF
[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	7232479	PREDNISOLONE ACETATE	8B2807733D
[H][C@@]12C[C@@H](C)[C@H](C(=O)CN3CCN(CC3)C4=NC(=NC(=C4)N5CCCC5)N6CCCC6)[C@@]1(C)CC=C7[C@@]2([H])CCC8=CC(=O)C=C[C@]78C	7232481	Tirilazad|Tirilazadum|U-74006f|Freedox|Tirilazad mesilate|21-(4-(2,6-Di-1-pyrrolidinyl-4-pyrimidinyl)-1-piperazinyl)-16a-methyl-pregna-1,4,9(11)-triene-3,20-dione mesylate monohydrate|Pregna-1,4,9(11)-triene-3,20-dione, 21-(4-(2,6-di-1-pyrrolidinyl-4-pyrimidinyl)-1-piperazinyl)-16-methyl-, (16alpha)-, monomethanesulfonate|Tirilazad mesylate|TIRILAZAD	YD064E883I
[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC(O)=O)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C	7232483	HYDROCORTISONE SODIUM SUCCINATE	IHV1VP592V
CC(C(O)=O)C1=CC2=C(SC3=CC=CC=C3C(=O)C2)C=C1	7232565	Cn 100|Zaltoprofeno|Zaltoprofenum|Cn-100|Zaltoprofen|Zaltoprofene|10,11-Dihydro-alpha-methyl-10-oxodibenzo(b,f)thiepin-2-acetic acid|Peon	H8635NG3PY
COC1=CC(CC2=C(N)N=C(N)N=C2)=CC(OC)=C1OC	7232581	TRIMETHOPRIM	AN164J8Y0X
[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)C2([H])N	7232608	13-Amino-5,6,7,8,9,10,11,12-octahydro-5-methyl-5,11-methanobenzocyclodecenol|Dezocinum|Dezocina|5,11-Methanobenzocyclodecen-3-ol, 13-amino-5,6,7,8,9,10,11,12-octahydro-5-methyl-, (5r,11s,13s)-|5,11-Methanobenzocyclodecen-3-ol, 13-amino-5,6,7,8,9,10,11,12-octahydro-5-methyl-, (5.alpha.,11.alpha.,13s*)|Dalgan|(-)-13.Beta.-amino-5,6,7,8,9,10,11.alpha.,12-octahydro-5.alpha.-methyl-5,11-methanobenzocyclodecen-3-ol|Dezocine	VHX8K5SV4X
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]3([H])C4=C(CC[C@@]23[H])C=C(OC5CCCC5)C=C4	7232629	Parke davis brand of quinestrol|Ethinyl estradiol 3 cyclopentyl ethe|3-(Cyclopentyloxy)-19-nor-17.alpha.-pregna-1,3,5(10)-trien-20-yn-17-ol|Quinestrol|19-Norpregna-1,3,5(10)-trien-20-yn-17-ol, 3-(cyclopentyloxy)-, 17.alpha.|Quinestrolum|19-Norpregna-1,3,5(10)-trien-20-yn-17-ol, 3-(cyclopentyloxy)-, (17alpha)-|Estrovis	JR0N7XD5GZ
CC[C@H]1[C@H]2C[C@H]3[C@@H]4N(C)C5=C(C=CC=C5)[C@]46C[C@@H]([C@H]2[C@H]6O)N3[C@@H]1O	7232656	Ajmaline|Ajmalan-17,21-diol, (17r,21alpha)-|Ajimalin	1PON08459R
[H][C@]12CC(=O)OC[C@@]13[C@@]([H])(CC(=O)[C@]4(C)[C@]3([H])CC[C@@]5(C)[C@@H](OC(=O)C6O[C@@]456)C7=COC=C7)C(C)(C)O2	7232694	Evodia fruit|Limonin	L0F260866S
NCC1=CC=C(C=C1)S(N)(=O)=O	7232749	MAFENIDE (MAFENIDE ACETATE)	58447S8P4L
CC1=C(O)C(CO)=C(CO)C=N1	7232772	PYRIDOXINE HYDROCHLORIDE	KV2JZ1BI6Z
CCCOC(=O)C1=CC=C(O)C=C1	7232796	PROPYLPARABEN	Z8IX2SC1OH
[H][C@]12CC([C@H]3CCCO3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C([O-])=O	7232803	2-(2'-Tetrahydrofuryl)-6-hydroxyethylpenem-3-carboxylate|Sun 5555|Faropenem sodium|6-Hydroxyethyl-7-oxo-3-(2-tetrahydrofuryl)-4-thia-1-azabicyclo(3.2.0)hep-2-ene-2-carboxylic acid|Faropenem sodium anhydride|4-Thia-1-azabicyclo(3.2.0)hept-2-ene-2-carboxylic acid, 6-(1-hydroxyethyl)-7-oxo-3-(tetrahydro-2-furanyl)-, monosodium salt, (5r-(3(r*),5alpha,6alpha(r*)))-|Wy-49605|Sun5555|Farom|Wy 49605|Sun-5555|Sy5555|Sy-5555|Alp 201|Sy 5555|Alp-201	7O46G914RQ
CC(C)(C)C1=CC2=CC=C(C(=C2C=C1)S(O)(=O)=O)C(C)(C)C	7232810	DIBUNATE SODIUM	ZXY319VL5S
[H][C@]12SC(C)(C)[C@@]([H])(N1C(=O)[C@@]2([H])NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(O)=O	7232825	AMOXICILLIN|AMOXICILLIN SODIUM|AMOXICILLIN TRIHYDRATE|CLAVULANIC ACID	9EM05410Q9
[H][C@@]1(CCC2C3[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)C3C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCC(=O)NCCS([O-])(=O)=O	7232826	BROMELAINS|FOENICULUM VULGARE|GENTIANA LUTEA|PANCREATIN|PEPSIN|SODIUM TAUROGLYCOCHOLATE	SR721549U5
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@]([H])(O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C	7232831	HYDROCORTISONE	WI4X0X7BPJ
OC(=O)C1=CC(O)=C(O)C(O)=C1	7232838	GALLIC ACID	632XD903SP
ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O	7232840	Symclosene sodium|Trichloro-s-triazinetrione|Nsc-405124|Nsc 405124|Symclosene|Symclosenum|Sincloseno|1,3,5-Trichloroisocyanuric acid	RL3HK1I66B
CCN1C=C(C(O)=O)C(=O)C2=C1N=C(N=C2)N3CCNCC3	7232876	Pyrido(2,3-d)pyrimidine-6-carboxylic acid, 8-ethyl-5,8-dihydro-5-oxo-2-(1-piperazinyl)-|8-Ethyl-5,8-dihydro-5-oxo-2-(1-piperazinyl)pyrido(2,3-d)pyrimidine-6-carboxylic acid|Acido pipemidico|Karunomazin|Acide pipemidique|Pipemidic acid trihydrate|Acidum pipemidicum|Pipemidic acid|Pipemidic acid trihydrate anhydride	LT12J5HVR8
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	7232900	AZITHROMYCIN|AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE)|AZITHROMYCIN DIHYDRATE|SODIUM HYDROXIDE	J2KLZ20U1M
CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C	7232908	SULFISOXAZOLE (SULFISOXAZOLE ACETYL)	740T4C525W
OC(=O)C1=CC=CC=N1	7232951	Nicogamol|Picolinate|Chromium picolinate|2-Pyridine carboxylic acid|Picolinic acid, hydrochloride|Picolinic acid|Zinc picolinate|Iron(iii) picolinate|Nikogamol|Picolinic acid, sodium salt	QZV2W997JQ
S1C2=C(C=CC=C2)C3=C1C=CC=C3	7232960	Dibenzothiophene	Z3D4AJ1R48
[H]O[C@H](C)[C@H](N([H])C(=O)[C@H](CCN([H])[H])N([H])C(=O)CCCCC)C(=O)N([H])[C@@H](CCN([H])[H])C(=O)N([H])[C@H]1CCN([H])C(=O)[C@@]([H])(N([H])C(=O)[C@H](CCN([H])[H])N([H])C(=O)[C@H](CCN([H])[H])N([H])C(=O)[C@H](CC(C)C)N([H])C(=O)[C@H](CC2=CC=CC=C2)N([H])C(=O)[C@H](CCN([H])[H])N([H])C1=O)[C@@H](C)O[H]	7232983	Sulfomyxine|Sulfomyxin|Sulfomyxinum|Polymyxin b1-methane sulfonic acid sodium salt	094M0E38I6
