UNII	Approval_Year	Date	Date_Method	App_Type	App_No	Sponsor	Product	Url	active	Comment
36KCS0R750	1984	07/13/1984	Drugs@FDA	NDA	019011	BRAINTREE	GOLYTELY	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019011	true	019011/002
H8A007M585	2008	11/20/2008	Drugs@FDA	NDA	022304	DEPO NF	NUCYNTA	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022304	true	022304/003
5W494URQ81	1982	05/07/1982	Drugs@FDA	NDA	050577	TEVA PHARMS USA	ZANOSAR	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050577	true	050577/001
K2J09EMJ52	1987	09/10/1987	OrangeBook	NDA	013294	ROCHE	AZO GANTANOL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013294	true	013294/001
HDC1R2M35U	2014	08/01/2014	Drugs@FDA	NDA	204629	BOEHRINGER INGELHEIM	JARDIANCE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204629	true	204629/002
37CQ2C7X93	2009	06/17/2009	Drugs@FDA	BLA	125319	NOVARTIS PHARMS	ILARIS	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125319	true	125319/001
VVJ6673MHY	1958	07/22/1958	Drugs@FDA	NDA	011366	STRONGBRIDGE US	KEVEYIS	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011366	true	011366/002
7SQY4ZUD30	2015	03/10/2015	Drugs@FDA	BLA	125516	UNITED THERAP	UNITUXIN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125516	true	125516/001
DL48G20X8X	1979	12/31/1979	Drugs@FDA	NDA	017874	GLAXOSMITHKLINE CON	TRANSDERM SCOP	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017874	true	017874/001
88755TAZ87	1999	12/03/1999	Drugs@FDA	NDA	020965	DUSA	LEVULAN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020965	true	020965/001
7ZKH8MQW6T	1965	12/31/1965	DeHaen 1940-1975 NMEs			Rorer	Quaalude		false	Quaalude (1965) Rorer
OGG85SX4E4	1959	04/16/1959	Drugs@FDA	NDA	011836	SANOFI AVENTIS US	PRESAMINE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011836	true	011836/007
1573L6WJ8U	1962	03/20/1962	DeHaen 1940-1975 NMEs			Parke-Davis	Pitocin		false	Pitocin (1964) Parke-Davis
W25LM17A4W	1960	12/31/1960	DeHaen 1940-1975 NMEs			White (Schering)	Sorboquel		false	Sorboquel (1960) White (Schering)
4NDU154T12	1967	09/27/1967	Drugs@FDA	NDA	016012	TEVA WOMENS	VIVACTIL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016012	true	016012/002
4Z63YK6E0E	2015	11/16/2015	Drugs@FDA	BLA	761036	JANSSEN BIOTECH	DARZALEX	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761036	true	761036/002
13AFD7670Q	1954	03/08/1954	Drugs@FDA	NDA	009170	VALEANT	MYSOLINE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009170	true	009170/003
6QVL057INT	2018	09/28/2018	Drugs@FDA	BLA	761097	REGENERON PHARMACEUTICALS	LIBTAYO	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761097	true	761097/001
M94R1PM439	2006	07/21/2006	Drugs@FDA	NDA	021502	LOREAL USA	ANTHELIOS SX	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021502	true	021502/001
033KF7V46H	2004	05/17/2004	Drugs@FDA	NDA	021682	MISSION PHARMA	TINDAMAX	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021682	true	021682/002
35LT29625A	1981	12/24/1981	Drugs@FDA	NDA	018045	PHARMACIA AND UPJOHN	EMCYT	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018045	true	018045/001
87PZU03K0K	2013	11/27/2013	Drugs@FDA	NDA	205109	VIFOR FRESENIUS	VELPHORO	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205109	true	205109/001
7DZO8EB0Z3	1981	10/05/1981	Drugs@FDA	NDA	018201	MERCK	MODURETIC 5-50	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018201	true	018201/001
4B9XT59T7S	1987	03/19/1987	Drugs@FDA	NDA	019655	VIIV HLTHCARE	RETROVIR	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019655	true	019655/001
5X4V82ZN30	1959	12/31/1959	DeHaen 1940-1975 NMEs			Eaton	Altafur		false	Altafur (1959) Eaton
L2T84IQI2K	1964	03/06/1964	Drugs@FDA	NDA	018024	PAR PHARM INC	NUBAIN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018024	true	018024/002
Y87Y826H08	[Approval Date Uncertain] 1941	04/01/1941	PREDICTED	NDA	003402	PARKE DAVIS	PITRESSIN TANNATE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=003402	true	003402/001
WGD229O42W	2000	06/02/2000	Drugs@FDA	BLA	103909	GENENTECH	TNKASE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103909	true	103909/001
7XZ4062R17	2017	11/15/2017	Drugs@FDA	BLA	761047	ULTRAGENYX PHARM INC	MEPSEVII	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761047	true	761047/001
1I6F42RME1	1950	12/31/1950	DeHaen 1940-1975 NMEs			Abbott	Sucaryl Sodium		false	Sucaryl Sodium (1950) Abbott
AE28F7PNPL	1945	12/31/1945	DeHaen 1940-1975 NMEs			Various Mfrs.	Methionine		false	Methionine (1945) Various Mfrs.
2J3YBM1K8C	2015	07/10/2015	Drugs@FDA	NDA	205422	OTSUKA PHARM CO LTD	REXULTI	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205422	true	205422/006
NWQ5N31VKK	2003	09/12/2003	Drugs@FDA	NDA	021572	CUBIST PHARMS LLC	CUBICIN RF	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021572	true	021572/003
Y3N00BK5WK	1956	10/15/1956	Drugs@FDA	NDA	010554	PFIZER	MAGNACORT	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010554	true	010554/001
YO7261ME24	1995	12/08/1995	Drugs@FDA	NDA	019835	J AND J CONSUMER INC	ZYRTEC HIVES RELIEF	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019835	true	019835/006
9013DUQ28K	2001	11/14/2001	Drugs@FDA	BLA	103950	BIOVITRUM AB	KINERET	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103950	true	103950/003
9P6159HM7T	1990	12/17/1990	Drugs@FDA	NDA	019968	SUN PHARM INDS INC	ULTRAVATE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019968	true	019968/001
A99MK953KZ	1962	12/31/1962	DeHaen 1940-1975 NMEs			Philadelphia Labs (Delta)	Hexanicotol		false	Hexanicotol (1962) Philadelphia Labs (Delta)
A8Q8I19Q20	2009	09/24/2009	Drugs@FDA	NDA	022468	ACROTECH	FOLOTYN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022468	true	022468/002
SX6K58TVWC	1984	05/01/1984	Drugs@FDA	NDA	017532	SANOFI AVENTIS US	DIABETA	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017532	true	017532/003
S312EY6ZT8	1991	05/16/1991	Drugs@FDA	NDA	019915	BRISTOL MYERS SQUIBB	MONOPRIL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019915	true	019915/004
57WA9QZ5WH	1988	12/28/1988	Drugs@FDA	NDA	018869	BAYER PHARMS	NIMOTOP	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018869	true	018869/001
SPI5PBF81S	2015	07/07/2015	Drugs@FDA	NDA	207620	NOVARTIS PHARMS CORP	ENTRESTO	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207620	true	207620/003
0R4NLX88O4	2012	05/01/2012	Drugs@FDA	NDA	022458	PFIZER	ELELYSO	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022458	true	022458/001
O65Q227UIC	1973	11/17/1973	Drugs@FDA	NDA	016847	GE HEALTHCARE	ISOPAQUE 440	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016847	true	016847/001
VDR09VTQ8U	1953	04/09/1953	Drugs@FDA	NDA	008848	FOUGERA PHARMS	PAMINE FORTE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008848	true	008848/002
AVX3D5A4LM	1998	11/30/1998	Drugs@FDA	NDA	020898	GENZYME	THYROGEN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020898	true	020898/001
R0TAY3X631	2001	11/20/2001	Drugs@FDA	NDA	021180	JANSSEN PHARMS	ORTHO EVRA	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021180	true	021180/001
320YC168LF	1981	09/24/1981	Drugs@FDA	NDA	017736	SCHERING	PAXIPAM	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017736	true	017736/004
78E4J5IB5J	1970	07/08/1970	Drugs@FDA	NDA	016885	LABORATOIRE HRA	LYSODREN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016885	true	016885/001
DI9132OQ3R	1978	02/21/1978	OB NME Appendix 1950-1985	NDA	017861	Armour	Acthar Gel synthetic		false	017861 Acthar Gel synthetic (1978) Armour
IU5QR144QX	1942	05/08/1942	Drugs@FDA	NDA	004782	WYETH PHARMS	PREMARIN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=004782	true	004782/006
NQO8R319LY	1967	04/05/1967	Drugs@FDA	NDA	016033	GLAXOSMITHKLINE	VONTROL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016033	true	016033/001
4877X14G4C	1977	12/16/1977	Drugs@FDA	NDA	017806	LANTHEUS MEDCL	THALLOUS CHLORIDE TL 201	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017806	true	017806/002
UQT9G45D1P	1958	03/12/1958	Drugs@FDA	NDA	011338	WYETH AYERST	FLUOTHANE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011338	true	011338/001
2KH13Z0S0Y	1997	12/22/1997	Drugs@FDA	NDA	020738	ABBVIE	TEVETEN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020738	true	020738/006
09G4I6V86Q	1979	11/09/1979	Drugs@FDA	NDA	018307	MEDA PHARMS	THYRO-BLOCK	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018307	true	018307/001
N6UAH27EUV	2018	05/24/2018	Drugs@FDA	BLA	761079	BIOMARIN PHARM	PALYNZIQ	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761079	true	761079/003
59NEE7PCAB	1951	01/11/1951	OB NME Appendix 1950-1993	NDA	006309	REED AND CARNRICK	KWELL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006309	true	006309/001
J712EO9048	[Approval Date Uncertain] 1971	05/07/1971	PREDICTED	NDA	016809	SANOFI AVENTIS US	TRICLOS	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016809	true	016809/002
745X144DZY	1997	03/28/1997	Drugs@FDA	NDA	020570	LANTHEUS MEDICAL	QUADRAMET	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020570	true	020570/001
5SEH9X1D1D	1960	11/02/1960	Drugs@FDA	NDA	012380	PARKE DAVIS	ZARONTIN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012380	true	012380/001
9M18MC2SIE	1951	12/31/1951	DeHaen 1940-1975 NMEs			Lilly	Paveril Phosphate		false	Paveril Phosphate (1951) Lilly
I9ZF7L6G2L	1981	12/31/1981	Drugs@FDA	NDA	018482	PFIZER	PROCARDIA	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018482	true	018482/002
6CW7F3G59X	1993	12/30/1993	Drugs@FDA	NDA	020235	PFIZER PHARMS	NEURONTIN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020235	true	020235/003
KZW0R0686Q	1954	03/31/1954	Drugs@FDA	NDA	009190	GUERBET	LIPIODOL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009190	true	009190/001
N9YNS0M02X	1966	10/10/1966	OB NME Appendix 1950-1993	NDA	016211	NOVARTIS	MIOCHOL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016211	true	016211/001
33L9ZA65K4	1973	06/14/1973	OB NME Appendix 1950-1993	NDA	016880	U.S. Vitamin (USV)	Voranil		false	016880 Voranil (1973) U.S. Vitamin (USV)
81G6I5V05I	1974	06/28/1974	Drugs@FDA	NDA	017481	JANSSEN PHARMS	VERMOX	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017481	true	017481/001
X8XI70B5Z6	1945	10/04/1945	Drugs@FDA	NDA	005795	SHIRE	FURACIN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005795	true	005795/001
939U7C91AI	2019	03/20/2019	Drugs@FDA	NDA	211230	JAZZ PHARMA IRELAND LTD	SUNOSI	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211230	true	211230/002
2GFP9BJD79	2012	01/17/2012	Drugs@FDA	BLA	125327	BTG INTERNATIONAL INC	VORAXAZE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125327	true	125327/001
69O5WQQ5TI	1977	08/26/1977	Drugs@FDA	NDA	017821	JANSSEN RES AND DEV	FLEXERIL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017821	true	017821/002
9679TC07X4	1956	03/13/1956	Drugs@FDA	NDA	019240	BECTON DICKINSON	E-Z SCRUB 201	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019240	true	019240/001
ZS9CD1I8YE	1996	08/15/1996	Drugs@FDA	NDA	050719	CASPER PHARMA LLC	HELIDAC	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050719	true	050719/001
3PA0CDS0M5	1959	12/31/1959	DeHaen 1940-1975 NMEs			Squibb	Ademol		false	Ademol (1959) Squibb
CBK7Y28SP3	1958	12/31/1958	DeHaen 1940-1975 NMEs			Armour	Sinaxar		false	Sinaxar (1958) Armour
59UA429E5G	2005	05/31/2005	Drugs@FDA	BLA	125117	BIOMARIN	NAGLAZYME	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125117	true	125117/001
0N2U15U85W	1954	12/31/1954	DeHaen 1940-1975 NMEs			Hoffmann-La Roche	Ilidar		false	Ilidar (1954) Hoffmann-La Roche
19QM69HH21	1955	04/06/1955	Drugs@FDA	NDA	009829	BAUSCH	MESTINON	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009829	true	009829/002
E6582LOH6V	1996	07/25/1996	Drugs@FDA	NDA	020625	SANOFI AVENTIS US	ALLEGRA	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020625	true	020625/001
CK833KGX7E	1931	12/31/1931	Drugs@FDA	NDA	011522	TEVA WOMENS	ADDERALL 15	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011522	true	011522/013
07OS4SZ89Z	1959	12/31/1959	DeHaen 1940-1975 NMEs			Reed & Carnrick	Sycotrol		false	Sycotrol (1959) Reed & Carnrick
G9WJT6RD29	2018	04/17/2018	Drugs@FDA	BLA	761068	ULTRAGENYX PHARM INC	CRYSVITA	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761068	true	761068/001
8620H6K4QH	1961	04/05/1961	Drugs@FDA	NDA	012254	SCHERING	TINDAL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012254	true	012254/002
Q58C92TUN0	1960	03/09/1960	Drugs@FDA	NDA	012265	SCHERING	NAQUIVAL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012265	true	012265/003
721M9407IY	1947	07/28/1947	Drugs@FDA	NDA	006188	DAVA PHARMS INC	PROPYLTHIOURACIL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006188	true	006188/001
RZR75EQ2KJ	1978	07/18/1978	OB NME Appendix 1950-1985	NDA	017954	HOSPIRA	BRETYLOL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017954	true	017954/001
N27ADP50ER	1957	05/02/1957	Drugs@FDA	NDA	010927	BRACCO	PHOSPHOTOPE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010927	true	010927/001
423D2T571U	1943	06/25/1943	Drugs@FDA	NDA	005292	SCHERING	ESTINYL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005292	true	005292/003
GE2T1418SV	2013	12/18/2013	Drugs@FDA	NDA	203975	GLAXOSMITHKLINE	ANORO ELLIPTA	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203975	true	203975/001
K6BUU8J72P	2017	08/03/2017	Drugs@FDA	NDA	209394	ABBVIE INC	MAVYRET	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209394	true	209394/001
C3VX249T6L	2018	12/21/2018	Drugs@FDA	BLA	761108	ALEXION PHARM	ULTOMIRIS	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761108	true	761108/001
L4YEB44I46	1979	02/07/1979	Drugs@FDA	NDA	017862	WEST-WARD PHARMS INT	REGLAN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017862	true	017862/004
19W019ZDRJ	1982	12/30/1982	Drugs@FDA	NDA	018748	MEDIMETRIKS PHARMS	LOPROX	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018748	true	018748/001
686T63H73D	1951	12/31/1951	DeHaen 1940-1975 NMEs			Commercial Solvents	Tolanate		false	Tolanate (1951) Commercial Solvents
F7IY6HZG9D	1953	02/24/1953	OB NME Appendix 1950-1993	NDA	008461	Lederle	Triethylene-melamine		false	008461 Triethylene-melamine (1953) Lederle
1UA8E65KDZ	1999	02/02/1999	Drugs@FDA	NDA	020886	EISAI INC	PANRETIN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020886	true	020886/001
AIU7053OWL	1971	08/06/1971	Drugs@FDA	NDA	016942	WESTWOOD SQUIBB	HALOTEX	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016942	true	016942/001
3Z9Y7UWC1J	2012	12/28/2012	Drugs@FDA	NDA	202155	BRISTOL MYERS SQUIBB	ELIQUIS	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202155	true	202155/002
D0GX863OA5	1987	12/31/1987	Drugs@FDA	NDA	050591	GLAXOSMITHKLINE	BACTROBAN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050591	true	050591/001
7SA290YK68	1953	05/11/1953	OB NME Appendix 1950-1985	NDA	009024	American McGaw	Dextran 70 6% in 0.9% Sodium Chloride		false	009024 Dextran 70 6% in 0.9% Sodium Chloride (1953) American McGaw
4L6452S749	1949	12/31/1949	DeHaen 1940-1975 NMEs			Commercial Solvents	Inositol		false	Inositol (1949) Commercial Solvents
888Y08971B	[Approval Date Uncertain] 1981	05/19/1981	PREDICTED	NDA	018296	PHARMACIA AND UPJOHN	TYMTRAN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018296	true	018296/001
0619F35CGV	1932	12/31/1932	Drugs@FDA	NDA	021623	GALEN SPECIALTY	SYNERA	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021623	true	021623/001
8W5C518302	1955	08/11/1955	Drugs@FDA	ANDA	086842	JACOBUS	DAPSONE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=086842	true	086842/001
NGU5H31YO9	2018	06/13/2018	Drugs@FDA	NDA	210867	MDGH	MOXIDECTIN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210867	true	210867/001
VIQ3X36S8C	1956	12/31/1956	DeHaen 1940-1975 NMEs			Parke-Davis	Camoform		false	Camoform (1956) Parke-Davis
O7K7R0O4BG	1912	12/31/1912	https://archive.org/details/newnonofficialre39coun				Neosalvarsan		false	Neosalvarsan (1912) 
ZY7MZX91C8	1953	12/31/1953	DeHaen 1940-1975 NMEs			Lilly	Provell Maleate		false	Provell Maleate (1953) Lilly
7IO5LYA57N	1996	09/24/1996	Drugs@FDA	NDA	020533	FRESENIUS KABI USA	NAROPIN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020533	true	020533/013
MO99IGH0LS	1961	12/31/1961	DeHaen 1940-1975 NMEs			Barnes-Hind	Eppy		false	Eppy (1961) Barnes-Hind
GN5P7K3T8S	1952	05/15/1952	OB NME Appendix 1950-1993	NDA	008319	NOVARTIS	BUTAZOLIDIN	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008319	true	008319/008
4MQ5UQAIB8	2009	11/05/2009	Drugs@FDA	NDA	022393	CELGENE	ISTODAX	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022393	true	022393/001
O2GMZ0LF5W	1990	12/14/1990	Drugs@FDA	NDA	019957	FOUGERA PHARMS	CUTIVATE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019957	true	019957/001
24MJ822NZ9	1988	12/30/1988	Drugs@FDA	NDA	019385	VALEANT PHARM INTL	PERMAX	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019385	true	019385/003
5B3OM8452C	1959	12/31/1959	DeHaen 1940-1975 NMEs			Lakeside (MerrellNational)	Catron		false	Catron (1959) Lakeside (MerrellNational)
0Z5B2CJX4D	1994	08/19/1994	Drugs@FDA	NDA	020306	DOWNSTATE CLINCL	FLUDEOXYGLUCOSE F18	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020306	true	020306/002
FZG87K1MQ6	1952	12/31/1952	DeHaen 1940-1975 NMEs			Brayten	Pamabrom		false	Pamabrom (1952) Brayten
JED5K35YGL	2004	12/29/2004	Drugs@FDA	NDA	021779	ACTELION PHARMS LTD	VENTAVIS	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021779	true	021779/003
320T6RNW1F	2000	09/28/2000	Drugs@FDA	NDA	020687	DANCO LABS LLC	MIFEPREX	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020687	true	020687/001
