UNII	Ingredient	AppNo	Rx	Status	AppType	Sponsor	Trade Name	Reference	Routes	Ingredients
7U370BPS14	DICHLORVOS	031-512	OTC	Approved	N	Cronus Pharma Specialities India Private Limited	Atgard® Swine Wormer 27 g	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/031-512	Oral	Dichlorvos
1RTM4PAL0V	PIPERAZINE	010-335	OTC	Voluntarily Withdrawn	N	Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.	Wormal Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-335		Phenothiazine|Dibutyltin Dilaurate|Piperazine
5P4625C51T	TYLOSIN TARTRATE	013-076	RX	Approved	N	Elanco US Inc.	Tylan Soluble™	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/013-076	Oral	Tylosin Tartrate
MG6AU4C2HB	HLAL RDNA CONSTRUCT IN SBC LAL-C CHICKENS	141-453		Approved	N	Alexion Pharmaceuticals, Inc.	hLAL rDNA construct in SBC LAL-C chickens	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-453		hLAL rDNA construct in SBC LAL-C chickens
K50XQU1029	NITROUS OXIDE, USP	141-350		Approved	N	Air Liquide America Specialty Gases	None	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-350		Nitrous Oxide, USP
CT6BBQ5A68	DINOPROST TROMETHAMINE	100-202	RX	Approved	N	Zoetis Inc.	Prostin F2 Alpha® Sterile Solution	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/100-202	Intramuscular	Dinoprost Tromethamine
NGC3S0882S	XYLAZINE HYDROCHLORIDE	047-955	RX	Approved	N	Bayer HealthCare LLC, Animal Health Division	Rompun® Injectable (20 mg)	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/047-955	Intravenous|Intramuscular|Subcutaneous	Xylazine Hydrochloride
125OD7737X	METHOCARBAMOL	038-838	RX	Approved	N	Kinetic Technologies, LLC	Robaxin®-V Injectable	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/038-838	Intravenous	Methocarbamol
1V7A1U282K	PREDNISOLONE TERTIARY BUTYLACETATE	011-080	RX	Approved	N	Merial, Inc.	Hydeltrone-TBA Suspension	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-080	Intrasynovial|Intramuscular	Prednisolone Tertiary Butylacetate
M1NJX34RVJ	EPINEPHRINE ACETATE	045-578	RX	Voluntarily Withdrawn	N	Watson Laboratories, Inc.	Lidocaine Hydrochloride with Epinephrine Injection 2%	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/045-578		Lidocaine Hydrochloride|Epinephrine Acetate
0CD5FD6S2M	FLUOCINOLONE ACETONIDE	015-151	RX	Approved	N	Medicis Dermatologics, Inc	Neo-synalar Cream	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-151	Topical	Neomycin Sulfate|Fluocinolone Acetonide
DBF2DG4G2K	TRICHLORFON	012-956	RX	Approved	N	Zoetis Inc.	Dyrex Bolus	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-956	Oral	Trichlorfon
9CVA716Q71	MELARSOMINE DIHYDROCHLORIDE	141-042	RX	Approved	N	Merial, Inc.	Immiticide Sterile Powder	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-042	Intramuscular	Melarsomine Dihydrochloride
PG20W5VQZS	PROCHLORPERAZINE EDISYLATE	015-147	RX	Approved	N	Zoetis Inc.	Darbazine Injectable	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-147	Subcutaneous	Prochlorperazine Edisylate|Isopropamide Iodide
M1E0I5GQNH	OXYTETRACYCLINE (MONOALKYL TRIMETHYL AMMONIUM SALT)	140-579	VFD	Approved	N	Zoetis Inc.	BOVATEC® and TM®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/140-579	Oral	Oxytetracycline (Monoalkyl Trimethyl Ammonium Salt)|Lasalocid
8UYL6NAZ3Q	APRAMYCIN SULFATE	106-964	RX	Approved	N	Elanco US Inc.	Apralan™	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/106-964	Oral	Apramycin Sulfate
F446C597KA	TRIAMCINOLONE ACETONIDE	012-198	RX	Approved	N	Boehringer Ingelheim Vetmedica, Inc.	Vetalog® Parenteral	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-198	Intramuscular|Intralesional|Intra-Articular|Subcutaneous|Intrasynovial	Triamcinolone Acetonide
9O25354EPJ	ENALAPRIL MALEATE	141-015	RX	Approved	N	Merial, Inc.	Enacard® Tablets For Dogs	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-015	Oral	Enalapril Maleate
F8VB5M810T	TETRACYCLINE	065-124	OTC	Approved	N	Zoetis Inc.	Tetracycline	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/065-124	Intramuscular	Tetracycline
NZ662XY5PP	TETRACYCLINE PHOSPHATE	065-099	OTC	Approved	N	Zoetis Inc.	Albaplex® Capsules	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/065-099	Oral	Novobiocin Sodium|Tetracycline Phosphate
9SW4PFD2FZ	SODIUM TRIPOLYPHOSPHATE	014-369	RX	Voluntarily Withdrawn	N	Albion Laboratories, Inc.	Curecal-Feline	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/014-369		Sodium Edetate|Sodium Tripolyphosphate
VL775ZTH4C	PENICILLIN G POTASSIUM	055-060	RX	Approved	N	Zoetis Inc.	Penicillin G Potassium, USP	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/055-060	Oral	Penicillin G Potassium
S75C401OS1	FEBANTEL	107-345	OTC	Approved	N	Bayer HealthCare LLC, Animal Health Division	Cutter Paste	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/107-345	Oral	Febantel
ZE856183S0	GAMITHROMYCIN	141-328	RX	Approved	N	Merial, Inc.	Zactran®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-328	Subcutaneous	Gamithromycin
V13007Z41A	LIDOCAINE HYDROCHLORIDE	045-578	RX	Voluntarily Withdrawn	N	Watson Laboratories, Inc.	Lidocaine Hydrochloride with Epinephrine Injection 2%	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/045-578		Lidocaine Hydrochloride|Epinephrine Acetate
S88TT14065	OXYGEN, USP	141-354		Approved	N	Air Liquide Industrial U.S. L.P.	None	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-354		Oxygen, USP
4182431BJH	PHENYTOIN SODIUM	119-807	RX	Approved	N	Intervet, Inc.	Beuthanasia-D Special	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/119-807	Intravenous|Intracardiac	Pentobarbital Sodium|Phenytoin Sodium
39M9R3Q494	BUTONATE	041-587	RX	Voluntarily Withdrawn	N	Wellmark International	Vet Kem T-113	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/041-587		Butonate
6490C9U457	PRAZIQUANTEL	111-607	RX	Approved	N	Bayer HealthCare LLC, Animal Health Division	Droncit® 5.68% Injectible Solution	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/111-607	Subcutaneous|Intramuscular	Praziquantel
3XMK78S47O	TESTOSTERONE	135-906	OTC	Approved	N	Elanco US Inc.	Component™ E-H with Tylan™	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/135-906	Subcutaneous	Estradiol|Tylosin|Testosterone
5U912U22T2	MADURAMICIN AMMONIUM	139-075	OTC	Approved	N	Zoetis Inc.	Cygro®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/139-075	Oral	Maduramicin Ammonium
FB33469R8E	ESTRIOL	141-325	RX	Approved	N	Intervet, Inc.	Incurin™	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-325	Oral	estriol
SOA12P041N	NITAZOXANIDE	141-178	RX	Voluntarily Withdrawn	N	IDEXX Pharmaceuticals, Inc.	Navigator®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-178	Oral	Nitazoxanide
4NR672T8NL	OXYTOCIN ACETATE	049-552	RX	Withdrawn	N	Copanos, John D. & Co.	Oxytocin Injectable	http://www.farad.org/vetgram/ProductInfo.asp?byNada=049-552	Intramuscular|Intravenous|Subcutaneous	oxytocin acetate
EX8IEP25JU	ZILPATEROL HYDROCHLORIDE	141-258	OTC	Approved	N	Intervet, Inc.	Zilmax®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-258	Oral	Zilpaterol Hydrochloride
740T4C525W	SULFISOXAZOLE	007-981	OTC	Approved	N	Zoetis Inc.	Soxisol Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/007-981	Oral	Sulfisoxazole
6V475AX06U	COPPER DISODIUM EDETATE	140-904	OTC	Voluntarily Withdrawn	N	Veterinary Research & Development, Inc.	Bovi-Cu	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/140-904		Copper Disodium Edetate
3YJY415DDI	HYGROMYCIN	128-618	OTC	Withdrawn	N	Micro Blenders, Inc.	MB Hygromix 0.6 Premix	http://www.farad.org/vetgram/ProductInfo.asp?byNada=128-618	Oral	hygromycin
E64XL9U38K	CHLORHEXIDINE HYDROCHLORIDE	009-809	OTC	Approved	N	Zoetis Inc.	Nolvasan® Cap-Tabs®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-809	Intrauterine	Chlorhexidine Hydrochloride
OKG364O896	ESTRADIOL VALERATE	134-930	OTC	Approved	N	Merial, Inc.	Syncro-Mate-B®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/134-930	Subcutaneous|Intramuscular	Estradiol Valerate|Norgestomet
Q839I13422	TULATHROMYCIN	141-244	RX	Approved	N	Zoetis Inc.	Draxxin®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-244	Intramuscular|Subcutaneous	Tulathromycin
429ZT169UH	ACETAZOLAMIDE SODIUM	011-582	RX	Approved	N	Zoetis Inc.	Vetamox Soluble Powder	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-582	Intraperitoneal|Intramuscular|Oral	Acetazolamide Sodium
E0KNA372SZ	ISOPROPAMIDE IODIDE	013-201	RX	Approved	N	Zoetis Inc.	Darbazine Spansule  Capsule No.1	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/013-201	Oral	Prochlorperazine Maleate|Isopropamide Iodide
5WF7E9QC3F	MORANTEL TARTRATE	092-444	OTC	Approved	N	Phibro Animal Health Corp.	Rumatel® 88	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/092-444	Oral	Morantel Tartrate
Q728680892	CUPRIMYXIN	093-029	RX	Voluntarily Withdrawn	N	Roche Vitamins, Inc.	Unitop Topical 0.5% Cream	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/093-029	Topical	Cuprimyxin
I9W7N6B1KJ	FLUOXETINE HYDROCHLORIDE	141-272	RX	Approved	N	Pegasus Laboratories, Inc.	Reconcile®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-272	Oral	Fluoxetine hydrochloride
95K4LKB6QE	DETOMIDINE HYDROCHLORIDE	140-862	RX	Approved	N	Orion Corp.	Dormosedan™	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/140-862	Intravenous|Intramuscular	Detomidine Hydrochloride
I4744080IR	PENTOBARBITAL	046-789	RX	Approved	N	Zoetis Inc.	Chloropent	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/046-789	Intravenous	Magnesium Sulfate|Chloral Hydrate|Pentobarbital
UF599785JZ	FENTANYL	141-337	RX	Approved	N	Elanco US Inc.	Recuvyra®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-337	Topical	Fentanyl
WNW8115TM9	SULFAQUINOXALINE	006-391	VFD	Approved	N	Huvepharma EOOD	S.Q. 40%	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-391	Oral	Sulfaquinoxaline
CI71S98N1Z	POTASSIUM PHOSPHATE	125-961	OTC	Approved	N	Zoetis Inc.	Re-Sorb	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/125-961	Oral	Dextrose|Potassium Phosphate|Glycine|Citric Acid|Potassium Citrate|Sodium Chloride
3OOH7Q4333	CYTHIOATE	033-342	RX	Approved	N	Zoetis Inc.	Proban® Cythioate Tablets 30 mg	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/033-342	Oral	Cythioate
XBP604F6UM	SECOBARBITAL SODIUM	128-967	RX	Approved	N	Zoetis Inc.	Repose Euthanasia Solution	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/128-967	Intraperitoneal|Intravenous	Dibucaine Hydrochloride|Secobarbital Sodium
8J763HFF5N	CLOPIDOL	034-393	OTC	Approved	N	Huvepharma EOOD	Coyden 25®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/034-393	Oral	Clopidol
YF6LF27282	TRIFLUOMEPRAZINE MALEATE	012-746	RX	Voluntarily Withdrawn	N	Norden Laboratories, Inc.	Nortran Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-746		Trifluomeprazine Maleate
N1LMA4960O	SODIUM SULFACHLORPYRIDAZINE	033-373	RX	Approved	N	Huvepharma EOOD	Vetisulid®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/033-373	Oral	Sodium sulfachlorpyridazine
25W8454H16	SULFAMETHIZOLE	030-416	RX	Approved	N	Zoetis Inc.	Mesulfin Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/030-416	Oral	Methenamine Mandelate|Sulfamethizole
8OEC3RA07X	DITHIAZANINE IODIDE	011-531	RX	Approved	N	Cronus Pharma Specialities India Private Limited	Dizan Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-531	Oral	Dithiazanine Iodide
LWK91TU9AH	PIPERONYL BUTOXIDE	032-984	OTC	Voluntarily Withdrawn	N	Evsco Pharmaceuticals, An Affiliate of IGI, Inc.	Cerumite	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/032-984		Pyrethrins|Piperonyl Butoxide|Squalene
4VFX2L7EM5	MEPIVACAINE HYDROCHLORIDE	100-703	RX	Approved	N	Zoetis Inc.	Carbocaine®-V Sterile Aqueous Solution	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/100-703	Epidural|Laryngeal|Infiltration|Intra-Articular	Mepivacaine Hydrochloride
91ZE013933	NEQUINATE	046-700	OTC	Voluntarily Withdrawn	N	Virbac AH, Inc.	Statyl	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/046-700	Oral	Nequinate
720WDX56D3	AVILAMYCIN	141-438	VFD	Approved	N	Elanco US Inc.	Kavault™	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-438	Oral	Avilamycin
TZ4OX61974	TEPOXALIN	141-193	RX	Approved	N	Intervet, Inc.	Zubrin™ Rapidly-Disintegrating Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-193	Oral	Tepoxalin
UQT9G45D1P	HALOTHANE	014-170	RX	Approved	N	Zoetis Inc.	Fluothane	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/014-170	Inhalation	Halothane
43502P7F0P	METHYLPREDNISOLONE ACETATE	012-204	RX	Approved	N	Zoetis Inc.	Depo-Medrol® (20 mg) Sterile Aqueous Suspension	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-204	Intrasynovial|Intramuscular	Methylprednisolone Acetate
G7RIW8S0XP	TERBINAFINE	141-437	RX	Approved	N	Elanco US Inc.	Osurnia™	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-437	Otic	Florfenicol|Betamethasone Acetate|Terbinafine
G02KA603BW	HEMOGLOBIN GLUTAMER-200 (BOVINE)	141-067	RX	Approved	N	OPK Biotech, LLC	Oxyglobin®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-067	Intravenous	Hemoglobin Glutamer-200 (bovine)
16665T4A2X	DESOXYCORTICOSTERONE PIVALATE	141-029	RX	Approved	N	Elanco US Inc.	Percorten™-V	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-029	Intramuscular	Desoxycorticosterone Pivalate
3L33UD42X4	NORGESTOMET	134-930	OTC	Approved	N	Merial, Inc.	Syncro-Mate-B®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/134-930	Subcutaneous|Intramuscular	Estradiol Valerate|Norgestomet
8X09WU898T	MARBOFLOXACIN	141-151	RX	Approved	N	Zoetis Inc.	Zeniquin®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-151	Oral	Marbofloxacin
5908ZUF22Y	CHLORHEXIDINE ACETATE	009-782	OTC	Approved	N	Zoetis Inc.	Nolvasan® Antiseptic Ointment	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-782	Topical	Chlorhexidine Acetate
8PK70TXE1T	CARBARSONE	010-285	OTC	Voluntarily Withdrawn	N	Zoetis Inc.	Carb-O-Sep® Type A Medicated Article	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-285	Oral	Carbarsone
55P9TUL75S	ISOFLUPREDONE ACETATE	011-789	RX	Approved	N	Zoetis Inc.	Predef® 2x Sterile Aqueous Suspension	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-789	Intramuscular|Intrasynovial	Isoflupredone Acetate
3X9MR4N98U	DIATRIZOATE MEGLUMINE	091-192	RX	Approved	N	Zoetis Inc.	Renografin®-76	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/091-192	Intra-Arterial|Intravenous|Intraperitoneal|Intrathecal|Intra-Articular|Intravesical|Intralesional|Intracardiac	Diatrizoate Sodium|Diatrizoate Meglumine
309G9J93TP	RACTOPAMINE HYDROCHLORIDE	140-863	OTC	Approved	N	Elanco US Inc.	Paylean® 45	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/140-863	Oral	Ractopamine Hydrochloride
WSH8393RM5	FLURALANER	141-426	RX	Approved	N	Intervet, Inc.	Bravecto™	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-426	Oral	Fluralaner
B0E341RA20	AKLOMIDE	014-250	OTC	Voluntarily Withdrawn	N	Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.	Novastat Type A Medicated Premix	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/014-250	Oral	Sulfanitran|Aklomide
RIT82F58GK	PENICILLIN G BENZATHINE	055-008	RX	Voluntarily Withdrawn	N	Wyeth Laboratories	Bicillin Fortified	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/055-008	Subcutaneous|Intramuscular	Penicillin G Procaine|Penicillin G Benzathine
621BVT9M36	FENBENDAZOLE	104-494	OTC	Approved	N	Intervet, Inc.	Panacur® Suspension 10%	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/104-494	Oral	Fenbendazole
O8232NY3SJ	PREGELATINIZED STARCH	111-068	OTC	Voluntarily Withdrawn	N	Shulcon Industries, Inc.	Scourx Calf Antidiarrheal	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/111-068		Pregelatinized Starch
MR15E85MQM	MEDETOMIDINE	140-999	RX	Approved	N	Orion Corp.	Domitor®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/140-999	Intravenous|Intramuscular	Medetomidine
3952621T3O	CARBOMYCIN	032-946	RX	Approved	N	Zoetis Inc.	MAGNA-TERRAMYCIN® Soluble Powder	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/032-946	Oral	Oxytetracycline Hydrochloride|Carbomycin
DIK0395679	BALSAM PERU OIL	031-555	OTC	Approved	N	Farnam Companies, Inc.	Trypzyme® Aerosol	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/031-555	Topical	Castor Oil|Balsam Peru Oil|Trypsin
