UNII	MarketingStatus	ProductCategory	MarketDate	InitialYearApproval	ActiveCode	ApprovalAppId	Equiv NDC	NDC	Route	ActiveMoietyName	GenericProductName	URL	Comment
N9D69B2Q7Y	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6108	PERCUTANEOUS	"STRING BEAN"	"STRING BEAN GREEN BEAN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
4PIB2155QP	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6109	PERCUTANEOUS	"BEEF"	"BEEF"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
XKR79OET1K	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6110	PERCUTANEOUS	"BRAZIL NUT"	"BRAZIL NUT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
UOI4FT57BZ	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6112	PERCUTANEOUS	"BROCCOLI"	"BROCCOLI"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
N0Y68724R3	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6113	PERCUTANEOUS	"BUCKWHEAT"	"BUCKWHEAT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
GW0W1Y9I97	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6114	PERCUTANEOUS	"CABBAGE"	"CABBAGE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
8QF5D5H6UH	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6115	PERCUTANEOUS	"CANTALOUPE"	"CANTALOUPE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
L56Z1JK48B	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6116	PERCUTANEOUS	"CARROT"	"CARROT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
48268V50D5	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6118	PERCUTANEOUS	"CASEIN"	"CASEIN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
44IDY6DTKX	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6120	PERCUTANEOUS	"CELERY"	"CELERY"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
BUC5I9595W	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6121	PERCUTANEOUS	"CHERRY"	"CHERRY"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
0X8Q245Y7B	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6122	PERCUTANEOUS	"CHICKEN"	"CHICKEN MEAT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
5S29HWU6QB	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6123	PERCUTANEOUS	"CINNAMON"	"CINNAMON"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
226LY0AFR9	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6124	PERCUTANEOUS	"CLAM"	"CLAM"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
D9108TZ9KG	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6125	PERCUTANEOUS	"COCOA BEAN"	"COCOA BEAN WHOLE BEAN CHOCOLATE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
3RT3536DHY	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6127	PERCUTANEOUS	"COCONUT"	"COCONUT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
8D6Q5LNG3D	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6128	PERCUTANEOUS	"CODFISH"	"CODFISH"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
JFH385Y744	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6129	PERCUTANEOUS	"COFFEE BEAN"	"COFFEE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
S1VF61QLO9	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6130	PERCUTANEOUS	"CRAB"	"CRAB"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
YY7C30VXJT	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6132	PERCUTANEOUS	"CUCUMBER"	"CUCUMBER"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
3E0I92Z2GR	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6133	PERCUTANEOUS	"EGG WHITE"	"EGG WHITE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
291P45F896	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6135	PERCUTANEOUS	"EGG"	"WHOLE EGG"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
4IPS17B70T	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6136	PERCUTANEOUS	"EGG YOLK"	"EGG YOLK"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
T197LO581X	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6137	PERCUTANEOUS	"FLOUNDER"	"FLOUNDER"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
V1V998DC17	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6138	PERCUTANEOUS	"GARLIC"	"GARLIC"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
6X543N684K	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6139	PERCUTANEOUS	"GRAPE"	"WHITE SEEDLESS GRAPE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
O82C39RR8C	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6141	PERCUTANEOUS	"GRAPEFRUIT"	"GRAPEFRUIT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
73W9IQY50Q	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6143	PERCUTANEOUS	"KARAYA GUM"	"KARAYA GUM BASSORA"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
RN8P45F92A	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6146	PERCUTANEOUS	"HONEYDEW MELON"	"HONEYDEW"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
FOF26T73HA	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6149	PERCUTANEOUS	"LAMB"	"LAMB"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
24RS0A988O	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6170	PERCUTANEOUS	"LEMON"	"LEMON"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
5PO6NN3RRJ	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6171	PERCUTANEOUS	"LETTUCE"	"LETTUCE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
112YH1ZMX2	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6173	PERCUTANEOUS	"LIMA BEAN"	"LIMA BEAN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
ZQ6LG2C39M	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6174	PERCUTANEOUS	"LOBSTER"	"LOBSTER"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
XE5K5I4RP7	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6177	PERCUTANEOUS	"GOAT MILK"	"GOAT MILK"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
917J3173FT	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6178	PERCUTANEOUS	"COW MILK"	"MILK WHOLE COWS"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
54C8E6W6JY	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6180	PERCUTANEOUS	"CULTIVATED MUSHROOM"	"MUSHROOM AGARICUS SPP"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
58RXI817UT	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6181	PERCUTANEOUS	"MUSTARD SEED"	"MUSTARD SEED"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
Z6J799EAJK	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6183	PERCUTANEOUS	"OAT"	"OAT GRAIN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
2M6QWV94OC	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6185	PERCUTANEOUS	"BLACK OLIVE"	"OLIVE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
492225Q21H	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6186	PERCUTANEOUS	"ONION"	"ONION"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
5EVU04N5QU	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6187	PERCUTANEOUS	"ORANGE"	"ORANGE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
S614XWR17V	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6189	PERCUTANEOUS	"OYSTER"	"OYSTER"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
W4X7H8GYFM	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6191	PERCUTANEOUS	"PEA"	"GREEN PEA ENGLISH"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
3OKE88I3QG	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6192	PERCUTANEOUS	"PEACH"	"PEACH"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
QE1QX6B99R	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6193	PERCUTANEOUS	"PEANUT"	"PEANUT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
2ZN8DWC0YF	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6195	PERCUTANEOUS	"PEAR"	"PEAR"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
F14P91GB5F	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6196	PERCUTANEOUS	"PECAN"	"PECAN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
4J4DOU3HEK	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6197	PERCUTANEOUS	"GREEN BELL PEPPER"	"BELL"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
KM66971LVF	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6198	PERCUTANEOUS	"BLACK PEPPER"	"BLACK PEPPER"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
2A88ZO081O	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6200	PERCUTANEOUS	"PINEAPPLE"	"PINEAPPLE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
6815CPT6ZJ	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6202	PERCUTANEOUS	"PISTACHIO"	"PISTACHIO NUT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
67M3EQ6BE1	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6203	PERCUTANEOUS	"PLUM"	"PLUM"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
O138UB266J	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6204	PERCUTANEOUS	"PORK"	"PORK"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
CFE1S8DYWD	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6205	PERCUTANEOUS	"POTATO"	"SWEET POTATO"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
CFE1S8DYWD	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6206	PERCUTANEOUS	"POTATO"	"WHITE POTATO"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
659G217HPG	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6208	PERCUTANEOUS	"RICE"	"RICE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
0R4AQI398X	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6210	PERCUTANEOUS	"RYE"	"RYE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
6122W2M0GB	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6212	PERCUTANEOUS	"SALMON"	"SALMON"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
7Y1255HVXR	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6213	PERCUTANEOUS	"SESAME SEED"	"SESAME SEED"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
1891LE191T	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6214	PERCUTANEOUS	"SHRIMP"	"SHRIMP"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
L7HT8F1ZOD	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6216	PERCUTANEOUS	"SOYBEAN"	"SOYBEAN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
6WO75C6WVB	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6218	PERCUTANEOUS	"SPINACH"	"SPINACH"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
9961HBA483	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6219	PERCUTANEOUS	"SQUASH"	"SQUASH"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
4J2TY8Y81V	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6220	PERCUTANEOUS	"STRAWBERRY"	"STRAWBERRY"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
0N8672707O	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6221	PERCUTANEOUS	"CORN"	"SWEET CORN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
Z4KHF2C175	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6224	PERCUTANEOUS	"TOMATO"	"TOMATO"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
V2T3IHT3E2	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6226	PERCUTANEOUS	"TUNA"	"TUNA"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
8E9NT44R8I	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6229	PERCUTANEOUS	"TURKEY"	"TURKEY MEAT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
Q74T35078H	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6230	PERCUTANEOUS	"VANILLA"	"VANILLA"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
1V3SHR7QB7	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6231	PERCUTANEOUS	"ENGLISH WALNUT"	"ENGLISH WALNUT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
231473QB6R	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6233	PERCUTANEOUS	"WATERMELON"	"WATERMELON"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
4J2I0SN84Y	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6234	PERCUTANEOUS	"WHEAT"	"WHOLE WHEAT WHEAT GRAIN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
7J12CD6O9L	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6300	PERCUTANEOUS	"BOS TAURUS SKIN"	"CATTLE EPITHELIUM"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
70LDW53ROO	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6302	PERCUTANEOUS	"COTTON FIBER"	"CATTLE EPITHELIUM"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
DI0ZRJ0MXN	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6304	PERCUTANEOUS	"COTTON SEED"	"COTTONSEED"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
X2W7CLE97T	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6306	PERCUTANEOUS	"CANIS LUPUS FAMILIARIS SKIN"	"DOG EPITHELIUM"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
