UNII	Approval	Year	Unknown	Comment	Date	Date Method
4B9XT59T7S	Approval Year	1987		Application:NDA019655 VIIV HLTHCARE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019655	03/19/1987	Drugs@FDA
Y87Y826H08	Approval Year	1941		Application:NDA003402 [Approval Date Uncertain] PARKE DAVIS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=003402	04/01/1941	PREDICTED
WGD229O42W	Approval Year	2000		Application:BLA103909 GENENTECH https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103909	06/02/2000	Drugs@FDA
7XZ4062R17	Approval Year	2017		Application:BLA761047 ULTRAGENYX PHARM INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761047	11/15/2017	Drugs@FDA
2J3YBM1K8C	Approval Year	2015		Application:NDA205422 OTSUKA PHARM CO LTD https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205422	07/10/2015	Drugs@FDA
NWQ5N31VKK	Approval Year	2003		Application:NDA021572 CUBIST PHARMS LLC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021572	09/12/2003	Drugs@FDA
Y3N00BK5WK	Approval Year	1956		Application:NDA010554 PFIZER https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010554	10/15/1956	Drugs@FDA
YO7261ME24	Approval Year	1995		Application:NDA019835 J AND J CONSUMER INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019835	12/08/1995	Drugs@FDA
9013DUQ28K	Approval Year	2001		Application:BLA103950 BIOVITRUM AB https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103950	11/14/2001	Drugs@FDA
9P6159HM7T	Approval Year	1990		Application:NDA019968 SUN PHARM INDS INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019968	12/17/1990	Drugs@FDA
A8Q8I19Q20	Approval Year	2009		Application:NDA022468 ALLOS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022468	09/24/2009	Drugs@FDA
SX6K58TVWC	Approval Year	1984		Application:NDA017532 SANOFI AVENTIS US https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017532	05/01/1984	Drugs@FDA
S312EY6ZT8	Approval Year	1991		Application:NDA019915 BRISTOL MYERS SQUIBB https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019915	05/16/1991	Drugs@FDA
57WA9QZ5WH	Approval Year	1988		Application:NDA018869 BAYER PHARMS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018869	12/28/1988	Drugs@FDA
SPI5PBF81S	Approval Year	2015		Application:NDA207620 NOVARTIS PHARMS CORP https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207620	07/07/2015	Drugs@FDA
0R4NLX88O4	Approval Year	2012		Application:NDA022458 PFIZER https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022458	05/01/2012	Drugs@FDA
O65Q227UIC	Approval Year	1973		Application:NDA016847 GE HEALTHCARE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016847	11/17/1973	Drugs@FDA
VDR09VTQ8U	Approval Year	1953		Application:NDA008848 FOUGERA PHARMS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008848	04/09/1953	Drugs@FDA
BG3F62OND5	Approval Year	1989		Application:NDA019880 CORDEN PHARMA https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019880	03/03/1989	Drugs@FDA
R0TAY3X631	Approval Year	2001		Application:NDA021180 JANSSEN PHARMS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021180	11/20/2001	Drugs@FDA
320YC168LF	Approval Year	1981		Application:NDA017736 SCHERING https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017736	09/24/1981	Drugs@FDA
78E4J5IB5J	Approval Year	1970		Application:NDA016885 LABORATOIRE HRA https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016885	07/08/1970	Drugs@FDA
IU5QR144QX	Approval Year	1942		Application:NDA004782 WYETH PHARMS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=004782	05/08/1942	Drugs@FDA
0RLU3VTK5M	Approval Year	2015		Application:NDA205266 SUN PHARMA GLOBAL https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205266	07/24/2015	Drugs@FDA
4877X14G4C	Approval Year	1977		Application:NDA017806 LANTHEUS MEDCL https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017806	12/16/1977	Drugs@FDA
2KH13Z0S0Y	Approval Year	1997		Application:NDA020738 ABBVIE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020738	12/22/1997	Drugs@FDA
09G4I6V86Q	Approval Year	1979		Application:NDA018307 MEDA PHARMS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018307	11/09/1979	Drugs@FDA
N6UAH27EUV	Approval Year	2018		Application:BLA761079 BIOMARIN PHARM https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761079	05/24/2018	Drugs@FDA
59NEE7PCAB	Approval Year	1951		Application:NDA006309 REED AND CARNRICK https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006309	01/11/1951	OB NME Appendix 1950-1993
J712EO9048	Approval Year	1971		Application:NDA016809 [Approval Date Uncertain] SANOFI AVENTIS US https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016809	05/07/1971	PREDICTED
745X144DZY	Approval Year	1997		Application:NDA020570 LANTHEUS MEDICAL https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020570	03/28/1997	Drugs@FDA
184SNS8VUH	Approval Year	1978		Application:NDA017911 MERCK https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017911	09/27/1978	Drugs@FDA
5SEH9X1D1D	Approval Year	1960		Application:NDA012380 PARKE DAVIS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012380	11/02/1960	Drugs@FDA
I9ZF7L6G2L	Approval Year	1981		Application:NDA018482 PFIZER https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018482	12/31/1981	Drugs@FDA
6CW7F3G59X	Approval Year	1993		Application:NDA020235 PFIZER PHARMS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020235	12/30/1993	Drugs@FDA
KZW0R0686Q	Approval Year	1954		Application:NDA009190 GUERBET https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009190	03/31/1954	Drugs@FDA
X8XI70B5Z6	Approval Year	1945		Application:NDA005795 SHIRE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005795	10/04/1945	Drugs@FDA
2GFP9BJD79	Approval Year	2012		Application:BLA125327 BTG INTERNATIONAL INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125327	01/17/2012	Drugs@FDA
69O5WQQ5TI	Approval Year	1977		Application:NDA017821 JANSSEN RES AND DEV https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017821	08/26/1977	Drugs@FDA
9679TC07X4	Approval Year	1956		Application:NDA019240 BECTON DICKINSON https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019240	03/13/1956	Drugs@FDA
ZS9CD1I8YE	Approval Year	1996		Application:NDA050719 CASPER PHARMA LLC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050719	08/15/1996	Drugs@FDA
59UA429E5G	Approval Year	2005		Application:BLA125117 BIOMARIN https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125117	05/31/2005	Drugs@FDA
19QM69HH21	Approval Year	1955		Application:NDA009829 VALEANT PHARMS LLC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009829	04/06/1955	Drugs@FDA
E6582LOH6V	Approval Year	1996		Application:NDA020625 SANOFI AVENTIS US https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020625	07/25/1996	Drugs@FDA
CK833KGX7E	Approval Year	1931		Application:NDA011522 TEVA WOMENS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011522	12/31/1931	Drugs@FDA
G9WJT6RD29	Approval Year	2018		Application:BLA761068 ULTRAGENYX PHARM INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761068	04/17/2018	Drugs@FDA
8620H6K4QH	Approval Year	1961		Application:NDA012254 SCHERING https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012254	04/05/1961	Drugs@FDA
Q58C92TUN0	Approval Year	1960		Application:NDA012265 SCHERING https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012265	03/09/1960	Drugs@FDA
721M9407IY	Approval Year	1947		Application:NDA006188 DAVA PHARMS INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006188	07/28/1947	Drugs@FDA
RZR75EQ2KJ	Approval Year	1978		Application:NDA017954 HOSPIRA https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017954	07/18/1978	OB NME Appendix 1950-1985
N27ADP50ER	Approval Year	1957		Application:NDA010927 BRACCO https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010927	05/02/1957	Drugs@FDA
423D2T571U	Approval Year	1943		Application:NDA005292 SCHERING https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005292	06/25/1943	Drugs@FDA
GE2T1418SV	Approval Year	2013		Application:NDA203975 GLAXOSMITHKLINE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203975	12/18/2013	Drugs@FDA
L4YEB44I46	Approval Year	1979		Application:NDA017862 WEST-WARD PHARMS INT https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017862	02/07/1979	Drugs@FDA
19W019ZDRJ	Approval Year	1982		Application:NDA018748 MEDIMETRIKS PHARMS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018748	12/30/1982	Drugs@FDA
G56VK1HF36	Approval Year	2009		Application:NDA022256 ALLERGAN SALES LLC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022256	01/14/2009	Drugs@FDA
1UA8E65KDZ	Approval Year	1999		Application:NDA020886 EISAI INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020886	02/02/1999	Drugs@FDA
AIU7053OWL	Approval Year	1971		Application:NDA016942 WESTWOOD SQUIBB https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016942	08/06/1971	OB NME Appendix 1950-1985
D0GX863OA5	Approval Year	1987		Application:NDA050591 GLAXOSMITHKLINE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050591	12/31/1987	Drugs@FDA
888Y08971B	Approval Year	1981		Application:NDA018296 [Approval Date Uncertain] PHARMACIA AND UPJOHN https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018296	05/19/1981	PREDICTED
0619F35CGV	Approval Year	1932		Application:NDA021623 GALEN SPECIALTY https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021623	12/31/1932	Drugs@FDA
8W5C518302	Approval Year	1955		Application:ANDA086842 JACOBUS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=086842	08/11/1955	Drugs@FDA
NGU5H31YO9	Approval Year	2018		Application:NDA210867 MDGH https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210867	06/13/2018	Drugs@FDA
7IO5LYA57N	Approval Year	1996		Application:NDA020533 FRESENIUS KABI USA https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020533	09/24/1996	Drugs@FDA
5B307S63B2	Approval Year	1976		Application:NDA017573 SCHERING https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017573	05/12/1976	Drugs@FDA
GN5P7K3T8S	Approval Year	1952		Application:NDA008319 NOVARTIS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008319	05/15/1952	OB NME Appendix 1950-1993
24MJ822NZ9	Approval Year	1988		Application:NDA019385 VALEANT PHARM INTL https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019385	12/30/1988	Drugs@FDA
0Z5B2CJX4D	Approval Year	1994		Application:NDA020306 DOWNSTATE CLINCL https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020306	08/19/1994	Drugs@FDA
JED5K35YGL	Approval Year	2004		Application:NDA021779 ACTELION PHARMS LTD https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021779	12/29/2004	Drugs@FDA
27DXO59SAN	Approval Year	1984		Application:NDA018257 ASTRAZENECA https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018257	11/09/1984	Drugs@FDA
320T6RNW1F	Approval Year	2000		Application:NDA020687 DANCO LABS LLC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020687	09/28/2000	Drugs@FDA
BZ114NVM5P	Approval Year	1987		Application:NDA019297 EMD SERONO https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019297	12/23/1987	Drugs@FDA
03V657ZD3V	Approval Year	1986		Application:NDA019193 METHAPHARM https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019193	10/31/1986	Drugs@FDA
P2K93U8740	Approval Year	1991		Application:NDA020038 GENZYME CORP https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020038	04/18/1991	Drugs@FDA
P9G3CKZ4P5	Approval Year	1989		Application:NDA019661 ROCHE PALO https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019661	06/23/1989	Drugs@FDA
YZI5105V0L	Approval Year	1989		Application:NDA019698 ROCHE PALO https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019698	11/30/1989	Drugs@FDA
72G3UY6T4N	Approval Year	1950		Application:NDA006460 LILLY https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006460	04/14/1950	Drugs@FDA
NGO10K751P	Approval Year	2015		Application:NDA207981 TAIHO ONCOLOGY https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207981	09/22/2015	Drugs@FDA
U5N7SU872W	Approval Year	1982		Application:NDA018613 TARO PHARM INDS LTD https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018613	08/02/1982	Drugs@FDA
73K4184T59	Approval Year	1954		Application:NDA009330 COVIS PHARMA BV https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009330	11/16/1954	Drugs@FDA
794PGL549S	Approval Year	2012		Application:BLA125349 HUMAN GENOME SCIENCES INC. https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125349	12/14/2012	Drugs@FDA
A8910SQJ1U	Approval Year	2004		Application:NDA021518 ASTELLAS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021518	11/19/2004	Drugs@FDA
YL5FZ2Y5U1	Approval Year	1953		Application:NDA008085 DAVA PHARMS INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008085	12/07/1953	Drugs@FDA
D2UX06XLB5	Approval Year	2013		Application:NDA204026 CELGENE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204026	02/08/2013	Drugs@FDA
83619PEU5T	Approval Year	1997		Application:NDA020667 BOEHRINGER INGELHEIM https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020667	07/01/1997	Drugs@FDA
6V5034L121	Approval Year	1951		Application:NDA008102 SANOFI AVENTIS US https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008102	08/31/1951	OB NME Appendix 1950-1985
7F465U79Q1	Approval Year	1996		Application:NDA020532 STAND HOMEOPATH https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020532	08/26/1996	Drugs@FDA
XX2MN88N5D	Approval Year	2003		Application:BLA125075  https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125075	10/27/2003	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125075
O26FZP769L	Approval Year	1977		Application:NDA017794 VALEANT INTL https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017794	09/30/1977	Drugs@FDA
953A26OA1Y	Approval Year	1993		Application:BLA103532 GENENTECH https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103532	12/30/1993	Drugs@FDA
XA501VL3VR	Approval Year	1956		Application:NDA010460 BOEHRINGER INGELHEIM https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010460	05/25/1956	OB NME Appendix 1950-1985
WRE554RFEZ	Approval Year	1994		Application:NDA020214 ORGANON USA INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020214	03/17/1994	Drugs@FDA
TLM2976OFR	Approval Year	1953		Application:NDA008809 HOSPIRA https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008809	02/20/1953	Drugs@FDA
G1JO7801AE	Approval Year	2015		Application:NDA205750 RTRX https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205750	03/17/2015	Drugs@FDA
YW8HJ0N26X	Approval Year	1969		Application:NDA016807 ALLERGAN SALES LLC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016807	11/21/1969	Drugs@FDA
JFU09I87TR	Approval Year	2002		Application:NDA021267 PF PRISM CV https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021267	05/24/2002	Drugs@FDA
P41PML4GHR	Approval Year	1988		Application:NDA019508 SMITHKLINE BEECHAM https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019508	04/12/1988	Drugs@FDA
AE221IM3BB	Approval Year	2018		Application:NDA208700 AAA USA INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208700	01/26/2018	Drugs@FDA
WP58SVM6R4	Approval Year	2003		Application:BLA125058 BIOMARIN https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125058	04/30/2003	Drugs@FDA
5S0W860XNR	Approval Year	1999		Application:NDA021039 GLAXOSMITHKLINE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021039	04/15/1999	Drugs@FDA
724L30Y2QR	Approval Year	1987		Application:NDA019594 ALLERGAN SALES LLC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019594	12/31/1987	Drugs@FDA
5172AI8LRR	Approval Year	1960		Application:NDA011914 [Approval Date Uncertain] CHESEBROUGH PONDS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011914	11/22/1960	PREDICTED
8RW88Y506K	Approval Year	2018		Application:NDA210491 VERTEX PHARMS INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210491	02/12/2018	Drugs@FDA
21G72T1950	Approval Year	2009		Application:NDA022275 OTSUKA AMERICA PHARM https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022275	05/19/2009	Drugs@FDA
IHS69L0Y4T	Approval Year	1973		Application:NDA050461 GLAXOSMITHKLINE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050461	10/04/1973	Drugs@FDA
6UKA5VEJ6X	Approval Year	2001		Application:NDA020825 PFIZER https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020825	02/05/2001	Drugs@FDA
