Structure Image,INN Record,Substance Name,Proposed PDF,Proposed List,Recommended PDF,Recommended List
https://mednet-communities.net/inn/db/media/chemdraw/0042.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=42,tocamphyl,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
,https://mednet-communities.net/inn/db/ViewINN.aspx?i=45,pyroxylin,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0048.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=48,diphenan,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0050.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=50,corbadrine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist24.pdf,24
https://mednet-communities.net/inn/db/media/chemdraw/0053.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=53,carbromal,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0058.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=58,benzylpenicillin,https://mednet-communities.net/inn/db/media/docs/p-innlist53.pdf,53,https://mednet-communities.net/inn/db/media/docs/r-innlist25.pdf,25
https://mednet-communities.net/inn/db/media/chemdraw/0061.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=61,dimenhydrinate,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0063.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=63,aminoquinuride,https://mednet-communities.net/inn/db/media/docs/p-innlist45.pdf,45,https://mednet-communities.net/inn/db/media/docs/r-innlist21.pdf,21
https://mednet-communities.net/inn/db/media/chemdraw/0066.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=66,glutamic acid,https://mednet-communities.net/inn/db/media/docs/p-innlist59.pdf,59,https://mednet-communities.net/inn/db/media/docs/r-innlist29.pdf,29
https://mednet-communities.net/inn/db/media/chemdraw/0068.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=68,folic acid,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
,https://mednet-communities.net/inn/db/ViewINN.aspx?i=77,globin zinc insulin injection,https://mednet-communities.net/inn/db/media/docs/p-innlist6.pdf,6,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
https://mednet-communities.net/inn/db/media/chemdraw/0079.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=79,bibrocathol,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0081.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=81,dantron,https://mednet-communities.net/inn/db/media/docs/p-innlist14.pdf,14,https://mednet-communities.net/inn/db/media/docs/r-innlist16.pdf,16
https://mednet-communities.net/inn/db/media/chemdraw/0083.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=83,dithranol,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist18.pdf,18
https://mednet-communities.net/inn/db/media/chemdraw/0084.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=84,dixanthogen,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0087.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=87,lauril,https://mednet-communities.net/inn/db/media/docs/p-innlist41.pdf,41
https://mednet-communities.net/inn/db/media/chemdraw/0089.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=89,menadiol sodium sulfate,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist4.pdf,4
https://mednet-communities.net/inn/db/media/chemdraw/0091.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=91,levorphanol,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist2.pdf,2
https://mednet-communities.net/inn/db/media/chemdraw/0092.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=92,phenacemide,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0095.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=95,alverine,https://mednet-communities.net/inn/db/media/docs/p-innlist16.pdf,16,https://mednet-communities.net/inn/db/media/docs/r-innlist40.pdf,40
https://mednet-communities.net/inn/db/media/chemdraw/0097.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=97,stilbamidine isetionate,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
https://mednet-communities.net/inn/db/media/chemdraw/0098.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=98,subathizone,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0099.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=99,sulfisomidine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0102.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=102,thebacon,https://mednet-communities.net/inn/db/media/docs/p-innlist5.pdf,5
https://mednet-communities.net/inn/db/media/chemdraw/0103.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=103,oxytetracycline,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0104.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=104,chlorphenamine,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
https://mednet-communities.net/inn/db/media/chemdraw/0105.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=105,pheniramine,https://mednet-communities.net/inn/db/media/docs/p-innlist8.pdf,8,https://mednet-communities.net/inn/db/media/docs/r-innlist4.pdf,4
https://mednet-communities.net/inn/db/media/chemdraw/0106.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=106,mepyramine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0108.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=108,cinchocaine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0109.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=109,diperodon,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0111.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=111,dextrorphan,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0112.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=112,acriflavinium chloride,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0113.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=113,methylrosanilinium chloride,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0114.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=114,chlorazodin,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0115.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=115,halazone,https://mednet-communities.net/inn/db/media/docs/p-innlist41.pdf,41,https://mednet-communities.net/inn/db/media/docs/r-innlist43.pdf,43
https://mednet-communities.net/inn/db/media/chemdraw/0117.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=117,amsonate,https://mednet-communities.net/inn/db/media/docs/p-innlist18.pdf,18
https://mednet-communities.net/inn/db/media/chemdraw/0118.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=118,methylbenzethonium chloride,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0119.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=119,methenamine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0120.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=120,bunapsilate,https://mednet-communities.net/inn/db/media/docs/p-innlist24.pdf,24
https://mednet-communities.net/inn/db/media/chemdraw/0121.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=121,nitrosulfathiazole,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0122.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=122,sulfacetamide,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0123.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=123,stibamine glucoside,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0124.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=124,phenarsone sulfoxylate,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,,
,https://mednet-communities.net/inn/db/ViewINN.aspx?i=128,sodium morrhuate,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0130.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=130,sodium tetradecyl sulfate,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0131.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=131,homatropine methylbromide,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0133.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=133,furtrethonium iodide,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0134.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=134,benzpyrinium bromide,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0135.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=135,cyclopentamine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0136.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=136,hydroxyamfetamine,https://mednet-communities.net/inn/db/media/docs/p-innlist55.pdf,55,https://mednet-communities.net/inn/db/media/docs/r-innlist26.pdf,26
https://mednet-communities.net/inn/db/media/chemdraw/0137.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=137,methoxyphenamine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist7.pdf,7
https://mednet-communities.net/inn/db/media/chemdraw/0139.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=139,phenpromethamine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist4.pdf,4
https://mednet-communities.net/inn/db/media/chemdraw/0140.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=140,tuaminoheptane,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
,https://mednet-communities.net/inn/db/ViewINN.aspx?i=142,gitalin amorphous,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4
https://mednet-communities.net/inn/db/media/chemdraw/0143.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=143,mannitol hexanitrate,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist18.pdf,18
https://mednet-communities.net/inn/db/media/chemdraw/0145.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=145,probarbital sodium,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0146.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=146,secobarbital,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
https://mednet-communities.net/inn/db/media/chemdraw/0148.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=148,levomethorphan,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0149.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=149,piperoxan,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0152.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=152,sodium acetrizoate,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
https://mednet-communities.net/inn/db/media/chemdraw/0154.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=154,mercaptomerin,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0155.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=155,mercumatilin sodium,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
https://mednet-communities.net/inn/db/media/chemdraw/0157.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=157,dehydrocholic acid,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0158.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=158,sodium dehydrocholate,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
,https://mednet-communities.net/inn/db/ViewINN.aspx?i=159,methylcellulose,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
https://mednet-communities.net/inn/db/media/chemdraw/0162.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=162,benzestrol,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0164.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=164,methestrol,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
,https://mednet-communities.net/inn/db/ViewINN.aspx?i=165,isophane insulin,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
https://mednet-communities.net/inn/db/media/chemdraw/0166.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=166,dextromethorphan,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0168.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=168,sodium cyclamate,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0169.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=169,macrogol,https://mednet-communities.net/inn/db/media/docs/p-innlist34.pdf,34,https://mednet-communities.net/inn/db/media/docs/r-innlist17.pdf,17
https://mednet-communities.net/inn/db/media/chemdraw/0170.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=170,camsilate,https://mednet-communities.net/inn/db/media/docs/p-innlist18.pdf,18
