UNII	Approval	Year	Unknown	Comment	Date	Date Method
4F05V145YR	Approval Year	1969		Application:NDA013731 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013731	10/24/1969	DRUGS@FDA SUBMISSION
06LU7C9H1V	Approval Year	1956		Application:NDA010379 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010379	5/8/1956	DRUGS@FDA SUBMISSION
M5DP350VZV	Approval Year	1967		Application:NDA016092 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016092	1/10/1967	DRUGS@FDA SUBMISSION
Q58C92TUN0	Approval Year	1960		Application:NDA012265 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012265	3/9/1960	DRUGS@FDA SUBMISSION
F5TD010360	Approval Year	1981		Application:NDA018484 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018484	10/16/1981	DRUGS@FDA SUBMISSION
10X0709Y6I	Approval Year	2010		Application:ANDA090197 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090197	5/27/2010	DRUGS@FDA SUBMISSION
T2410KM04A	Approval Year	1939		Application:NDA000552 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=000552	2/9/1939	DRUGS@FDA SUBMISSION
57U5YI11WP	Approval Year	1965		Application:NDA014217 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=014217	6/14/1965	DRUGS@FDA SUBMISSION
W6I5QDT7QI	Approval Year	2017		Application:NDA208254 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208254	12/18/2017	DRUGS@FDA SUBMISSION
V867Q8X3ZD	Approval Year	1950		Application:NDA006459 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006459	11/13/1950	DRUGS@FDA SUBMISSION
30S50YM8OG	Approval Year	1956		Application:NDA010392 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010392	4/12/1956	DRUGS@FDA SUBMISSION
5ASJ6HUZ7D	Approval Year	1969		Application:NDA016798 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016798	9/23/1969	DRUGS@FDA SUBMISSION
Z615FRW64N	Approval Year	1949		Application:NDA006800 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006800	6/15/1949	DRUGS@FDA SUBMISSION
81G40H8B0T	Approval Year	1949		Application:NDA006823 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006823	5/18/1949	DRUGS@FDA SUBMISSION
721M9407IY	Approval Year	1947		Application:NDA006188 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006188	7/28/1947	DRUGS@FDA SUBMISSION
73K4184T59	Approval Year	1954		Application:NDA009330 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009330	11/16/1954	DRUGS@FDA SUBMISSION
RZD65TSM9U	Approval Year	2003		Application:BLA103979 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103979	4/24/2003	DRUGS@FDA SUBMISSION
46QG38NC4U	Approval Year	1957		Application:NDA010841 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010841	4/22/1957	DRUGS@FDA SUBMISSION
140QMO216E	Approval Year	1963		Application:NDA012623 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012623	7/18/1963	DRUGS@FDA SUBMISSION
320YC168LF	Approval Year	1981		Application:NDA017736 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017736	9/24/1981	DRUGS@FDA SUBMISSION
YHP6YLT61T	Approval Year	1956		Application:NDA010571 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010571	10/23/1956	DRUGS@FDA SUBMISSION
57Y76R9ATQ	Approval Year	1976		Application:NDA017581 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017581	3/11/1976	DRUGS@FDA SUBMISSION
59UA429E5G	Approval Year	2005		Application:BLA125117 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125117	5/31/2005	DRUGS@FDA SUBMISSION
3G6A5W338E	Approval Year	1948		Application:NDA006620 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006620	11/26/1948	DRUGS@FDA SUBMISSION
S88TT14065	Approval Year	2013		Application:NDA205713 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205713	6/16/2013	DRUGS@FDA SUBMISSION
7GR28W0FJI	Approval Year	1975		Application:NDA017575 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017575	5/27/1975	DRUGS@FDA SUBMISSION
88463U4SM5	Approval Year	1981		Application:NDA018557 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018557	10/28/1981	DRUGS@FDA SUBMISSION
36EI79TX7I	Approval Year	1951		Application:NDA007390 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=007390	7/3/1951	DRUGS@FDA SUBMISSION
025P9I542Y	Approval Year	1968		Application:NDA016635 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016635	6/21/1968	DRUGS@FDA SUBMISSION
094ZI81Y45	Approval Year	1977		Application:NDA017970 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017970	12/30/1977	DRUGS@FDA SUBMISSION
8Q1PVL543G	Approval Year	1980		Application:NDA018239 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018239	5/2/1980	DRUGS@FDA SUBMISSION
DTI67O9503	Approval Year	2006		Application:BLA125141 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125141	4/28/2006	DRUGS@FDA SUBMISSION
L2T84IQI2K	Approval Year	1979		Application:NDA018024 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018024	5/15/1979	DRUGS@FDA SUBMISSION
562RS6MC22	Approval Year	1971		Application:NDA016090 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016090	12/1/1971	DRUGS@FDA SUBMISSION
6Q99RDT97R	Approval Year	1966		Application:NDA016245 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016245	7/1/1966	DRUGS@FDA SUBMISSION
7XZ4062R17	Approval Year	2017		Application:BLA761047 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761047	11/15/2017	DRUGS@FDA SUBMISSION
3L5TQ84570	Approval Year	1957		Application:NDA010721 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010721	2/14/1957	DRUGS@FDA SUBMISSION
3A58010674	Approval Year	2002		Application:BLA125031 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125031	1/31/2002	DRUGS@FDA SUBMISSION
B4OB0JHI1X	Approval Year	1953		Application:NDA008883 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008883	7/1/1953	DRUGS@FDA SUBMISSION
63CZ7GJN5I	Approval Year	1966		Application:NDA016084 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016084	8/19/1966	DRUGS@FDA SUBMISSION
T11645226K	Approval Year	1976		Application:NDA017518 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017518	3/11/1976	DRUGS@FDA SUBMISSION
CHB1QD2QSS	Approval Year	1981		Application:NDA018163 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018163	2/27/1981	DRUGS@FDA SUBMISSION
263T0E9RR9	Approval Year	1951		Application:NDA007794 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=007794	3/7/1951	DRUGS@FDA SUBMISSION
6EE945D3OK	Approval Year	1956		Application:NDA010251 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010251	3/1/1956	DRUGS@FDA SUBMISSION
Z633861EIM	Approval Year	2015		Application:BLA125513 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125513	10/23/2015	DRUGS@FDA SUBMISSION
53AXN4NNHX	Approval Year	2017		Application:NDA209637 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209637	12/5/2017	DRUGS@FDA SUBMISSION
16O34995MB	Approval Year	1968		Application:NDA016666 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016666	5/24/1968	DRUGS@FDA SUBMISSION
6UXW23996M	Approval Year	1959		Application:NDA012142 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012142	11/16/1959	DRUGS@FDA SUBMISSION
IHP475989U	Approval Year	1970		Application:NDA016721 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016721	4/7/1970	DRUGS@FDA SUBMISSION
DPT0O3T46P	Approval Year	2014		Application:BLA125514 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125514	9/4/2014	DRUGS@FDA SUBMISSION
Y3N00BK5WK	Approval Year	1956		Application:NDA010554 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010554	10/15/1956	DRUGS@FDA SUBMISSION
L0378Q1565	Approval Year	1955		Application:NDA009854 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009854	7/29/1955	DRUGS@FDA SUBMISSION
362O9ITL9D	Approval Year	1968		Application:NDA016401 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016401	11/7/1968	DRUGS@FDA SUBMISSION
TE7660XO1C	Approval Year	1976		Application:NDA017633 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017633	5/25/1976	DRUGS@FDA SUBMISSION
A3ULP0F556	Approval Year	2007		Application:BLA125166 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125166	3/16/2007	DRUGS@FDA SUBMISSION
7NL2E3F6K3	Approval Year	2017		Application:BLA761083 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761083	11/16/2017	DRUGS@FDA SUBMISSION
U75VZ9PK1J	Approval Year	1962		Application:NDA012928 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012928	3/21/1962	DRUGS@FDA SUBMISSION
T6V3LHY838	Approval Year	1971		Application:NDA016822 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016822	9/24/1971	DRUGS@FDA SUBMISSION
LMK22VUH23	Approval Year	1980		Application:NDA018067 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018067	6/13/1980	DRUGS@FDA SUBMISSION
5R5W9ICI6O	Approval Year	1960		Application:NDA050262 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050262	1/14/1960	DRUGS@FDA SUBMISSION
TR3MLJ1UAI	Approval Year	1951		Application:NDA007883 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=007883	8/28/1951	DRUGS@FDA SUBMISSION
953A26OA1Y	Approval Year	1993		Application:BLA103532 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103532	12/30/1993	DRUGS@FDA SUBMISSION
73B0K5S26A	Approval Year	2011		Application:BLA125370 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125370	3/9/2011	DRUGS@FDA SUBMISSION
R4KO0DY52L	Approval Year	1976		Application:NDA017768 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017768	9/17/1976	DRUGS@FDA SUBMISSION
D6S4O4XD0H	Approval Year	1949		Application:NDA006927 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006927	7/6/1949	DRUGS@FDA SUBMISSION
TT6HN20MVF	Approval Year	2016		Application:BLA761038 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761038	10/19/2016	DRUGS@FDA SUBMISSION
YOW8V9698H	Approval Year	1978		Application:NDA017788 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017788	4/4/1978	DRUGS@FDA SUBMISSION
LR3UXN0193	Approval Year	2007		Application:BLA125164 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125164	11/14/2007	DRUGS@FDA SUBMISSION
0S9323MCT0	Approval Year	1961		Application:NDA012649 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012649	10/17/1961	DRUGS@FDA SUBMISSION
YKH834O4BH	Approval Year	1948		Application:NDA006488 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006488	11/19/1948	DRUGS@FDA SUBMISSION
3JB47N2Q2P	Approval Year	2004		Application:BLA125104 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125104	11/23/2004	DRUGS@FDA SUBMISSION
B7IN85G1HY	Approval Year	1975		Application:NDA017434 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017434	12/4/1975	DRUGS@FDA SUBMISSION
R9M4FJE48E	Approval Year	1999		Application:NDA050747 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050747	9/21/1999	DRUGS@FDA SUBMISSION
232HYX66HC	Approval Year	1971		Application:NDA050095 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050095	6/2/1971	DRUGS@FDA SUBMISSION
7H6TM3CT4L	Approval Year	1964		Application:NDA013718 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013718	7/21/1964	DRUGS@FDA SUBMISSION
M03GIQ7Z6P	Approval Year	1976		Application:NDA017697 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017697	7/21/1976	DRUGS@FDA SUBMISSION
7XL5ISS668	Approval Year	2011		Application:BLA125399 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125399	8/19/2011	DRUGS@FDA SUBMISSION
78M02AA8KF	Approval Year	1981		Application:NDA018148 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018148	9/24/1981	DRUGS@FDA SUBMISSION
W9YXS298BM	Approval Year	1945		Application:NDA005657 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005657	2/20/1945	DRUGS@FDA SUBMISSION
PKK6MUZ20G	Approval Year	1953		Application:NDA009053 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009053	9/11/1953	DRUGS@FDA SUBMISSION
X8XI70B5Z6	Approval Year	1945		Application:NDA005795 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005795	10/4/1945	DRUGS@FDA SUBMISSION
KL6248WNW4	Approval Year	1969		Application:NDA013615 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013615	2/3/1969	DRUGS@FDA SUBMISSION
ZS7284E0ZP	Approval Year	1979		Application:NDA050484 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050484	12/19/1979	DRUGS@FDA SUBMISSION
XRO4566Q4R	Approval Year	1996		Application:BLA103628 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103628	5/17/1996	DRUGS@FDA SUBMISSION
VJT6J7R4TR	Approval Year	1971		Application:NDA050420 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050420	5/21/1971	DRUGS@FDA SUBMISSION
G58F8OPL4I	Approval Year	1945		Application:NDA005794 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005794	9/12/1945	DRUGS@FDA SUBMISSION
CYS9AKD70P	Approval Year	1979		Application:NDA017624 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017624	12/18/1979	DRUGS@FDA SUBMISSION
3A64E3G5ZO	Approval Year	1978		Application:NDA017962 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017962	6/28/1978	DRUGS@FDA SUBMISSION
9U7D5QH5AE	Approval Year	1976		Application:NDA017657 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017657	3/25/1976	DRUGS@FDA SUBMISSION
1TD8J48L61	Approval Year	1960		Application:NDA012489 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012489	10/14/1960	DRUGS@FDA SUBMISSION
HN1ZRA3Q20	Approval Year	1981		Application:NDA018469 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018469	10/28/1981	DRUGS@FDA SUBMISSION
334895S862	Approval Year	1967		Application:NDA050007 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050007	12/5/1967	DRUGS@FDA SUBMISSION
Q32ZN48698	Approval Year	1971		Application:NDA016682 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016682	3/22/1971	DRUGS@FDA SUBMISSION
LYR4M0NH37	Approval Year	1965		Application:NDA013025 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013025	12/16/1965	DRUGS@FDA SUBMISSION
2S9ZZM9Q9V	Approval Year	2004		Application:BLA125085 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125085	2/26/2004	DRUGS@FDA SUBMISSION
8W8T17847W	Approval Year	1966		Application:NDA012154 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012154	10/5/1966	DRUGS@FDA SUBMISSION
O26FZP769L	Approval Year	1977		Application:NDA017794 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017794	9/30/1977	DRUGS@FDA SUBMISSION
U3P01618RT	Approval Year	1962		Application:NDA012209 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012209	4/25/1962	DRUGS@FDA SUBMISSION
31YO63LBSN	Approval Year	2014		Application:BLA125554 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125554	12/22/2014	DRUGS@FDA SUBMISSION
4Z63YK6E0E	Approval Year	2015		Application:BLA761036 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761036	11/16/2015	DRUGS@FDA SUBMISSION
KV2JZ1BI6Z	Approval Year	1956		Application:NDA010598 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010598	7/30/1956	DRUGS@FDA SUBMISSION
94ZLA3W45F	Approval Year	1973		Application:NDA016931 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016931	2/28/1973	DRUGS@FDA SUBMISSION
WYQ7N0BPYC	Approval Year	1963		Application:NDA013601 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013601	9/14/1963	DRUGS@FDA SUBMISSION
VLA4NZX2P4	Approval Year	1974		Application:NDA017551 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017551	11/21/1974	DRUGS@FDA SUBMISSION
0J8L4V3F81	Approval Year	1974		Application:NDA013092 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013092	4/2/1974	DRUGS@FDA SUBMISSION
5Y5F15120W	Approval Year	1976		Application:NDA017638 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017638	11/5/1976	DRUGS@FDA SUBMISSION
4E07GXB7AU	Approval Year	1977		Application:NDA017856 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017856	2/28/1977	DRUGS@FDA SUBMISSION
9L2KA76MG5	Approval Year	1952		Application:NDA008173 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008173	11/10/1952	DRUGS@FDA SUBMISSION
2P471X1Z11	Approval Year	2003		Application:BLA103976 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103976	6/20/2003	DRUGS@FDA SUBMISSION
9G64RSX1XD	Approval Year	1981		Application:NDA018343 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018343	4/6/1981	DRUGS@FDA SUBMISSION
5JKY92S7BR	Approval Year	1978		Application:NDA018086 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018086	8/17/1978	DRUGS@FDA SUBMISSION
4RII332O0R	Approval Year	1978		Application:NDA017902 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017902	7/25/1978	DRUGS@FDA SUBMISSION
R3W57OBQ5W	Approval Year	1952		Application:NDA008107 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008107	6/20/1952	DRUGS@FDA SUBMISSION
4QWG6N8QKH	Approval Year	1955		Application:NDA009768 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009768	4/18/1955	DRUGS@FDA SUBMISSION
B2V233XGE7	Approval Year	1961		Application:NDA010976 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010976	3/9/1961	DRUGS@FDA SUBMISSION
9842X06Q6M	Approval Year	1961		Application:NDA012657 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012657	4/17/1961	DRUGS@FDA SUBMISSION
2U1W68TROF	Approval Year	1980		Application:NDA017543 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017543	12/1/1980	DRUGS@FDA SUBMISSION
V008L6478D	Approval Year	1960		Application:NDA012125 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012125	1/6/1960	DRUGS@FDA SUBMISSION
423W026MA9	Approval Year	1979		Application:NDA018116 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018116	10/18/1979	DRUGS@FDA SUBMISSION
NQX9KB6PCL	Approval Year	1976		Application:NDA017726 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017726	7/30/1976	DRUGS@FDA SUBMISSION
ILP8XJ8R5K	Approval Year	1959		Application:NDA011860 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011860	8/5/1959	DRUGS@FDA SUBMISSION
ADC79EK5Q8	Approval Year	1964		Application:NDA014005 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=014005	5/28/1964	DRUGS@FDA SUBMISSION
