Application Number	Trade Name	Sponsor Name
012-680	Pharmastatin¨-20 Type A Medicated Article	Zoetis Inc.
012-734	Diuril¨	"Merial, Inc."
012-956	"Dyrex Bolus, Dyrex Granules"	Zoetis Inc.
012-965	"Tylanª 200 Injection, Tylanª 50 Injection"	Elanco US Inc.
012-991	Kopertox¨	Zoetis Inc.
013-022	Thibenzole Sheep & Goat Wormer	"Merial, Inc."
013-076	Tylan Solubleª	Elanco US Inc.
013-146	Liquamycin¨ Intramuscular	Zoetis Inc.
013-149	"Amprovine 9.6% Solution, CORID¨ 9.6% Oral Solution"	Huvepharma EOOD
013-181	Jenomycin Tablets	"Intervet, Inc."
013-201	Darbazine Spansule  Capsule No.1	Zoetis Inc.
013-248	"Freed No. 10, Freed No. 25"	Zoetis Inc.
013-293	"Liqua-Cortril Spray, Terra-Cortril Spray"	Zoetis Inc.
013-407	Equizole¨ Horse Wormer	"Merial, Inc."
013-461	"Amprol Hi-E, Amprol Plus"	Huvepharma EOOD
013-502	Protamone-D	"Agri-Tech, Inc."
013-624	Triamcinolone Acetonide	"Boehringer Ingelheim Vetmedica, Inc."
013-663	Cocciprolª	Phibro Animal Health Corp.
013-674	Hydrozide Injection	"Merial, Inc."
013-747	Zoalene 90 Medicated Coccidiostat	Zoetis Inc.
013-755	Grysio (Microsize)	Zoetis Inc.
013-954	Thibenzole 20% Swine Premix	"Merial, Inc."
013-957	S.E.Z. Drinking Water 6.25%	Zoetis Inc.
014-170	"Fluothane, Halothane, USP"	Zoetis Inc.
014-350	Omnizole	"Merial, Inc."
014-366	Cytobin Tablets	Zoetis Inc.
015-030	PromAce¨ Injectable	"Boehringer Ingelheim Vetmedica, Inc."
015-102	Albon¨ Tablets	Zoetis Inc.
015-123	TBZ¨ Cattle Wormer (Drench)	"Merial, Inc."
015-126	Spectinomycin Tablet and Injection	Zoetis Inc.
015-147	Darbazine Injectable	Zoetis Inc.
015-151	Neo-synalar Cream	"Medicis Dermatologics, Inc"
015-152	Synalar¨ Cream Veterinary	"Medicis Dermatologics, Inc"
015-154	"Dyrex T.F - 1000, Dyrex T.F - 200, Dyrex T.F - 500"	Zoetis Inc.
015-160	"SODIUM SULFACHLOROPYRAZINE (MONOHYDRATE) SOLUTION, SODIUM SULFACHOROPYRAZINE (MONOHYDRATE) SOLUBLE POWDER"	Zoetis Inc.
015-182	Canopar Tablets	"Intervet, Inc."
015-298	Synalar¨ Solution Veterinary	"Medicis Dermatologics, Inc"
015-433	Neo-Predef¨ with Tetracaine Ointment	Zoetis Inc.
015-506	Winstrol-V¨ Tablets	Zoetis Inc.
015-875	TBZ 200 Medicated Feed Premix	"Merial, Inc."
030-025	"Neo-Predef¨ with Tetracaine Top. Ointment, Tritop¨ Topical Ointment"	Zoetis Inc.
030-103	Thibenzole (18 mg)	"Merial, Inc."
030-136	Naquasone¨ Bolus	"Intervet, Inc."
030-137	"Mylepsin, Primidone Medi-Pets"	Zoetis Inc.
030-313	Seletoc¨ Minicaps and Caps	"Intervet, Inc."
030-314	Mu-Se	"Intervet, Inc."
030-315	E-SE	"Intervet, Inc."
030-316	Seletoc¨ Injection	"Intervet, Inc."
030-414	Flucort¨ Solution	Zoetis Inc.
030-415	Flucort¨ Tablets	Zoetis Inc.
030-416	Mesulfin Tablets	Zoetis Inc.
030-434	Azium¨ Powder	"Intervet, Inc."
030-435	Azium¨ Boluses 10 mg	"Intervet, Inc."
030-438	Innovar¨-Vet Injection	"Intervet, Inc."
030-578	E-Z-EX Wormer Pellets	ADM Animal Nutrition
030-844	Winstrol-V¨ Sterile Suspension	Zoetis Inc.
031-205	"AGRIBON¨ Concentrated Solution 12.5%, ALBON¨ Concentrated Solution 12.5%"	Zoetis Inc.
031-447	Fulvicin U/F¨ Bolus Veterinary	"Intervet, Inc."
031-448	Rheaform Bolus	Zoetis Inc.
031-512	"Atgard¨ Swine Wormer 27 g, Atgard¨ Swine Wormer 5.4g, Atgard¨ V Swine Wormer 27 g, Atgard¨ V Swine Wormer 5.4 g"	Cronus Pharma Specialities India Private Limited
031-553	"ESB 3 Soluble Powder, ESB 3 Solution"	Zoetis Inc.
031-555	Trypzyme¨ Aerosol	"Farnam Companies, Inc."
031-715	"Agribon Boluses - 15.0, Agribon Boluses - 2.5, Agribon Boluses - 5.0, Albon¨"	Zoetis Inc.
031-914	"Neo-Darbazine Spansule Capsule No.1, Neo-Darbazine Spansule Capsule No.3"	Zoetis Inc.
031-944	Dynamyxin Injectable	Zoetis Inc.
032-168	Domoso¨ Solution	Zoetis Inc.
032-319	"Furox¨ Aerosol Powder, Topazone Aerosol Powder"	"Kinetic Technologies, LLC"
032-702	PromAce¨ Tablets	"Boehringer Ingelheim Vetmedica, Inc."
032-704	Bloat Guard Top Dressing	Phibro Animal Health Corp.
032-738	Pacitran	Zoetis Inc.
032-946	MAGNA-TERRAMYCIN¨ Soluble Powder	Zoetis Inc.
033-127	"Prinzone Bolus, Pyradan Bolus, Vetisulid¨ Bolus"	"Boehringer Ingelheim Vetmedica, Inc."
033-149	Parvex Plus¨ Suspension	Zoetis Inc.
033-157	Spectam¨ Scour Halt¨	Huvepharma EOOD
033-165	"AMPROL¨ 128, Corid 20% Soluble Powder"	Huvepharma EOOD
033-318	"Prinzone Injection, Pyradan Injection, Vetisulid¨ Injection"	"Boehringer Ingelheim Vetmedica, Inc."
033-319	Vetisulid¨ Tablets	"Boehringer Ingelheim Vetmedica, Inc."
033-342	Proban¨ Cythioate Tablets 30 mg	Zoetis Inc.
033-373	Vetisulid¨	Huvepharma EOOD
033-606	Proban¨ Oral Liquid	Zoetis Inc.
033-653	S.E.Z. Drinking Water Solution	Zoetis Inc.
033-654	S.E.Z. Oblets 15 G	Zoetis Inc.
033-655	S.E.Z. Intravenous Solution	Zoetis Inc.
033-760	Bloat Guard Drench Concentrate	Zoetis Inc.
033-773	Sweetlix¨ Bloat Guard¨ Pressed Block	Ridley USA Inc.
033-803	Task Dog Anthelmintic	Cronus Pharma Specialities India Private Limited
033-887	Lincocin¨ Tablets	Zoetis Inc.
033-950	SULFAMERAZINE FISH GRADE	Zoetis Inc.
034-010	Betavet Soluspan Suspension	"Intervet, Inc."
034-025	"Lincocin¨, Lincomix¨ 25 Injectable, Lincomix¨ 50 Injectable, Lincomix¨ 100 Injectable, Lincomix¨ 300 Injectable"	Zoetis Inc.
034-114	Equizole¨	"Merial, Inc."
034-254	"MGA¨ 100, MGA¨ 200"	Zoetis Inc.
034-266	Famix Famphur Premix	"Intervet, Inc."
034-267	Gentocin¨ Durafilm¨	"Intervet, Inc."
034-393	Coyden 25¨	Huvepharma EOOD
034-477	Jenotone Solution	"Intervet, Inc."
034-478	Salixª Injection 5%	"Intervet, Inc."
034-621	Salix¨ Tablets	"Intervet, Inc."
034-641	Tiguvon Pour-On Cattle Insecticide	"Bayer HealthCare LLC, Animal Health Division"
034-697	Warbex¨ Famphur Cattle Pour-on	"Intervet, Inc."
034-705	Equipoise¨	Zoetis Inc.
034-872	Neo Predef¨ Sterile Ointment	Zoetis Inc.
034-879	Dopram¨-V Injectable	"Boehringer Ingelheim Vetmedica, Inc."
035-016	Scolaban 400	"Intervet, Inc."
035-157	Gallimycin¨ PFC	Bimeda Animal Health Limited
035-161	"Temaril-P¨ Spansule Capsule No. 1, Temaril-P¨ Spansule Capsule No. 2"	Zoetis Inc.
035-265	Diquel Solution	"Intervet, Inc."
035-455	"Erythro¨-36 Dry, Gallimycin¨-36 Dry"	Bimeda Animal Health Limited
035-456	Gallimycin¨-36 Sterile	Bimeda Animal Health Limited
035-631	Thibenzole Pig Wormer	"Merial, Inc."
035-650	Dyrex Powder	Zoetis Inc.
035-688	Aureomix¨ S 40/40 Granular	Zoetis Inc.
035-805	"Aureo S 700¨ Granular, Aureo S 700¨"	Zoetis Inc.
035-918	"Equigard, Verdisol"	Cronus Pharma Specialities India Private Limited
036-211	Anaprime¨ Suspension	Zoetis Inc.
036-212	Fluosmin Suspension	Zoetis Inc.
036-304	Amprol HI-E¨ Plus	Huvepharma EOOD
036-361	Amprol Plus¨ and Aureomycin¨	Zoetis Inc.
037-410	Equizole¨ A	"Merial, Inc."
037-502	Tinavet¨ Cream 1%	"Intervet, Inc."
037-586	Erythromast 36	Zoetis Inc.
037-700	Bactrovet Oral Suspension 12.5%	"Intervet, Inc."
038-160	"Maolate¨ Tablets, Maolate¨ Veterinary"	Zoetis Inc.
038-200	OXY WSª 	Phibro Animal Health Corp.
038-233	"Ralgro¨ Implants, Ralgro¨ Magnum"	"Intervet, Inc."
038-281	Bloat Guard¨	Phibro Animal Health Corp.
038-292	Gentocin¨ Solution	"Intervet, Inc."
038-439	"Terramycin¨ 100 for Fish, Terramycin¨ 200 for Fish"	Phibro Animal Health Corp.
038-661	SpectoGard¨ Water Soluble Powder	Bimeda Animal Health Limited
038-800	Butazolidin¨ Granules	"Intervet, Inc."
038-801	Anaprime¨ Ophthalmic Solution	Zoetis Inc.
038-838	Robaxin¨-V Injectable	"Kinetic Technologies, LLC"
038-878	"Cobanª 60, Cobanª 90"	Elanco US Inc.
039-204	Protopam	Zoetis Inc.
039-356	"Ripercol L Bolus, Tramisol¨ Cattle Wormer Bolus"	Zoetis Inc.
039-357	Ripercol L Soluble Drench Powder	Zoetis Inc.
039-402	"MGA¨ 100, MGA¨ 200, MGA¨ 500"	Zoetis Inc.
039-417	Deccox¨	Zoetis Inc.
039-483	Bio-Tal	Cronus Pharma Specialities India Private Limited
039-583	Granulex¨ V	"Mylan Institutional, Inc."
039-729	Therabloat¨	Zoetis Inc.
039-792	Fulvicin U/F¨ Powder	"Intervet, Inc."
040-001	Meldane 2	"Bayer HealthCare LLC, Animal Health Division"
040-040	Spectam¨ Injectable	Huvepharma EOOD
040-181	Vetisulid¨ Oral Suspension	Huvepharma EOOD
040-209	Rofenaid¨ 40	Zoetis Inc.
040-322	Kymar Ointment Improved	"Intervet, Inc."
040-587	Lincocin¨ Aquadrops	Zoetis Inc.
040-848	Atgard¨ C Swine Wormer	Cronus Pharma Specialities India Private Limited
041-061	Mecadox¨ Premix 10	Phibro Animal Health Corp.
041-245	"Agribon Injection 40%, Albon¨"	Zoetis Inc.
041-275	"Tylanª 5 Sulfa-Gª, Tylanª 10 Sulfa-Gª, Tylanª 20 Sulfa-Gª, Tylanª 40 Sulfa-Gª"	Elanco US Inc.
041-629	Spectinomycin Oral Liquid	Zoetis Inc.
041-647	AUREOMIX¨ S 700-A	Zoetis Inc.
041-648	AUREOMIX¨ S 700-D	Zoetis Inc.
041-649	Aureomix¨ S 700-G	Zoetis Inc.
041-650	Aureomix¨ S 700-E	Zoetis Inc.
041-651	Aureomix¨ 700-F	Zoetis Inc.
041-652	Aureomix¨ S 700-C	Zoetis Inc.
041-653	AUREOMIX¨ S 700-B	Zoetis Inc.
041-654	AUREOMIX¨ S 700-H	Zoetis Inc.
041-665	Tranvet Chewable Tablets (20 mg)	Zoetis Inc.
041-836	Kantrim¨ 200	Zoetis Inc.
042-548	Amforol¨ Suspension	Zoetis Inc.
042-633	Tresaderm Dermatologic Solution	"Merial, Inc."
042-661	Kantrim¨ Ophthalmic Ointment	Zoetis Inc.
042-740	"Ripercol L, Tramisol¨ Soluble Drench Powder for Sheep"	Zoetis Inc.
042-837	"Ripercol L Wormer Oblets, Tramisol¨ Sheep Wormer Oblets"	Zoetis Inc.
042-841	Amforol¨ Veterinary Oral Tablets	Zoetis Inc.
042-883	Kantrim¨ Ophthalmic Solution	Zoetis Inc.
042-888	"Banminth¨, Strongid¨"	Zoetis Inc.
042-910	E-Z-EX Wormer Mintrate Block	ADM Animal Nutrition
043-078	Centrine Oral Tablets	Zoetis Inc.
043-079	Centrine Injectable	Zoetis Inc.
043-141	Thibenzole 300 Medicated	"Merial, Inc."
043-290	Banminth¨ 48	Phibro Animal Health Corp.
043-304	Ketaset¨	Zoetis Inc.
043-606	"Atgard¨ Swine Wormer, Atgard¨ V Swine Wormer"	Cronus Pharma Specialities India Private Limited
043-784	Kanfosone Ointment	Zoetis Inc.
043-785	Albon Oral Suspension 5%	Zoetis Inc.
044-012	Gecolate	Summit Hill Laboratories
044-611	Talwin¨-V Sterile Aqueous Injection	Zoetis Inc.
044-654	Equizole¨ Horse Wormer Pellets	"Merial, Inc."
044-756	Butatron¨	Bimeda Animal Health Limited
044-757	Prolate I-E	"Intervet, Inc."
044-759	Flavomycin¨ 4	Huvepharma EOOD
045-143	Oxyject¨	Cronus Pharma Specialities India Private Limited
045-188	Lasix¨ Packets	"Intervet, Inc."
045-290	"Ketaset¨, Vetalar¨"	"Boehringer Ingelheim Vetmedica, Inc."
045-348	"Albac¨ / Deccox¨, Broiler Finisher Medicated"	Zoetis Inc.
045-416	Tevcodyne Injectable	"Bayer HealthCare LLC, Animal Health Division"
045-444	Deccox¨ and Aureomycin¨	Zoetis Inc.
045-512	Synotic¨ Otic Solution	Zoetis Inc.
045-513	Ripercol L	Zoetis Inc.
045-514	EquiBute Injection	Zoetis Inc.
045-515	EquiBute Tablets 100 mg	Zoetis Inc.
045-715	Robaxin¨-V Tablets	Zoetis Inc.
045-716	Tranvet Injectable Solution	Zoetis Inc.
045-863	Palosein	"OXIS International, Inc."
046-109	L-S 50 Water Soluble¨ Powder	Zoetis Inc.
046-146	Vetalog Cream	"Boehringer Ingelheim Vetmedica, Inc."
046-209	COYDEN¨ plus CTC	Huvepharma EOOD
046-285	Albon¨	Zoetis Inc.
046-288	Histavet-P¨	"Intervet, Inc."
046-415	Tylan¨ 40	Zoetis Inc.
046-592	"BMD 30 Granular A, BMD 50 Granular A, BMD¨ 30, BMD¨ 50, BMD¨ 60"	Zoetis Inc.
046-699	"ChlorMax¨ 50, ChlorMax¨ 65, ChlorMax¨ 70, ChlorMax¨ 100, Micro CTC¨"	Zoetis Inc.
046-718	MGA¨ (liquid) and TM¨	Zoetis Inc.
046-719	MGA¨ and TM¨	Zoetis Inc.
046-724	Gentocin¨ Solution	"Intervet, Inc."
046-746	Happy Jack Worm Capsules	"Happy Jack, Inc."
046-780	Phen-Buta Vet Injection	Bimeda Animal Health Limited
046-788	Oxytocin Injection	Zoetis Inc.
046-789	Chloropent	Zoetis Inc.
046-790	Sodium Thiopental	Zoetis Inc.
046-821	Gentocin¨ Otic Solution	"Intervet, Inc."
046-920	"Baciferm¨ - 10, Baciferm¨ - 25, Baciferm¨ - 40, Baciferm¨ - 50"	Zoetis Inc.
046-922	Sergeants¨ Sure Shot¨ Capsules	ConAgra Pet Products Co.
046-923	Sergeants¨ Puppy Worm Capsules	ConAgra Pet Products Co.
047-033	S.E.Z. C-R Oblets 15 Gm	Zoetis Inc.
047-138	Spotton 20% Ready-to-Use Cattle Insecticide	"Bayer HealthCare LLC, Animal Health Division"
047-278	"Bio-Mycin¨, Oxy-Tetª 50"	Cronus Pharma Specialities India Private Limited
047-333	Equizole¨ A Liquid	"Merial, Inc."
047-334	Synsac Solution	Zoetis Inc.
047-712	"Bizolin¨-100, Bizolin¨-200"	Cronus Pharma Specialities India Private Limited
047-870	"M50-50 Diprenorphine, M99 Etorphine"	"Wildlife Laboratories, Inc."
047-925	Domoso¨ Gel	Zoetis Inc.
047-933	Coban¨ plus Baciferm¨	Elanco US Inc.
047-955	Rompun¨ Injectable (20 mg)	"Bayer HealthCare LLC, Animal Health Division"
047-956	Rompun¨ Injectable (100 mg)	"Bayer HealthCare LLC, Animal Health Division"
047-997	Amphoderm Ointment	Zoetis Inc.
048-010	"Anaplex Caps, Canine and Feline Wormer Caps"	Cronus Pharma Specialities India Private Limited
048-237	Equigel	Cronus Pharma Specialities India Private Limited
048-271	Task¨ Tabs	Cronus Pharma Specialities India Private Limited
048-287	Oxytetracycline-50	Huvepharma EOOD
048-480	"Chloratetª 100, Chloratetª 50, Chloratetª 90"	Pharmgate LLC
048-486	Robenz¨	Zoetis Inc.
048-487	TBZ¨ Wormer Paste 50%	"Merial, Inc."
048-761	"Aureomycin¨ 50 Granular, Aureomycin¨ 50 Granular A, Aureomycin¨ 70 Granular, Aureomycin¨ 80 Granular, Aureomycin¨ 90 Granular, Aureomycin¨ 90 Meal, Aureomycin¨ 100 Granular"	Zoetis Inc.
048-854	"Gecolate, Glycodex Injection"	Summit Hill Laboratories
048-913	Halox Wormer Drench	"Intervet, Inc."
049-032	Atgard¨ C Premix 9.6%	Cronus Pharma Specialities India Private Limited
049-185	Betasone Aqueous Suspension	"Intervet, Inc."
049-187	"Phen-Buta Vet Tablets, Phenylbutazone Tablets (Horses)"	Bimeda Animal Health Limited
049-287	"PfiChlor¨ 50, PfiChlor¨ 70, PfiChlor¨ 100"	Zoetis Inc.
049-461	TBZ¨ Wormer Paste 43%	"Merial, Inc."
049-463	Coban¨ plus BMD¨	Elanco US Inc.
049-553	Ripercol L	Zoetis Inc.
049-725	Anaprime¨ Opthakote Ophthalmic	Zoetis Inc.
049-726	Optiprime¨ Opthakote Ophthalmic Solution	Zoetis Inc.
049-892	Sulfamethazine Spanbolet II	Zoetis Inc.
049-934	Coyden 25¨ with Bacitracin Zinc	Huvepharma EOOD
049-948	Aquachel 100 mg	Zoetis Inc.
055-002	Tevcocin	Cronus Pharma Specialities India Private Limited
055-012	Chloronex¨ Sulmet¨ 	Huvepharma EOOD
055-013	Omnipen 250 mg	Zoetis Inc.
055-018	Aureomycin¨ Tablets 25 mg	Huvepharma EOOD
055-019	Bulk Chlortetracycline Hydrochloride	Zoetis Inc.
055-020	Aureomycin¨ Soluble Powder	Zoetis Inc.
055-021	Hetacin¨ K Capsules Vet	"Boehringer Ingelheim Vetmedica, Inc."
055-022	Hetacin¨ K Tablets	"Boehringer Ingelheim Vetmedica, Inc."
055-028	Quartermaster¨ Suspension	HQ Specialty Pharma Corp.
055-030	Polyflex¨	"Boehringer Ingelheim Vetmedica, Inc."
055-032	Dicloxin Capsules	Zoetis Inc.
055-036	"Princillin Capsules 125 mg, Princillin Capsules 250 mg, Princillin Capsules 500 mg"	"Norbrook Laboratories, Ltd."
055-039	Aureomycin¨ Soluble Oblets	Huvepharma EOOD
055-042	Ampi-Tab	Zoetis Inc.
055-047	Chloromycetin Palmitate Oral Suspension	Zoetis Inc.
055-048	Hetacin¨ K Oral Liquid	"Boehringer Ingelheim Vetmedica, Inc."
055-050	Princillin Soluble Powder	"Norbrook Laboratories, Ltd."
055-051	"Chloromycetin Tablets 100 mg, Chloromycetin Tablets 250 mg, Chloromycetin Tablets 500 mg"	Zoetis Inc.
055-054	PolyMastª Intramammary Infusion	"Boehringer Ingelheim Vetmedica, Inc."
055-056	Princillin Bolus	"Norbrook Laboratories, Ltd."
055-058	Dry-Clox¨ Intramammary Infusion	"Boehringer Ingelheim Vetmedica, Inc."
055-059	Viceton¨ Tablets	Bimeda Animal Health Limited
055-060	"Penicillin G Potassium, USP"	Zoetis Inc.
055-061	"Princillin ""125"" For Oral Suspension"	"Norbrook Laboratories, Ltd."
055-064	Princillin Injection	Zoetis Inc.
055-066	Princillin Injection	Zoetis Inc.
055-068	Boviclox	"Norbrook Laboratories, Ltd."
055-069	Orbenin DC	"Intervet, Inc."
055-070	Dariclox¨	"Intervet, Inc."
055-071	Princillin Injection 200 mg	Zoetis Inc.
055-072	"Albacillin¨ Suspension, Special Formula 17900-Forte¨ Suspension"	Zoetis Inc.
055-073	Panmycin¨ Tablets	Zoetis Inc.
055-074	Ampi-Bol	Zoetis Inc.
055-076	"Albaplex¨ 3x Tablets, Albaplex¨ Tablets"	Zoetis Inc.
055-078	Amoxi-Tabs	Zoetis Inc.
055-079	Ampi-Ject	Zoetis Inc.
055-080	Amoxi-Doser	Zoetis Inc.
055-081	Amoxi-Tabs¨	Zoetis Inc.
055-084	Amp-Equine	Zoetis Inc.
055-085	Amoxi-Drop¨ Oral Suspension	Zoetis Inc.
055-087	Amoxi-Bol	Zoetis Inc.
055-088	Amoxi-Sol	Zoetis Inc.
055-089	Amoxi-Inject (Cattle)	Zoetis Inc.
055-091	Amoxi-Inject (Dogs and Cats)	Zoetis Inc.
055-095	Ticillin¨	Zoetis Inc.
055-097	Dry-Mast	HQ Specialty Pharma Corp.
055-098	Albadry Plus¨ Suspension	Zoetis Inc.
055-099	CLAVAMOX¨ CHEWABLE	Zoetis Inc.
055-100	Amoxi-Mast	"Intervet, Inc."
055-101	Clavamox¨ Drops	Zoetis Inc.
065-004	"Panmycin¨ 500 Bolus, Panmycin¨ Hydrochloride"	Zoetis Inc.
065-010	Norocillin	"Norbrook Laboratories, Ltd."
065-013	Dihydrostreptomycin	"Norbrook Laboratories, Ltd."
065-015	"Bacitracin-Neomycin-Polymyxin with Hydrocortisone Acetate Ophthalmic Ointment, Vetropolycin HC Ophthalmic Ointment"	"Dechra, Ltd."
065-016	"Bac-Neo-Poly Ophthalmic Ointment, Vetropolycin Ophthalmic Ointment"	"Dechra, Ltd."
065-060	Panmycin¨ Aquadrops Liquid	Zoetis Inc.
065-061	"Tetrachel-Vet Drops, Tetrachel-Vet Syrup"	Zoetis Inc.
065-066	Tetrachel-Vet Tablets 100	Zoetis Inc.
065-067	Tetracycline HCl Tablets	Premo Pharmaceutical Labs.
065-069	Tetrachel-Vet Capsules 500	Zoetis Inc.
065-071	CHLORTETRACYCLINE SOLUBLE POWDER	Huvepharma EOOD
065-081	"Go-Dryª, Masti-Clear¨"	G.C. Hanford Mfg. Co.
065-087	Longicil Fortified	Zoetis Inc.
065-090	"Delta Albaplex¨ 3x Tablets, Delta Albaplex¨ Tablets"	Zoetis Inc.
065-099	Albaplex¨ Capsules	Zoetis Inc.
065-107	Entromycin Powder	Zoetis Inc.
065-110	PEN-G-MAX¨	Huvepharma EOOD
065-114	Mycitracin¨ Sterile Ophthalmic Ointment	Zoetis Inc.
065-119	Forte Topical¨ Ointment	Zoetis Inc.
065-121	Tetracycline-Vet Capsules 250	Zoetis Inc.
