Application Number	Date Withdrawn	Ingredients	Sponsor When Withdrawn
039-925	07/31/1995	"Buquinolate, Roxarsone"	"Proctor & Gamble Pharmaceuticals, Inc."
039-926	07/31/1995	"Buquinolate, Roxarsone"	"Proctor & Gamble Pharmaceuticals, Inc."
040-123	05/14/2001	"Cephalonium, Flumethasone, Iodochlorhydroxyquin, Piperocaine Hydrochloride, Polymyxin B Sulfate"	"Elanco Animal Health, A Division of Eli Lilly & Co."
040-205	11/02/2018	Thiabendazole	"Virbac AH, Inc."
040-264	03/10/2014	"Clopidol, Roxarsone"	Huvepharma EOOD
040-395	04/03/1989	"Bacitracin Zinc, Roxarsone, Zoalene"	"Roche Vitamins, Inc."
040-435	03/10/2014	"Decoquinate, Roxarsone"	Zoetis Inc.
041-111	04/03/1989	Hygromycin B	"Roche Vitamins, Inc."
041-178	03/10/2014	"Amprolium, Ethopabate, Lincomycin Hydrochloride Monohydrate, Roxarsone"	Zoetis Inc.
041-500	03/10/2014	"Monensin USP, Roxarsone"	"Elanco Animal Health, A Division of Eli Lilly & Co."
041-541	03/10/2014	"Bacitracin methylenedisalicylate, Clopidol, Roxarsone"	Huvepharma EOOD
041-587	08/12/1993	Butonate	Wellmark International
041-744	07/31/1995	Nitrofurantoin	"Proctor & Gamble Pharmaceuticals, Inc."
041-955	06/20/2016	Erythromycin Thiocyanate	Cross Vetpharm Group Ltd.
041-984	03/10/2014	"Ormetoprim, Roxarsone, Sulfadimethoxine"	Zoetis Inc.
042-116	11/02/2018	Coumaphos	"Virbac AH, Inc."
042-117	05/17/2010	Coumaphos	"Purina Mills, Inc."
042-427	01/27/2014	Tricaine Methanesulfonate	Argent Laboratories
042-489	04/02/1997	Tylosin Phosphate	Land OLakes Purina Feed LLC
042-660	04/21/2014	"Sulfamethazine, Tylosin Phosphate"	"Virbac AH, Inc."
042-738	04/03/1989	Clopidol	"Roche Vitamins, Inc."
042-755	04/03/1989	Tylosin Phosphate	"Roche Vitamins, Inc."
042-756	04/03/1989	Zoalene	"Roche Vitamins, Inc."
042-798	04/03/1989	Erythromycin Thiocyanate	"Roche Vitamins, Inc."
042-889	05/14/2001	Oxytocin	"Sparhawk Laboratories, Inc."
043-215	11/02/2018	Famphur	"Virbac AH, Inc."
043-387	04/21/2014	Tylosin Phosphate	"Virbac AH, Inc."
043-477	01/27/1989	Ipronidazole	"Roche Vitamins, Inc."
043-625	04/03/1989	Buquinolate	"Roche Vitamins, Inc."
044-013	02/12/1998	Tylosin	"Mountaire Feeds, Inc."
044-015	11/05/2010	Levamisole Hydrochloride	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
044-016	03/10/2014	"Bacitracin Zinc, Clopidol, Roxarsone"	Huvepharma EOOD
044-585	05/14/2001	Oxytocin	"Watson Laboratories, Inc."
044-593	04/03/1989	"Clopidol, Roxarsone"	"Roche Vitamins, Inc."
044-655	02/13/2012	Neomycin Sulfate	"Evsco Pharmaceuticals, An Affiliate of IGI, Inc."
044-820	02/27/2017	"Amprolium, Ethopabate, Lincomycin Hydrochloride Monohydrate"	Zoetis Inc.
044-972	02/27/2017	"Clopidol, Lincomycin Hydrochloride Monohydrate"	Zoetis Inc.
045-287	07/15/1996	Coumaphos	"Bayer HealthCare LLC, Animal Health Division"
045-288	02/13/2012	"Neomycin Sulfate, Prednisolone Acetate"	"Evsco Pharmaceuticals, An Affiliate of IGI, Inc."
045-455	11/05/2010	Levamisole Hydrochloride	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
045-578	05/21/2001	"Epinephrine Acetate, Lidocaine Hydrochloride"	"Watson Laboratories, Inc."
045-628	01/23/1989	"Dichlorophene, Toluene"	"Norden Laboratories, Inc."
045-690	02/27/1995	Tylosin Phosphate	Henwood Feed Additives
045-737	05/14/2001	Pentobarbital Sodium	"Watson Laboratories, Inc."
045-738	05/17/2010	"Buquinolate, Lincomycin Hydrochloride Monohydrate"	"Pharmacia & Upjohn Co., a Division of Pfizer, Inc."
045-848	05/14/2001	Phenylbutazone	"Watson Laboratories, Inc."
046-147	07/25/1997	Diethylcarbamazine Citrate	"Babineauxs Veterinary Products, Inc."
046-666	10/23/2015	Penicillin G Procaine	Zoetis Inc.
046-668	03/08/2017	Penicillin G Procaine	Phibro Animal Health Corp.
046-700	11/02/2018	Nequinate	"Virbac AH, Inc."
046-822	09/20/2012	Oxytocin	"United Vaccines, A Harlan Sprague Dawley, Inc., Co."
047-055	07/25/2018	Chorionic Gonadotropin	"Watson Laboratories, Inc."
047-089	01/27/1989	"Ipronidazole, Ormetoprim, Sulfadimethoxine"	"Roche Vitamins, Inc."
047-092	05/14/2001	Ticarbodine	"Elanco Animal Health, A Division of Eli Lilly & Co."
047-261	02/27/2017	"Decoquinate, Lincomycin Hydrochloride Monohydrate"	Zoetis Inc.
047-262	02/27/2017	"Decoquinate, Lincomycin"	Zoetis Inc.
047-341	07/31/1989	Griseofulvin	"Mallinckrodt Veterinary, Inc."
047-353	05/14/2001	Chorionic Gonadotropin	"Elanco Animal Health, A Division of Eli Lilly & Co."
047-486	03/02/2018	Gentamicin Sulfate	"Intervet, Inc."
048-391	07/31/1997	Phenylbutazone	"Watson Laboratories, Inc."
048-645	07/15/1996	Tylosin Phosphate	Hubbard Milling Co.
048-646	09/06/2005	Phenylbutazone	"First Priority, Inc."
048-647	03/14/2011	Phenylbutazone	"First Priority, Inc."
048-915	05/14/2001	Trichlorfon	"Purina Mills, Inc."
048-954	02/27/2017	"Lincomycin Hydrochloride Monohydrate, Zoalene"	Zoetis Inc.
049-179	03/10/2014	"Amprolium, Ethopabate, Roxarsone"	Huvepharma EOOD
049-180	03/10/2014	"Amprolium, Bacitracin methylenedisalicylate, Ethopabate, Roxarsone"	Huvepharma EOOD
049-183	07/31/1997	Oxytocin	"Watson Laboratories, Inc."
049-462	12/16/2005	"Amprolium, Arsanilic Acid, Ethopabate, Penicillin G Procaine, Streptomycin"	Stockton Hay & Grain Co.
049-464	03/10/2014	"Bacitracin methylenedisalicylate, Monensin, Roxarsone"	"Elanco Animal Health, A Division of Eli Lilly & Co."
049-555	07/15/1996	"Diethylcarbamazine Citrate, Styrylpyridinium Chloride"	"Bayer HealthCare LLC, Animal Health Division"
049-729	06/20/2016	Sulfamethazine	Cross Vetpharm Group Ltd.
049-890	02/13/2012	Tylosin Phosphate	"Norco Mills Of Norfolk, Inc."
055-005	08/27/2001	"Chloramphenicol, Prednisolone, Squalene, Tetracaine"	"Evsco Pharmaceuticals, An Affiliate of IGI, Inc."
055-008	09/06/2005	"Penicillin G Benzathine, Penicillin G Procaine"	Wyeth Laboratories
055-009	07/06/1990	Penicillin G Benzathine	Wyeth Laboratories
055-017	07/20/1992	Chlortetracycline Hydrochloride	"American Cyanamid, Division AHP Corp."
055-034	02/13/2012	Chloramphenicol	"Evsco Pharmaceuticals, An Affiliate of IGI, Inc."
055-052	02/13/2012	Chloramphenicol	"Evsco Pharmaceuticals, An Affiliate of IGI, Inc."
065-063	04/04/2008	Tetracycline Hydrochloride	"Eon Labs Manufacturing, Inc."
065-064	04/03/1989	Tetracycline Hydrochloride	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
065-065	09/06/2005	Tetracycline Hydrochloride	IMPAX Laboratories
065-113	09/06/2005	"Chlortetracycline Bisulfate, Sulfamethazine"	"Purina Mills, Inc."
065-137	09/24/2010	Chloramphenicol	John J. Ferrante
065-158	02/13/2012	Chloramphenicol	"Evsco Pharmaceuticals, An Affiliate of IGI, Inc."
065-192	07/31/1989	"Bacitracin methylenedisalicylate, Streptomycin Sulfate"	"Mallinckrodt Veterinary, Inc."
065-217	09/19/1994	Chlortetracycline Bisulfate	"American Cyanamid, Division AHP Corp."
065-222	06/15/2015	Chlortetracycline Hydrochloride	Hartz Mountain Products Corp.
065-259	02/13/2012	"Chloramphenicol, Prednisolone Acetate"	"Evsco Pharmaceuticals, An Affiliate of IGI, Inc."
065-273	02/12/1998	Chloramphenicol	"Zenith Laboratories, Inc."
065-291	03/02/2018	"Dihydrostreptomycin Sulfate, Streptomycin Sulfate"	Zoetis Inc.
065-324	03/02/2018	Streptomycin Sulfate	Zoetis Inc.
065-345	04/04/2008	Chloramphenicol	"Eon Labs Manufacturing, Inc."
065-456	02/12/1998	Tetracycline Hydrochloride	"Zenith Laboratories, Inc."
065-465	04/04/2008	Penicillin G Procaine	G.C. Hanford Mfg. Co.
065-466	01/19/1992	Penicillin G Procaine	"Boehringer Ingelheim Vetmedica, Inc."
065-467	11/28/1994	Tetracycline Hydrochloride	Lemmon Co.
065-488	02/13/2012	"Penicillin G Benzathine, Penicillin G Procaine"	"Walco International, Inc."
091-260	11/02/2018	Piperazine Phosphate	"Virbac AH, Inc."
091-326	03/10/2014	"Bacitracin Zinc, Decoquinate, Roxarsone"	Zoetis Inc.
091-465	08/06/1990	Tylosin	The Eugene Ingmand Co.
091-513	02/27/2017	Virginiamycin	Phibro Animal Health Corp.
091-582	04/21/2014	Tylosin Phosphate	"ADM Alliance Nutrition, Inc."
091-628	07/15/1996	Diethylcarbamazine Citrate	"Bayer HealthCare LLC, Animal Health Division"
091-646	12/16/2005	"Amprolium, Bacitracin Zinc, Ethopabate"	Stockton Hay & Grain Co.
091-647	12/16/2005	"Amprolium, Chlortetracycline, Ethopabate"	Stockton Hay & Grain Co.
091-668	10/13/2017	"Chlortetracycline Calcium Complex, Penicillin G Procaine, Sulfamethazine"	Zoetis Inc.
091-782	01/27/1989	Ipronidazole Hydrochloride	"Roche Vitamins, Inc."
091-783	12/22/1989	Tylosin Phosphate	"Triple ""F"", Inc."
092-151	09/06/2005	N-butyl Chloride	IMPAX Laboratories
092-481	06/28/1990	N-butyl Chloride	"Mallinckrodt Veterinary, Inc."
092-482	02/27/2017	"Lincomycin Hydrochloride, Monensin Sodium"	Zoetis Inc.
092-522	03/10/2014	"Lincomycin Hydrochloride, Monensin"	Zoetis Inc.
092-602	05/14/2001	Cephalothin	"Elanco Animal Health, A Division of Eli Lilly & Co."
092-953	12/02/2013	Roxarsone	Zoetis Inc.
093-025	01/06/2014	Roxarsone	Zoetis Inc.
093-029	04/11/2011	Cuprimyxin	"Roche Vitamins, Inc."
093-106	02/27/2017	"Lincomycin Hydrochloride, Robenidine Hydrochloride"	Zoetis Inc.
093-372	07/15/1996	Chlortetracycline Hydrochloride	"Roche Vitamins, Inc."
093-518	05/14/2001	Tylosin Phosphate	"Bioproducts, Inc."
093-985	07/19/1991	"Mafenide Acetate, Nitrofurazone"	Sterling Drug Inc.
094-402	07/15/1996	"Sulfamethazine, Tylosin Phosphate"	Hubbard Milling Co.
094-777	08/12/1993	"Dichlorophene, Toluene"	Wellmark International
094-959	09/08/1994	Oxytetracycline Hydrochloride	"Purina Mills, Inc."
094-960	09/08/1994	Oxytetracycline Hydrochloride	"Purina Mills, Inc."
094-978	12/22/1995	Phenylbutazone	"Akorn, Inc."
095-017	07/31/1995	"Diprenorphine Hydrochloride, Etorphine Hydrochloride"	Lemmon Co.
095-078	07/15/1996	Trichlorfon	"Bayer HealthCare LLC, Animal Health Division"
095-546	03/10/2014	"Robenidine Hydrochloride, Roxarsone"	Zoetis Inc.
095-547	03/10/2014	"Amprolium, Bambermycins, Ethopabate, Roxarsone"	Huvepharma EOOD
095-548	03/10/2014	"Amprolium, Bambermycins, Roxarsone"	Huvepharma EOOD
095-549	03/10/2014	"Amprolium, Bambermycins, Ethopabate, Roxarsone"	Huvepharma EOOD
095-551	04/04/2008	Tylosin Phosphate	"International Nutrition, Inc."
095-628	07/23/2001	Tylosin Phosphate	"Heinold Feeds, Inc."
095-736	02/12/1998	Hygromycin B	"Mountaire Feeds, Inc."
095-953	02/13/2012	Tylosin Phosphate	"ADM Alliance Nutrition, Inc."
096-031	07/15/1996	"Diethylcarbamazine Citrate, Styrylpyridinium Chloride"	"Bayer HealthCare LLC, Animal Health Division"
096-161	03/14/2011	Tylosin Phosphate	Yoder Feed
096-162	05/14/2001	Tylosin Phosphate	"Youngs, Inc."
096-508	07/24/1989	Lenperone Hydrochloride	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
096-512	03/18/1991	Tylosin Phosphate	Dale Alley Co.
096-678	05/14/2001	Ticarbodine	"Elanco Animal Health, A Division of Eli Lilly & Co."
096-776	10/09/1990	Tylosin Phosphate	"Simonsen Mill-Rendering Plant, Inc."
096-780	12/16/2005	Tylosin Phosphate	J & R Specialty Supply Co.
096-837	12/16/2005	Tylosin Phosphate	M & M Livestock Products Co.
096-839	05/02/1991	Tylosin Phosphate	Fasco Mills Co.
097-258	11/02/2018	Pyrantel Tartrate	"Virbac AH, Inc."
097-287	04/30/1990	Tylosin Phosphate	Vita Plus Corp.
097-289	02/27/1995	Tylosin Phosphate	"Feed Specialties Co., Inc."
097-567	05/14/2001	Tylosin Phosphate	"Golden Sun Feeds, Inc."
097-615	05/14/2001	"Sulfamethazine, Tylosin Phosphate"	"Golden Sun Feeds, Inc."
097-901	07/24/1989	Lenperone Hydrochloride	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
097-980	09/03/2013	Tylosin Phosphate	"Quali-Tech Products, Inc."
097-981	04/11/2011	"Sulfamethazine, Tylosin Phosphate"	"Quali-Tech Products, Inc."
098-156	04/02/1997	"Sulfamethazine, Tylosin Phosphate"	Land OLakes Purina Feed LLC
098-341	03/10/2014	"Bambermycins, Monensin, Roxarsone"	Huvepharma EOOD
098-371	09/03/2013	"Nicarbazin, Penicillin G Procaine, Roxarsone"	Phibro Animal Health Corp.
098-374	09/03/2013	"Nicarbazin, Penicillin G Procaine"	Phibro Animal Health Corp.
098-595	11/27/1992	Tylosin Phosphate	"Cargill, Inc., Nutrena Feed Division"
098-687	12/16/2005	Tylosin Phosphate	Kerber Milling Co.
098-895	02/12/1998	Phosmet	Wellmark International
099-098	10/18/1991	Tylosin Phosphate	"Growmark, Inc."
099-468	04/21/2014	Tylosin Phosphate	"Wayne Feed Division, Continental Grain Co."
099-561	12/22/1989	"Sulfamethazine, Tylosin Phosphate"	"Triple ""F"", Inc."
099-568	09/06/2005	Nifurpirinol	Abbott Laboratories
099-767	04/21/2014	"Sulfamethazine, Tylosin Phosphate"	"Virbac AH, Inc."
100-127	01/17/1989	"Sulfamethazine, Tylosin"	SmithKline Beecham Animal Health
100-128	06/20/2016	Tylosin Phosphate	Cross Vetpharm Group Ltd.
100-201	07/15/1996	Trichlorfon	"Bayer HealthCare LLC, Animal Health Division"
100-352	03/14/2011	Tylosin Phosphate	"Truow Nutrition, Inc."
100-356	07/15/1996	"Diethylcarbamazine Citrate, Styrylpyridinium Chloride"	"Bayer HealthCare LLC, Animal Health Division"
100-403	07/19/1991	Diatrizoate Meglumine	Sterling Drug Inc.
100-556	10/15/2012	Tylosin Phosphate	Springfield Milling Corp.
100-670	07/19/1996	Niclosamide	"Bayer HealthCare LLC, Animal Health Division"
100-689	02/13/2012	Diethylcarbamazine Citrate	"Evsco Pharmaceuticals, An Affiliate of IGI, Inc."
100-690	02/13/2012	Diethylcarbamazine Citrate	"Evsco Pharmaceuticals, An Affiliate of IGI, Inc."
100-809	03/18/1991	"Embutramid, Mebezonium Iodide, Tetracaine Hydrochloride"	Hoechst Roussel Vet
100-840	04/11/2011	Chorionic Gonadotropin	"Abraxis Pharmaceutical Products, A Div. of Abraxis Bioscience"
100-903	01/09/1998	Chlortetracycline Calcium Complex	"Pfizer, Inc."
100-991	04/11/2011	Tylosin Phosphate	Furst-McNess Co.
101-078	07/15/1996	"Dichlorophene, Toluene"	"Bayer HealthCare LLC, Animal Health Division"
101-079	04/11/2011	Levamisole Resinate	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
101-497	09/07/2010	"Dichlorophene, Toluene"	"Pegasus Laboratories, Inc."
101-498	09/07/2010	"Dichlorophene, Toluene"	"Pegasus Laboratories, Inc."
101-628	03/10/2014	"Bambermycins, Roxarsone, Zoalene"	Huvepharma EOOD
101-689	02/27/2017	"Lasalocid, Lincomycin Hydrochloride"	Zoetis Inc.
101-715	10/09/1990	"Dichlorophene, Toluene"	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
101-905	04/11/2011	Tylosin Phosphate	Waterloo Mills Co.
101-906	04/11/2011	"Sulfamethazine, Tylosin Phosphate"	Waterloo Mills Co.
102-485	03/10/2014	"Lasalocid, Roxarsone"	Zoetis Inc.
102-590	06/25/1990	Tylosin Phosphate	"United Suppliers, Inc."
102-656	08/19/1996	Erythromycin Thiocyanate	"Merial, Inc."
102-717	05/14/1990	Tylosin	"Neese & Sons, Inc."
102-824	04/11/2011	Phenylbutazone	"Pegasus Laboratories, Inc."
102-942	11/02/2018	"Dichlorophene, Toluene"	"Virbac AH, Inc."
103-089	04/21/2014	Tylosin Phosphate	"Provimi North America, Inc."
103-090	09/20/2012	Chorionic Gonadotropin	"United Vaccines, A Harlan Sprague Dawley, Inc., Co."
103-434	08/12/1993	Selenium Disulfide	Wellmark International
103-758	04/04/2008	Oxytetracycline Hydrochloride	"Pfizer, Inc."
104-606	07/25/2018	Dexamethasone Sodium Phosphate	"Watson Laboratories, Inc."
